ticker,R,date,year,kind,base_start,base_len,pos,rsi,wk_since_low,delisted,regime_spy_up,mad_med,pre_vol,contr8,vol_dry8,rsi_slope26,next_break,wk_to_break,ret13,exc13_SPY,mae13,ret26,exc26_SPY,mae26,ret52,exc52_SPY,mae52,trunc52,wk_to_comp,ret_to_comp,comp_before,divup_before,e1_before,id,dup_of
BMA,2.0,2010-03-12,2010,CTRL,2009-08-21,30,0.64,56.9,29,False,True,0.0489,0.1007,0.8,0.45,-1.22,UP,18.0,5.0,9.6,-10.3,44.4,47.0,-10.3,48.5,33.0,-10.3,False,13.0,5.0,False,False,False,f3cdd23bbb,
NGL,1.5,2024-08-23,2024,CTRL,2023-11-17,41,0.13,34.1,39,False,True,0.0631,0.0891,0.67,0.66,-1.87,DOWN,10.0,2.8,-3.5,-6.5,10.4,3.0,-6.5,13.4,-2.8,-31.0,False,22.0,24.3,True,False,False,6e9f18f92d,
DINO,1.5,2010-04-23,2010,CTRL,2009-08-07,38,0.45,49.6,36,False,True,0.0591,0.0825,0.42,1.05,-0.27,UP,25.0,-2.0,6.9,-5.5,25.2,27.0,-5.5,148.6,136.6,-5.5,False,20.0,10.5,True,False,False,ce14f2e552,
RPAI,3.0,2021-01-01,2021,CTRL,2020-01-31,49,0.56,59.7,33,True,True,0.1715,0.0264,0.14,1.01,0.77,UP,18.0,26.7,19.2,0.0,36.7,20.0,0.0,56.6,34.2,0.0,True,2.0,10.5,False,False,False,cc253b3eea,
SNEX,1.5,2015-09-25,2015,CTRL,2015-02-20,32,0.0,35.3,0,False,False,0.1154,0.0363,0.06,0.68,-2.38,NONE,,34.0,26.7,0.0,7.1,0.6,0.0,59.4,45.0,0.0,False,13.0,34.0,False,False,False,ff406b4feb,
CLDT,2.0,2020-09-18,2020,CTRL,2020-03-13,28,0.76,49.5,26,False,True,0.1246,0.035,0.67,0.98,0.93,UP,8.0,46.7,34.6,-8.4,79.8,61.1,-8.4,54.7,19.3,-8.4,False,,,False,False,False,9818addb10,
BBL,1.5,2013-06-28,2013,CTRL,2011-08-05,100,0.0,30.1,0,True,True,0.0539,0.0426,0.4,0.85,-0.59,DOWN,1.0,18.9,13.1,-1.9,22.7,6.9,-1.9,32.6,8.1,-1.9,False,34.0,30.0,False,False,False,e8a23d396f,
SOHU,1.5,2019-03-22,2019,CTRL,2018-08-10,33,0.0,37.5,0,False,True,0.0744,0.0688,0.83,0.78,0.75,DOWN,3.0,-15.1,-20.8,-18.5,-29.6,-37.4,-41.5,-65.6,-49.2,-65.6,False,,,False,False,False,35216dc4ce,
TNT,3.0,2017-06-02,2017,CTRL,2016-09-16,38,0.67,56.5,19,True,True,0.0626,0.1222,0.49,1.07,0.85,NONE,,-6.8,-8.8,-22.2,-33.6,-42.9,-37.0,-54.2,-68.4,-55.6,False,1.0,2.3,False,False,False,199d82c7a5,
PIR,3.0,2018-03-16,2018,CTRL,2015-08-21,135,0.02,36.7,6,True,True,0.1732,0.0587,0.09,0.44,-0.3,DOWN,1.0,-7.3,-8.8,-31.3,-46.5,-53.1,-46.5,-77.8,-82.4,-90.2,False,,,False,False,False,ef136c13ed,
EVC,1.5,2014-04-18,2014,CTRL,2013-06-07,46,0.3,43.9,45,False,True,0.0542,0.084,1.23,1.06,-0.51,DOWN,16.0,5.9,-0.6,-7.4,-18.1,-20.2,-29.5,18.2,4.5,-29.5,False,,,True,False,False,928d89a6fa,
VIV,1.5,2020-10-30,2020,CTRL,2020-03-13,34,0.0,34.9,0,False,True,0.0598,0.0301,0.5,0.65,0.09,NONE,,14.6,0.8,0.0,13.0,-15.8,0.0,16.5,-26.1,0.0,False,33.0,29.1,False,False,False,60554450ff,
IPGP,1.5,2021-06-25,2021,CTRL,2020-10-02,39,0.5,50.4,38,False,True,0.0504,0.0629,0.53,1.05,-1.16,DOWN,8.0,-22.1,-26.5,-22.1,-19.9,-31.0,-25.2,-53.1,-45.8,-58.0,False,,,True,False,False,77d63707c8,
SCLN,1.5,2016-09-09,2016,CTRL,2016-02-26,29,0.16,40.6,24,True,True,0.1036,0.0614,0.15,0.94,-1.34,DOWN,7.0,1.1,-5.6,-12.8,-3.9,-16.5,-12.8,9.0,-8.9,-12.8,False,,,False,False,False,6f64845d73,
NGVC,1.5,2015-08-21,2015,CTRL,2014-11-21,40,0.13,44.8,38,False,False,0.0568,0.0694,0.38,0.86,-0.57,DOWN,12.0,-8.5,-15.0,-8.5,-18.5,-16.8,-23.8,-50.2,-63.1,-50.2,False,,,False,False,True,ebcffc3743,
AEGN,1.5,2015-05-15,2015,CTRL,2014-09-26,34,0.48,52.0,15,True,True,0.0432,0.0368,0.19,0.73,0.75,NONE,,1.6,2.5,-9.8,10.8,14.5,-11.0,1.9,3.5,-11.3,False,25.0,17.0,False,False,True,dc91a1b1f0,
CACC,2.0,2020-12-18,2020,CTRL,2020-04-10,37,0.25,45.9,34,False,True,0.1116,0.067,0.49,1.01,-0.76,NONE,,9.8,4.0,-2.1,24.4,11.3,-2.1,98.1,71.9,-2.1,False,22.0,30.2,False,False,False,1c63b98983,
CORT,1.5,2020-01-17,2020,CTRL,2019-07-19,27,0.35,49.4,26,False,True,0.0442,0.0823,0.51,1.05,-0.44,DOWN,8.0,-2.0,11.1,-20.5,27.8,29.8,-20.5,118.1,102.8,-20.5,False,,,False,False,False,0f6ed6cbc4,
GPS,1.5,2010-04-09,2010,CTRL,2009-08-07,36,1.0,72.9,35,True,True,0.046,0.0712,0.62,0.83,0.03,UP,1.0,-25.1,-15.8,-25.1,-25.9,-24.4,-31.1,-8.7,-22.0,-31.1,False,1.0,0.6,False,False,False,4e88537267,
DJCO,1.5,2025-12-05,2025,CTRL,2025-01-10,48,0.59,56.9,33,False,True,0.0417,0.0506,0.72,7.63,0.19,UP,2.0,11.0,12.6,0.0,12.7,4.5,0.0,,,,,1.0,10.2,True,False,True,7f4dea4adf,
RDUS,1.5,2014-12-05,2014,CTRL,2012-05-18,134,0.12,38.7,8,True,True,0.0612,0.0606,0.44,0.83,-0.55,DOWN,5.0,-26.5,-26.8,-30.3,-16.4,-18.2,-32.2,-25.5,-28.4,-41.2,False,,,False,False,False,9af23e6b52,
MNDT,1.5,2017-06-02,2017,CTRL,2016-08-05,44,0.99,63.7,12,True,True,0.0849,0.0803,0.29,1.19,0.77,UP,3.0,-3.4,-5.4,-9.3,-8.5,-17.9,-10.7,9.0,-5.2,-10.7,False,1.0,-1.0,True,False,True,3ff56043a0,
MLCO,2.0,2010-05-14,2010,CTRL,2009-10-16,31,0.25,45.4,19,False,True,0.1218,0.1051,0.18,1.54,0.69,UP,24.0,-5.7,-1.2,-9.7,52.5,45.9,-9.7,159.7,139.6,-9.7,False,21.0,38.1,False,False,False,f3420b0758,
CUK,2.0,2023-05-05,2023,CTRL,2022-06-10,48,0.65,50.0,30,True,True,0.0739,0.0775,0.48,0.74,0.15,UP,4.0,72.8,64.1,-2.7,26.1,20.0,-2.7,46.3,20.6,-2.7,False,5.0,28.7,True,False,False,3dc26d02a1,
DNB,1.5,2023-12-29,2023,CTRL,2023-02-17,46,0.87,59.6,9,True,True,0.0657,0.0518,1.16,1.24,0.18,NONE,,-13.8,-24.2,-19.6,-20.1,-35.3,-22.2,6.9,-19.9,-22.2,False,3.0,-0.7,False,False,False,bb31d53dfc,
JNCE,2.0,2021-10-22,2021,CTRL,2021-04-09,29,0.84,61.3,12,True,True,0.1499,0.1313,0.53,1.18,0.51,NONE,,-31.4,-28.4,-31.4,-27.0,-21.6,-31.4,-78.9,-62.7,-78.9,False,1.0,-2.4,False,False,True,c0fefa47af,
WNC,1.5,2018-02-16,2018,CTRL,2017-01-27,56,0.78,59.7,55,False,True,0.0404,0.0514,0.9,1.04,0.22,NONE,,-13.2,-12.9,-17.6,-20.4,-25.7,-24.7,-38.6,-42.0,-46.3,False,1.0,-2.5,True,False,False,1258a61515,
HLF,1.5,2017-02-03,2017,CTRL,2016-02-19,51,0.44,53.1,50,False,True,0.0472,0.0579,0.99,0.76,-0.64,UP,13.0,22.6,17.6,-7.7,16.5,7.6,-7.7,44.6,22.2,-7.7,False,12.0,11.8,True,False,True,734f3a1aba,
CLR,1.5,2019-05-17,2019,CTRL,2018-10-26,30,0.2,40.3,21,True,True,0.0425,0.0504,1.56,0.94,0.56,DOWN,2.0,-28.2,-29.7,-28.2,-24.0,-34.1,-33.5,-68.9,-71.1,-79.4,False,,,False,False,False,0ac93b23c6,
CASS,1.5,2018-07-06,2018,CTRL,2016-11-11,87,0.85,66.5,43,False,True,0.0326,0.0285,2.01,1.82,0.86,NONE,,-7.6,-12.6,-8.1,-8.2,-0.8,-13.2,-17.4,-27.9,-22.9,False,1.0,-1.5,True,False,False,c869345b10,
GHL,1.5,2014-04-11,2014,CTRL,2012-08-31,85,0.31,40.5,84,True,True,0.0729,0.0561,0.34,1.26,-0.56,NONE,,-5.5,-14.3,-5.5,-0.8,-6.8,-5.5,-7.6,-25.6,-20.1,False,,,True,False,False,808444ed44,
PE,1.5,2015-09-11,2015,CTRL,2014-12-19,39,0.33,44.9,27,True,False,0.0517,0.068,0.67,1.26,-0.39,UP,9.0,20.5,17.4,-2.7,36.1,31.9,-2.7,123.5,112.7,-2.7,False,10.0,26.6,True,False,False,54e9822986,
TPL,2.0,2021-11-12,2021,CTRL,2021-02-05,41,0.41,48.5,40,False,True,0.0983,0.0834,0.32,0.56,-0.84,NONE,,-14.6,-9.1,-22.4,4.7,18.2,-22.4,110.5,124.0,-22.4,False,28.0,21.9,True,False,False,5cdb4b353d,
SYNT,1.5,2010-02-19,2010,CTRL,2009-07-03,34,0.16,43.6,32,True,True,0.07,0.074,0.62,0.74,-2.07,NONE,,-2.1,-0.7,-2.1,18.1,20.5,-2.2,62.1,38.7,-2.2,False,29.0,28.8,False,False,False,7426078452,
DOOO,1.5,2023-01-13,2023,CTRL,2021-11-12,62,0.65,60.2,13,True,True,0.0654,0.056,0.28,0.45,0.39,UP,3.0,-2.6,-6.5,-9.1,3.1,-10.5,-9.1,-16.4,-37.8,-22.7,False,2.0,2.5,False,False,True,5939ab1ad1,
BPT,1.5,2015-05-29,2015,CTRL,2014-11-14,29,0.52,46.9,10,True,True,0.0727,0.0277,0.48,1.11,0.46,DOWN,10.0,-32.0,-26.9,-38.8,-48.3,-48.6,-48.3,-77.4,-79.1,-79.8,False,,,False,False,False,fdc9819ae4,
PJC,1.5,2018-09-07,2018,CTRL,2017-10-20,47,0.45,43.9,46,True,True,0.0357,0.0487,0.26,0.6,-0.24,NONE,,-11.7,-3.8,-11.7,-5.6,-2.0,-16.2,2.1,-3.6,-16.2,False,33.0,10.6,True,False,False,e89c43d3f6,
GTN,1.5,2014-08-29,2014,CTRL,2013-11-15,42,0.02,40.3,22,False,True,0.0784,0.0708,0.58,0.91,0.07,DOWN,1.0,4.6,0.9,-26.9,10.2,4.1,-26.9,14.4,13.2,-26.9,False,,,True,False,False,21a3b130f9,
LNG,1.5,2024-10-11,2024,CTRL,2022-07-22,117,1.0,68.1,116,False,True,0.0533,0.0511,0.29,0.87,0.87,UP,4.0,18.3,17.8,-4.5,16.0,23.3,-4.5,20.2,6.2,-4.5,False,1.0,-4.5,True,False,False,7042c4c6a8,
IOVA,2.0,2017-03-17,2017,CTRL,2016-04-01,51,0.71,57.5,44,False,True,0.1034,0.0744,0.33,0.84,0.31,DOWN,22.0,-24.5,-27.4,-28.9,-1.3,-7.4,-40.9,111.9,94.1,-40.9,False,28.0,-2.5,False,False,False,82f4d526ce,
QCRH,1.5,2020-11-13,2020,CTRL,2020-04-10,32,1.0,63.3,26,False,True,0.0402,0.051,0.96,0.86,0.31,UP,3.0,11.0,0.9,-1.4,29.3,12.1,-1.4,55.1,22.8,-1.4,False,1.0,-1.4,False,False,False,9677a79de2,
NOG,1.5,2025-09-12,2025,CTRL,2025-02-21,30,0.33,43.8,22,False,True,0.0759,0.0529,0.25,0.81,0.38,DOWN,5.0,-9.7,-13.6,-14.2,12.2,10.9,-14.5,12.7,-4.9,-23.9,False,23.0,14.8,False,False,False,b04e7ac14e,
BANC,1.5,2019-04-19,2019,CTRL,2018-10-05,29,0.42,46.7,17,False,True,0.0716,0.0326,0.28,0.97,0.66,NONE,,-6.9,-9.8,-10.8,0.6,-3.1,-10.8,-38.4,-39.2,-55.1,False,33.0,10.0,False,False,False,0afddcf3b4,
TRGP,2.0,2020-12-04,2020,CTRL,2020-05-08,31,1.0,67.7,30,False,True,0.0895,0.1268,1.5,1.03,0.47,UP,1.0,30.7,26.6,-0.5,75.6,60.4,-0.5,95.3,71.0,-0.5,False,,,False,False,False,e90660d7fb,
ALDX,2.0,2023-01-13,2023,CTRL,2022-07-01,29,0.72,55.8,28,False,True,0.1102,0.1026,0.36,1.01,-0.31,UP,7.0,61.9,58.0,-5.6,21.6,8.0,-5.6,-50.2,-71.7,-77.2,False,5.0,10.2,False,False,False,2ab3703587,
CAR,1.5,2017-04-14,2017,CTRL,2016-05-20,48,0.03,35.0,47,False,True,0.0654,0.0653,1.13,1.0,-0.88,DOWN,4.0,14.9,8.7,-22.2,48.6,37.9,-22.2,75.6,59.4,-22.2,False,,,True,False,False,558d1c166a,
UHS,2.0,2013-04-05,2013,CTRL,2010-09-03,136,0.95,76.5,135,False,True,0.0856,0.0492,0.43,1.09,1.3,UP,3.0,2.3,-3.3,-1.9,24.6,14.6,-1.9,30.6,8.0,-1.9,False,1.0,0.0,True,False,False,445dd412ce,
BLKB,1.5,2024-05-24,2024,CTRL,2023-03-31,61,0.65,56.5,30,False,True,0.043,0.0529,0.36,1.34,-0.78,UP,26.0,3.1,-3.4,-4.9,9.7,-3.5,-4.9,-23.0,-33.7,-23.0,False,9.0,0.8,True,False,False,d3c18e5522,
SPAR,2.0,2019-03-29,2019,CTRL,2018-10-05,26,0.26,43.2,16,True,True,0.068,0.0586,0.35,0.83,0.68,UP,24.0,24.8,20.6,-3.1,57.7,52.2,-3.1,28.1,36.6,-3.1,False,16.0,35.9,False,False,False,9aa665c8b5,
FORM,1.5,2012-06-29,2012,CTRL,2011-09-23,41,0.86,58.8,28,False,True,0.085,0.0658,0.6,0.85,0.93,DOWN,15.0,-13.6,-19.9,-21.3,-29.7,-33.8,-41.6,4.3,-16.2,-41.6,False,1.0,3.9,True,False,False,065a7f8699,
OMED,2.0,2015-02-20,2015,CTRL,2014-03-28,48,0.83,61.8,22,True,True,0.0863,0.1905,0.64,0.98,0.9,NONE,,-15.0,-16.3,-18.6,-25.0,-19.4,-25.0,-65.0,-57.7,-66.0,False,2.0,1.8,True,True,True,7960bd3e89,
BLFS,3.0,2023-11-03,2023,CTRL,2022-01-28,93,0.11,37.7,1,False,True,0.1485,0.0895,0.57,1.0,-0.95,NONE,,57.1,42.9,-4.1,57.9,39.4,-4.1,110.8,77.6,-4.1,False,28.0,92.3,False,False,False,6c212c4118,
RCKY,2.0,2019-08-02,2019,CTRL,2018-02-16,77,0.98,65.8,76,False,True,0.0612,0.0637,0.92,0.73,0.36,UP,6.0,-8.8,-13.9,-9.4,-11.1,-22.1,-11.1,-24.5,-38.4,-46.7,False,1.0,-5.6,True,False,False,4e145d8003,
MOMO,2.0,2017-11-10,2017,CTRL,2017-01-27,42,0.26,36.5,41,False,True,0.0995,0.1281,0.48,0.86,-1.46,DOWN,3.0,-2.5,-4.3,-20.4,33.1,26.4,-20.4,15.2,5.6,-20.4,False,18.0,31.2,True,False,False,23fba82c37,
RAIL,1.5,2017-12-22,2017,CTRL,2017-05-05,34,0.35,49.4,6,False,True,0.0328,0.0745,1.23,1.05,-0.67,DOWN,6.0,-22.3,-19.1,-22.3,-5.4,-8.9,-22.3,-59.8,-51.5,-59.8,False,31.0,5.3,True,False,False,6186a6dae4,
XYZ,2.0,2025-10-31,2025,CTRL,2024-12-13,47,0.64,53.6,26,False,True,0.1335,0.0591,0.14,0.92,0.47,NONE,,-20.4,-22.2,-20.4,-5.4,-11.7,-34.4,,,,,34.0,2.5,True,False,True,2924a12c9f,
BGS,1.5,2011-10-28,2011,CTRL,2011-03-04,35,0.73,63.3,5,False,True,0.0363,0.0307,0.91,0.84,-1.22,UP,1.0,16.4,13.2,0.0,17.9,7.6,0.0,59.3,47.0,0.0,False,5.0,16.6,False,False,False,09899a97c5,
CRC_old,3.0,2019-07-12,2019,CTRL,2018-10-12,40,0.2,46.1,29,True,True,0.1202,0.1207,0.61,0.66,-0.04,DOWN,1.0,-55.0,-54.0,-55.7,-57.4,-66.7,-68.8,-94.0,-101.8,-94.0,False,,,False,False,False,a68a2b6013,
WKEY,3.0,2025-07-11,2025,CTRL,2025-01-10,27,0.35,51.8,14,False,True,0.2072,0.401,0.1,1.09,0.02,UP,15.0,21.2,16.2,-8.3,54.6,42.7,-8.3,19.5,-2.9,-8.3,False,14.0,48.2,False,False,False,e668127372,
CROX,2.0,2017-08-25,2017,CTRL,2016-07-22,58,0.53,66.7,16,False,True,0.0958,0.0654,0.51,1.15,1.28,UP,16.0,23.8,16.8,0.0,54.1,40.6,0.0,129.4,109.6,0.0,False,5.0,8.9,False,False,True,baa5fdae80,
EYPT,3.0,2021-12-31,2021,CTRL,2021-01-01,53,0.53,50.1,52,False,True,0.0947,0.1038,0.49,2.64,0.63,NONE,,-0.7,3.6,-29.1,-36.7,-17.5,-40.8,-71.4,-53.2,-79.8,False,1.0,15.3,True,False,False,7a488c6986,
BIRT,2.0,2011-07-22,2011,CTRL,2009-03-27,122,1.0,66.7,121,True,True,0.0936,,0.99,1.35,0.66,UP,14.0,-7.3,0.1,-17.6,-4.0,-2.8,-17.6,-2.4,-6.0,-17.6,False,1.0,-7.2,True,False,False,0caf3de3f1,
KE,2.0,2023-09-01,2023,CTRL,2020-11-27,145,1.0,69.4,141,False,True,0.1107,0.068,0.18,1.52,0.94,NONE,,-19.6,-21.8,-24.4,-28.5,-43.0,-31.6,-40.7,-67.4,-41.4,False,1.0,-7.1,False,False,False,6e3f791215,
MDR,2.0,2011-02-11,2011,CTRL,2010-05-07,41,0.81,64.2,25,True,True,0.1683,0.0659,0.12,0.76,1.33,UP,3.0,-8.9,-10.0,-8.9,-35.6,-25.2,-35.6,-41.1,-44.1,-55.1,False,1.0,6.3,True,False,False,d763bbca7a,
AAI,2.0,2009-10-30,2009,CTRL,2009-03-27,32,0.0,32.9,0,True,True,0.0972,,1.52,1.27,-0.64,DOWN,3.0,13.9,9.7,-2.8,24.8,9.0,-2.8,74.9,58.3,-2.8,False,51.0,77.1,True,False,False,1fb32526d9,
FMS,1.5,2024-03-22,2024,CTRL,2023-08-18,32,0.31,42.9,21,False,True,0.0433,0.0421,0.3,0.98,0.44,NONE,,6.5,1.7,-1.9,11.2,1.5,-1.9,33.2,23.6,-1.9,False,10.0,16.8,False,False,False,15db4895b6,
BVH,2.0,2022-06-17,2022,CTRL,2021-08-06,46,0.39,44.9,45,True,False,0.0912,0.0918,0.46,0.96,-0.9,DOWN,13.0,-24.4,-30.3,-24.4,-1.6,-7.3,-34.4,38.2,16.1,-34.4,False,,,True,False,False,8776f67d5b,
CLB,2.0,2021-10-01,2021,CTRL,2020-11-27,45,0.21,45.5,44,False,True,0.1301,0.1399,0.18,1.0,-0.75,DOWN,9.0,-23.2,-32.9,-23.2,11.7,6.7,-23.2,-53.5,-37.0,-53.5,False,,,True,False,False,78882bdbd6,
ESEA,3.0,2024-04-19,2024,CTRL,2021-05-07,155,0.77,50.7,153,False,True,0.1594,0.1589,0.22,0.8,-0.2,UP,11.0,16.3,5.1,0.0,34.1,15.3,0.0,-6.3,-14.0,-13.3,False,,,True,False,False,90cbee3498,
AABA,1.5,2016-05-06,2016,CTRL,2015-06-12,48,0.76,60.4,12,True,True,0.0819,0.042,0.19,1.03,0.91,UP,14.0,4.7,-1.9,-2.7,8.2,5.8,-2.7,30.2,11.3,-2.7,False,1.0,-2.0,True,False,True,217efa5dc2,
RYTM,1.5,2020-02-21,2020,CTRL,2019-05-24,40,0.09,36.9,3,False,True,0.0446,0.0567,0.54,0.81,-0.38,DOWN,3.0,10.1,21.0,-23.2,1.0,-1.8,-23.2,48.9,29.8,-23.2,False,,,False,False,False,cb68c0a5f8,
ARQL,2.0,2010-10-29,2010,CTRL,2010-03-05,35,0.65,56.9,32,True,True,0.1181,0.0735,0.21,0.97,0.07,UP,11.0,14.4,6.0,-4.0,27.9,11.6,-4.0,7.2,-3.4,-25.5,False,1.0,1.4,False,False,False,16538dbb8f,
UEC,2.0,2023-01-27,2023,CTRL,2022-04-22,41,0.67,53.4,6,False,True,0.0799,0.1186,0.36,0.71,-0.1,DOWN,8.0,-35.9,-38.8,-35.9,-18.4,-31.9,-37.8,82.6,60.6,-37.8,False,30.0,5.4,False,False,False,51d5d86ac4,
DAL,3.0,2020-09-25,2020,CTRL,2020-02-28,31,0.39,46.9,19,False,True,0.1126,0.0339,0.44,0.63,0.98,UP,22.0,33.4,20.7,0.0,60.0,38.7,0.0,46.2,9.2,0.0,False,8.0,24.7,False,False,False,6ce29de221,
TCOM,1.5,2021-07-16,2021,CTRL,2020-11-06,37,0.0,36.5,0,False,True,0.0748,0.0585,0.76,1.0,-0.74,DOWN,1.0,8.3,4.6,-18.4,-21.5,-30.0,-24.4,-16.1,-6.6,-35.9,False,,,True,False,False,c176cb75f6,
SMWB,2.0,2025-10-24,2025,CTRL,2025-02-14,37,0.5,49.1,27,False,True,0.0981,0.076,0.5,0.77,0.69,DOWN,12.0,-34.5,-36.6,-34.5,-70.6,-76.6,-73.6,,,,,,,True,False,False,a0f866942b,
VRTU,1.5,2019-01-11,2019,CTRL,2017-11-10,62,0.38,49.8,3,True,False,0.0568,0.045,0.55,0.8,-1.29,NONE,,20.6,8.0,0.0,-4.9,-22.1,-9.1,-10.1,-38.3,-26.2,False,9.0,17.2,True,False,False,935f5df6de,
YORW,1.5,2022-03-04,2022,CTRL,2019-08-30,132,0.66,52.0,131,False,False,0.0536,0.0323,0.47,0.8,-0.16,NONE,,-11.8,-7.1,-17.1,-6.1,2.5,-18.3,-5.2,-0.3,-18.9,False,,,False,False,False,90e3757a53,
NUE,1.5,2013-01-18,2013,CTRL,2011-10-14,67,1.0,73.7,35,False,True,0.0421,0.0406,1.22,0.83,0.68,UP,1.0,-10.1,-15.4,-10.1,-2.4,-17.5,-10.1,11.5,-14.8,-10.1,False,1.0,0.3,False,False,False,7fc6eed936,
NAFC,1.5,2009-10-09,2009,CTRL,2009-02-20,34,0.13,37.2,13,True,True,0.037,,0.53,0.58,1.02,NONE,,30.4,23.0,0.0,20.8,8.3,0.0,54.7,43.9,0.0,False,10.0,32.0,False,False,False,be0f13d59d,
E,1.5,2011-09-09,2011,CTRL,2010-06-11,66,0.07,36.3,62,False,False,0.0818,0.0396,0.5,1.62,-1.12,DOWN,2.0,23.4,14.1,-4.2,33.4,13.4,-4.2,36.6,9.4,-4.2,False,19.0,28.0,True,False,False,c800c0b154,
OMF,1.5,2019-03-29,2019,CTRL,2018-09-28,27,0.8,53.2,14,False,True,0.0774,0.0643,0.36,1.31,0.95,UP,4.0,7.4,3.1,-5.2,23.2,17.7,-5.2,-19.0,-10.6,-33.9,False,1.0,4.3,False,False,False,d7da0c9391,
NBTB,1.5,2019-01-25,2019,CTRL,2016-07-15,133,0.65,47.0,130,False,False,0.0467,0.0311,0.31,0.92,-0.65,NONE,,5.9,-5.0,-4.1,8.2,-6.5,-4.1,12.0,-14.0,-4.1,False,14.0,8.3,True,False,False,7415cfb5fe,
HS,3.0,2009-08-07,2009,CTRL,2009-02-13,26,0.81,48.4,22,True,False,0.1134,,0.25,0.98,1.38,UP,13.0,17.4,11.0,-8.6,29.0,22.5,-8.6,46.0,32.9,-8.6,False,13.0,17.4,False,False,False,7ed78e0769,
SBAC,1.5,2024-10-11,2024,CTRL,2023-02-17,87,0.54,58.5,20,False,True,0.0686,0.0478,0.18,0.95,1.28,NONE,,-17.1,-17.6,-17.1,-5.2,2.1,-17.1,-17.4,-31.5,-17.4,False,1.0,6.0,False,True,False,befbd1a2e8,
MASI,1.5,2017-12-01,2017,CTRL,2017-01-13,47,0.56,54.6,46,True,True,0.0381,0.0269,0.3,0.84,-0.43,NONE,,-5.0,-7.2,-6.1,13.6,9.2,-6.1,24.2,18.1,-6.1,False,9.0,4.5,True,False,False,66da5c9ce8,
VIPS,2.0,2022-07-08,2022,CTRL,2021-09-17,43,0.56,52.1,17,False,False,0.1075,0.0903,0.49,0.77,0.82,UP,22.0,-16.1,-9.8,-17.0,52.0,51.3,-31.1,59.2,44.6,-31.1,False,7.0,10.9,True,True,False,73348faa77,
DHCP,2.0,2013-08-09,2013,CTRL,2012-08-17,52,0.58,53.7,51,True,True,0.0996,0.056,0.81,1.06,-0.23,NONE,,-15.5,-20.7,-15.5,-26.0,-33.2,-26.0,-29.0,-45.4,-35.8,False,,,True,False,False,c444c530d5,
PIKE,1.5,2010-05-14,2010,CTRL,2009-11-06,28,0.56,55.8,16,True,True,0.0406,0.0614,0.89,0.86,0.99,DOWN,17.0,-17.9,-13.5,-17.9,-32.5,-39.1,-34.0,-10.2,-30.2,-34.0,False,,,False,False,False,e6e0fc93c6,
TIGO,1.5,2023-10-13,2023,CTRL,2023-01-06,41,0.26,41.9,40,False,True,0.0744,0.0716,0.12,0.66,-0.53,UP,24.0,23.6,12.7,-1.4,32.0,12.8,-1.4,76.3,40.1,-1.4,False,10.0,18.3,False,False,False,af9e81e9da,
LFGR,3.0,2013-10-18,2013,CTRL,2011-05-20,127,0.0,27.7,0,True,True,0.1519,,0.12,0.78,-0.73,DOWN,1.0,4.8,-1.1,-4.6,-17.5,-25.4,-17.5,-72.7,-82.9,-72.7,False,,,False,False,False,cac6593794,
CMC,1.5,2009-12-04,2009,CTRL,2009-04-17,34,0.39,51.2,33,False,True,0.0631,,0.7,1.09,-0.52,DOWN,8.0,-0.1,-3.6,-16.2,-10.4,-7.6,-16.2,4.1,-8.8,-21.8,False,,,False,False,False,2dff2c509c,
SCCO,1.5,2021-10-15,2021,CTRL,2020-11-06,50,0.54,54.5,48,False,True,0.0685,0.0547,0.57,0.82,-0.49,UP,20.0,4.0,-0.5,-11.4,13.4,14.5,-11.4,-23.9,-5.4,-29.7,False,18.0,5.3,True,False,False,a27d8fbd8a,
KND,1.5,2013-04-26,2013,CTRL,2012-06-22,45,0.4,46.0,39,True,True,0.0438,0.0919,0.44,0.89,-0.13,UP,4.0,43.3,35.9,0.0,39.4,27.1,0.0,145.4,125.3,0.0,False,1.0,10.3,False,False,False,e3e7e4f836,
BCO,2.0,2023-01-06,2023,DIVUP,2020-10-02,119,0.42,50.9,114,False,False,0.1046,0.0946,0.37,0.56,0.39,NONE,,11.8,6.0,0.0,14.3,0.4,0.0,44.2,21.8,0.0,False,8.0,17.5,True,False,False,5075b65bce,
YGE,1.5,2011-03-18,2011,DIVUP,2010-06-11,41,0.47,50.7,11,True,True,0.0603,0.0943,0.63,1.35,-0.05,DOWN,9.0,-28.4,-28.4,-32.1,-66.7,-62.8,-66.7,-65.0,-77.2,-73.1,False,2.0,12.3,False,False,True,fd05f32db4,
HABT,1.5,2018-04-27,2018,DIVUP,2017-10-20,28,0.42,51.5,11,True,True,0.0409,0.0544,0.81,0.66,0.79,UP,14.0,11.9,5.8,-12.9,37.9,37.5,-12.9,9.6,-2.6,-12.9,False,10.0,8.9,False,False,False,3c0ff5a710,
XEC,3.0,2012-02-10,2012,DIVUP,2009-11-06,119,0.31,50.7,118,True,True,0.1551,0.0834,0.15,0.77,0.61,NONE,,-5.0,-6.4,-5.0,-6.0,-11.8,-26.2,0.2,-15.3,-26.2,False,,,True,False,False,2b2e34b41d,
