ticker,R,date,year,kind,base_start,base_len,pos,rsi,wk_since_low,delisted,regime_spy_up,mad_med,pre_vol,contr8,vol_dry8,rsi_slope26,next_break,wk_to_break,ret13,exc13_SPY,mae13,ret26,exc26_SPY,mae26,ret52,exc52_SPY,mae52,trunc52,wk_to_comp,ret_to_comp,comp_before,divup_before,e1_before,id,dup_of
ADBE,1.5,2025-01-10,2025,ANTI,2024-02-16,48,0.0,30.9,0,False,True,0.0607,0.0477,1.38,0.92,-0.75,DOWN,9.0,-13.2,-5.4,-14.0,-10.5,-18.6,-14.1,-17.7,-38.7,-21.1,False,,,,,False,bae91ff482,
MBUU,1.5,2023-10-27,2023,ANTI,2022-08-26,62,0.0,33.4,0,False,False,0.0407,0.0533,0.28,0.98,-0.63,DOWN,2.0,11.2,-8.0,-3.9,-24.1,-48.7,-24.1,-9.9,-52.8,-27.4,False,,,,,False,94dad996ba,
KRO,2.0,2019-08-16,2019,ANTI,2018-08-10,54,0.0,31.5,0,False,True,0.0794,0.0442,1.45,0.72,-0.28,DOWN,1.0,37.7,29.3,-7.2,10.6,-7.4,-7.2,30.1,11.2,-23.5,False,,,,,False,b4a1e7e49f,
ACB,1.5,2026-01-02,2026,ANTI,2025-02-21,46,0.17,44.3,39,False,True,0.0744,0.1547,0.65,0.91,-0.1,DOWN,5.0,-20.7,-17.0,-26.3,-34.6,-44.2,-34.8,,,,,,,,,False,d3f5a8cc11,
SRPT,1.5,2026-03-06,2026,ANTI,2025-08-08,31,0.0,36.3,0,False,True,0.0944,0.1265,1.01,0.64,0.32,DOWN,1.0,-5.7,-15.7,-5.7,34.6,19.5,-11.1,,,,,,,,,False,5b8d31df80,
MRC,2.0,2018-12-07,2018,ANTI,2016-02-26,146,0.3,33.0,145,True,False,0.114,0.0734,0.28,0.69,-1.5,NONE,,10.2,5.5,-17.7,4.8,-5.4,-17.7,-7.5,-29.4,-25.7,False,,,,,False,fe44f80c63,
ONDS,3.0,2022-01-21,2022,ANTI,2021-02-19,49,0.0,33.5,0,False,False,0.1019,4.1926,1.41,0.94,-0.37,NONE,,67.4,69.8,0.0,15.8,24.9,0.0,-57.3,-49.2,-63.3,False,,,,,False,a1a32ea35b,
ZIOP,2.0,2010-08-13,2010,ANTI,2010-01-08,32,0.16,43.4,29,True,False,0.1733,0.1656,0.38,0.92,-1.53,NONE,,21.0,9.5,0.0,63.9,39.7,0.0,42.9,31.7,0.0,False,,,,,False,a61d194e09,
DEC,1.5,2026-01-16,2026,ANTI,2025-04-18,40,0.27,43.0,39,False,True,0.0441,0.068,0.86,1.51,-0.34,UP,9.0,24.7,21.8,0.0,11.7,3.7,0.0,,,,,,,,,False,ed340a7b92,
SYNT,1.5,2010-02-19,2010,CTRL,2009-07-03,34,0.16,43.6,32,True,True,0.07,0.074,0.62,0.74,-2.07,NONE,,-2.1,-0.7,-2.1,18.1,20.5,-2.2,62.1,38.7,-2.2,False,29.0,28.8,False,False,False,6ed354c6e1,7426078452
ADBE,1.5,2025-01-10,2025,ANTI,2024-02-16,48,0.0,30.9,0,False,True,0.0607,0.0477,1.38,0.92,-0.75,DOWN,9.0,-13.2,-5.4,-14.0,-10.5,-18.6,-14.1,-17.7,-38.7,-21.1,False,,,,,False,949237f112,bae91ff482
RACE,2.0,2019-01-25,2019,E1,2017-04-28,92,0.49,46.6,91,False,False,0.0818,0.0308,0.62,0.67,-0.51,UP,19.0,22.7,11.9,0.0,50.3,35.7,0.0,56.3,30.3,0.0,False,7.0,18.5,True,False,False,2d87973b2d,21e2e33402
ACM,1.5,2010-04-23,2010,COMP,2009-03-13,59,0.73,59.1,57,False,True,0.0532,,0.21,0.62,0.72,DOWN,9.0,-19.1,-10.1,-28.1,-15.9,-14.0,-28.1,-12.3,-24.3,-28.1,False,,,,,False,6e28875034,992d627ff2
NOG,1.5,2025-09-12,2025,CTRL,2025-02-21,30,0.33,43.8,22,False,True,0.0759,0.0529,0.25,0.81,0.38,DOWN,5.0,-9.7,-13.6,-14.2,12.2,10.9,-14.5,12.7,-4.9,-23.9,False,23.0,14.8,False,False,False,3da2e16f0a,b04e7ac14e
OUST,3.0,2023-12-01,2023,DIVUP,2023-03-10,39,0.4,51.4,31,False,True,0.1125,0.129,1.14,0.68,0.17,UP,18.0,-5.3,-17.4,-14.8,99.3,83.6,-17.9,68.3,35.3,-17.9,False,17.0,35.3,False,False,False,1d3ca70946,23df03211b
EVC,1.5,2014-04-18,2014,CTRL,2013-06-07,46,0.3,43.9,45,False,True,0.0542,0.084,1.23,1.06,-0.51,DOWN,16.0,5.9,-0.6,-7.4,-18.1,-20.2,-29.5,18.2,4.5,-29.5,False,,,True,False,False,32f0dcd214,928d89a6fa
TLK,1.5,2024-01-19,2024,DIVUP,2021-07-30,130,0.49,53.8,129,False,True,0.0562,0.0446,0.21,0.84,0.78,DOWN,13.0,-22.5,-25.5,-22.5,-17.3,-31.9,-28.0,-31.2,-56.7,-34.5,False,,,True,False,True,c55399e940,e41f5635f4
PIKE,1.5,2010-05-14,2010,CTRL,2009-11-06,28,0.56,55.8,16,True,True,0.0406,0.0614,0.89,0.86,0.99,DOWN,17.0,-17.9,-13.5,-17.9,-32.5,-39.1,-34.0,-10.2,-30.2,-34.0,False,,,False,False,False,deb60ed100,e6e0fc93c6
IDTI,1.5,2017-11-03,2017,COMP,2016-11-04,53,1.0,73.4,52,True,True,0.0414,0.0659,0.69,1.04,0.33,UP,1.0,-8.1,-15.2,-8.1,-6.5,-10.4,-9.8,49.7,42.6,-9.8,False,,,,,False,473a0652ea,e0ca791442
LII,2.0,2022-09-09,2022,DIVUP,2020-05-01,124,0.49,56.9,121,False,False,0.1148,0.0568,0.34,0.89,0.84,NONE,,-0.2,2.6,-16.9,-4.6,-0.3,-16.9,52.3,40.9,-16.9,False,,,True,False,True,d9006c4118,3f5d60e446
