ticker,R,start,end,break_date,year,base_len,dir,confirmed,delisted,break_close,base_hi,base_lo,range_ratio,drift,pos_in_band,rsi_end,vol_contraction,prior_dd,above_ma200,phaseB_weeks,break_bar_pct,mad_med,cv,mid_share,pre_vol,spring,b_idx,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,pos_L8,ma_L8,slope_L8,rsi_L8,hl_L8,wk_since_low_L8,pos_L13,ma_L13,slope_L13,rsi_L13,hl_L13,wk_since_low_L13,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52,gallery_set,asof,close,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,state_now,rsi_h1_now,rsi_h2_now,px_h2_over_h1_now,wk_h1_h2_now,wk_since_h2_now,rsi_slope26,px_slope26,mx_date,e1_date,e1_wk_ago,e2_date,e2_kind,e2_wk_ago,support_failed_wk,macd_pct,macd_hist_pct,macd_bull,eo_pct,eo_rising,macd_cross_wk_ago,date,base_start,pos,rsi,wk_since_low,regime_spy_up,e1_before,wk_since_e1,next_break,wk_to_break,kind,wk_to_comp,ret_to_comp,comp_before,divup_before,macd_pct_cross,became_e1,wk_to_e1,e1_cross_wk_ago,e1_trough_wk_ago,pos_cross,eo_pct_trough,wk_to_e2,wk_to_e2a,wk_to_e2b,ret_to_e2,support_failed,ret26_inv_struct,exit_wk_struct,ret26_inv_stop,exit_wk_stop,blend_h_wk,blend_ret,blend_mae,e1only_ret_h,e1only_mae_h,e2_ret26,e2_mae26,blend_exc,rsi_h1,rsi_h2,px_h2_over_h1,wk_h1_h2,wk_since_h2,wk_to_anti,ret_to_anti,ret_since_e1,e2a_wk,e2b_wk
GRVY,1.5,2024-06-28,,,,118,,,,,77.83,51.92,1.5,0.0,,,,-0.39,True,,,0.0397,0.0837,0.653,0.0591,False,,0.0183,0.0525,0.46,1.77,0.67,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,69.61,0.68,True,0.125,57.7,2.0,80.0,COMP,58.6,69.4,1.146,8.0,4.0,0.58,0.79,,2024-12-20,92.0,2025-05-09,bounce,72.0,10.0,4.17,0.74,True,11.48,False,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWSA,1.5,2023-11-24,,,,149,,,,,30.87,21.46,1.44,0.24,,,,-0.01,True,,,0.0406,0.0737,0.738,0.0388,False,,0.0183,0.0418,0.45,1.39,1.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,29.7,0.88,True,0.118,60.7,2.0,146.0,COMP,63.2,68.8,1.089,6.0,4.0,0.63,0.74,2026-04-03,2026-04-03,25.0,2026-05-08,eo_zero,20.0,,3.81,0.77,True,12.13,False,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUPH,1.5,2025-10-17,,,,50,,,,,17.23,11.55,1.49,0.38,,,,-0.12,True,,,0.0425,0.0724,0.6,0.0583,False,,0.0235,0.0219,0.55,0.85,0.73,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,16.61,0.89,True,0.012,57.7,0.0,49.0,COMP,68.4,73.4,1.074,10.0,13.0,-0.44,0.19,,,,,,,,2.54,0.11,True,5.65,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDS,1.5,2026-01-30,,,,35,,,,,24.18,16.73,1.45,0.4,,,,-0.03,True,,,0.0439,0.0919,0.4,0.0508,False,,0.0146,0.0263,0.33,0.75,0.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,22.71,0.8,True,0.02,55.3,0.0,34.0,COMP,83.9,61.6,0.982,21.0,5.0,-0.55,0.11,,,,,,,,3.99,0.06,True,6.65,False,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANR,1.5,2024-07-19,,,,115,,,,,74.01,50.4,1.47,0.35,,,,-0.22,True,,,0.0492,0.0769,0.757,0.0407,False,,0.0044,0.0094,0.09,1.54,1.21,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,69.72,0.82,True,0.092,55.9,2.0,111.0,COMP,60.4,70.0,1.109,9.0,6.0,0.34,0.59,,,,,,,,2.98,-0.08,False,7.48,False,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHR,1.5,2025-01-31,,,,87,,,,,237.37,161.57,1.47,-0.04,,,,-0.41,False,,,0.0506,0.0785,0.747,0.0328,False,,0.0297,0.0289,0.59,0.76,1.54,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,215.84,0.72,True,0.135,58.3,1.0,19.0,COMP,56.6,62.2,1.074,5.0,5.0,1.06,0.72,2026-06-26,2026-06-26,13.0,2026-08-14,eo_zero,6.0,,2.08,1.2,True,7.04,False,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USPH,1.5,2025-10-31,,,,48,,,,,85.29,58.51,1.46,-0.12,,,,-0.45,False,,,0.0512,0.0912,0.438,0.0577,False,,0.0131,0.0271,0.26,0.88,0.89,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,82.45,0.89,True,0.157,62.9,0.0,20.0,COMP,45.8,62.1,1.069,17.0,6.0,1.15,0.72,,,,,,,,2.72,1.6,True,7.28,True,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDS,1.5,2025-08-15,,,,59,,,,,680.78,493.41,1.38,0.13,,,,0.03,True,,,0.0515,0.0743,0.678,0.0578,False,,0.0214,0.0628,0.42,1.23,0.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,639.11,0.78,True,0.032,56.7,0.0,58.0,COMP,52.0,54.1,1.007,8.0,15.0,0.39,0.36,,,,,,,,2.34,1.3,True,7.19,True,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUXE,1.5,2026-02-20,,,,32,,,,,10.08,6.98,1.44,-0.16,,,,-0.37,True,,,0.0515,0.0985,0.531,0.0926,False,,0.0297,0.0288,0.58,0.62,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,9.66,0.86,True,0.028,61.4,0.0,18.0,COMP,53.1,50.5,0.906,13.0,8.0,0.23,0.08,,2026-08-14,6.0,2026-09-25,bounce,0.0,,1.5,2.26,True,3.11,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMNB,1.5,2024-06-28,,,,118,,,,,16.13,10.82,1.49,0.34,,,,-0.14,True,,,0.0535,0.0784,0.822,0.0365,False,,0.0076,0.0147,0.14,3.4,1.47,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,15.31,0.85,True,0.106,57.7,2.0,116.0,COMP,63.6,71.4,1.123,9.0,6.0,0.33,0.7,,,,,,,,3.82,0.06,True,9.94,False,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCO,1.5,2026-01-09,,,,38,,,,,216.0,149.58,1.44,0.24,,,,0.03,True,,,0.0554,0.0783,0.842,0.051,False,,0.0172,0.0721,0.31,0.83,1.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,198.06,0.73,True,0.052,55.8,0.0,27.0,COMP,59.7,63.5,1.135,12.0,5.0,-0.07,0.45,,,,,,,,4.28,0.08,True,7.43,False,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DV,1.5,2025-09-12,,,,55,,,,,13.46,9.06,1.49,0.28,,,,-0.79,False,,,0.0558,0.1102,0.618,0.065,False,,0.0049,0.0113,0.09,1.15,0.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,13.44,1.0,True,0.221,64.5,1.0,19.0,COMP,47.5,52.8,1.027,8.0,21.0,0.94,1.19,,,,,,,,5.53,1.74,True,17.46,False,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRTX,1.5,2023-12-15,,,,146,,,,,548.05,366.54,1.5,0.19,,,,-0.03,True,,,0.0565,0.0797,0.76,0.0283,False,,0.0237,0.0446,0.42,1.03,2.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,510.72,0.79,True,0.152,56.4,3.0,59.0,COMP,71.1,69.0,1.038,7.0,5.0,0.8,0.9,2025-10-17,,,,,,,3.69,0.34,True,9.79,False,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBTB,1.5,2024-07-12,,,,116,,,,,53.14,36.74,1.45,0.31,,,,-0.12,True,,,0.0567,0.0882,0.621,0.0397,False,,0.01,0.0099,0.18,1.34,1.43,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_tight,2026-09-25,51.22,0.88,True,0.144,60.9,2.0,76.0,COMP,60.8,73.2,1.183,17.0,6.0,0.52,0.85,2025-07-04,,,,,,,4.08,-0.31,False,9.22,False,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECVT,1.5,2025-12-26,,,,40,,,,,14.56,9.91,1.47,-0.03,,,,-0.11,True,,,0.104,0.1178,0.45,0.0502,False,,0.0053,0.0316,0.05,0.74,2.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,10.39,0.1,False,-0.183,40.4,0.0,38.0,ANTI,79.9,56.1,0.898,11.0,10.0,-2.0,-1.75,,,,,,,,-4.51,-2.68,False,-17.78,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAD,1.5,2025-09-05,,,,56,,,,,23.22,15.63,1.49,-0.05,,,,-0.39,True,,,0.0391,0.0684,0.75,0.0291,False,,0.0024,0.0057,0.06,0.86,1.34,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,19.29,0.48,True,0.059,54.5,2.0,26.0,,55.0,56.8,1.013,10.0,10.0,0.51,0.42,2026-04-17,2026-04-17,23.0,2026-05-15,eo_zero,19.0,,1.4,0.39,True,6.25,False,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTAL,1.5,2025-04-11,,,,51,,,,,12.41,8.37,1.48,-0.21,,,,-0.44,False,,,0.0392,0.1037,0.549,0.0682,False,,0.0025,0.002,0.06,0.12,0.57,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,10.16,0.44,False,-0.023,36.8,1.0,50.0,,,,,,,-0.17,-0.28,2026-07-31,,,,,,,-2.0,0.43,True,-5.81,True,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,1.5,2026-01-02,,,,39,,,,,93.04,64.59,1.44,-0.27,,,,0.05,True,,,0.064,0.1126,0.359,0.0489,False,,0.0045,0.0077,0.07,0.72,1.31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,66.09,0.05,False,-0.179,44.6,0.0,38.0,ANTI,75.2,46.9,0.746,12.0,9.0,-1.32,-1.54,,,,,,,,-2.54,-1.26,False,-11.68,True,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWAY,1.5,2026-02-13,,,,33,,,,,7.45,5.05,1.48,-0.14,,,,-0.45,False,,,0.0755,0.1001,0.727,0.0331,False,,0.0053,0.0152,0.07,0.75,2.28,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,6.69,0.68,True,0.033,57.3,0.0,13.0,COMP,,,,,,1.17,0.35,,2026-08-07,7.0,2026-09-04,eo_zero,3.0,,0.47,2.91,True,6.54,True,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERIC,1.5,2025-10-17,,,,50,,,,,13.5,9.2,1.47,0.3,,,,0.1,True,,,0.0824,0.1019,0.44,0.0419,False,,0.0064,0.0138,0.08,0.75,1.97,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,10.25,0.24,False,-0.151,46.3,0.0,37.0,,72.5,77.7,1.136,6.0,18.0,-1.35,-1.01,,,,,,,,-2.15,-0.98,False,-9.05,True,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,1.5,2023-10-27,,,,153,,,,,222.37,156.38,1.42,-0.15,,,,-0.38,False,,,0.0526,0.082,0.68,0.0377,True,,0.0046,0.0107,0.09,0.67,1.4,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,174.6,0.28,False,-0.034,48.5,2.0,152.0,,50.9,58.3,1.064,7.0,16.0,-0.0,-0.09,2026-01-16,,,,,,,-0.52,0.22,True,-0.53,False,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARN,1.5,2023-11-03,,,,152,,,,,5.04,3.5,1.44,0.05,,,,-0.4,False,,,0.0588,0.0788,0.566,0.0329,False,,0.0057,0.0095,0.1,0.88,1.79,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,4.28,0.51,False,-0.019,46.9,2.0,150.0,,56.2,50.6,0.949,16.0,4.0,-0.02,-0.08,,,,,,,,-0.66,0.09,True,-0.47,True,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPCH,1.5,2026-03-20,,,,28,,,,,29.0,19.52,1.49,-0.31,,,,-0.46,False,,,0.0705,0.1197,0.393,0.0427,True,,0.0075,0.0215,0.11,0.85,1.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,23.95,0.47,True,0.002,48.1,0.0,19.0,,44.4,37.0,0.758,10.0,14.0,0.6,-0.22,,,,,,,,-2.85,2.19,True,-5.85,True,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACE,1.5,2025-10-10,,,,51,,,,,436.54,311.04,1.4,0.13,,,,-0.39,True,,,0.067,0.0833,0.569,0.0428,False,,0.0077,0.0258,0.11,0.74,1.57,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,416.13,0.84,True,0.154,58.9,1.0,27.0,COMP,50.2,66.8,1.184,18.0,5.0,0.81,0.89,2026-04-10,2026-04-17,23.0,2026-05-29,bounce,17.0,,3.52,0.94,True,11.31,False,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTEX,1.5,2025-08-08,,,,60,,,,,4.53,3.04,1.49,-0.27,,,,-0.67,False,,,0.0609,0.0902,0.683,0.0577,True,,0.0069,0.0401,0.11,0.59,1.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,3.59,0.37,True,0.009,43.9,0.0,31.0,,56.2,58.3,1.024,15.0,8.0,-0.18,-0.27,2026-02-27,2026-03-06,29.0,2026-04-10,eo_zero,24.0,,-1.88,-1.01,False,-3.88,False,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRWD,1.5,2026-02-06,,,,34,,,,,4.56,3.04,1.5,0.37,,,,-0.8,False,,,0.0945,0.1098,0.471,0.1527,False,,0.0116,0.0163,0.12,0.87,0.62,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,4.41,0.9,True,0.098,56.7,1.0,27.0,COMP,63.0,59.1,1.009,12.0,11.0,-0.03,0.46,,,,,,,,4.34,-0.04,False,6.3,True,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLK,1.5,2025-05-16,,,,72,,,,,20.72,13.87,1.49,-0.3,,,,-0.37,False,,,0.1015,0.1199,0.347,0.0445,False,,0.0135,0.0219,0.13,0.76,2.28,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,13.87,0.0,False,-0.064,36.5,0.0,0.0,ANTI,44.3,44.5,0.871,17.0,7.0,0.14,-0.62,2026-08-07,2026-08-07,7.0,,,,7.0,-4.32,0.53,True,-9.91,False,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDU,1.5,2024-10-25,,,,101,,,,,61.99,42.05,1.47,0.04,,,,-0.55,False,,,0.0914,0.1009,0.535,0.0637,False,,0.0116,0.0573,0.13,0.68,1.43,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,55.14,0.66,True,0.073,53.1,1.0,76.0,,57.3,63.8,1.006,15.0,8.0,0.45,0.32,2025-05-02,2025-05-09,72.0,2025-06-27,bounce,65.0,,2.21,1.2,True,6.76,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDRL,1.5,2026-01-23,,,,36,,,,,52.7,38.48,1.37,0.3,,,,-0.3,True,,,0.0584,0.08,0.694,0.0665,False,,0.0083,0.0354,0.14,0.84,0.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,46.58,0.57,False,-0.019,55.0,0.0,34.0,,77.0,77.6,1.109,5.0,19.0,-0.81,-0.09,,,,,,,,3.34,0.09,True,5.83,False,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZVRA,1.5,2026-04-03,,,,26,,,,,13.98,9.4,1.49,0.39,,,,-0.25,True,,,0.0882,0.1142,0.577,0.083,False,,0.0133,0.03,0.15,0.72,1.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,11.67,0.5,True,0.07,52.5,0.0,25.0,,64.4,69.9,1.256,8.0,12.0,-0.32,0.62,,,,,,,,3.46,-0.84,False,9.14,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNCA,1.5,2024-04-26,,,,127,,,,,2334.33,1561.5,1.49,0.28,,,,-0.04,True,,,0.0717,0.087,0.701,0.042,False,,0.0118,0.02,0.16,0.7,1.71,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,2121.73,0.72,True,0.082,52.2,2.0,77.0,,59.3,70.1,1.087,9.0,6.0,0.41,0.54,2025-06-06,2025-06-06,68.0,2025-07-18,eo_zero,62.0,,2.23,-0.32,False,5.51,False,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDCC,1.5,2025-08-08,,,,60,,,,,375.98,251.45,1.5,-0.14,,,,0.0,True,,,0.0848,0.1164,0.467,0.0482,False,,0.0138,0.0547,0.16,0.75,1.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_vcp,2026-09-25,326.7,0.6,True,0.056,53.5,1.0,17.0,,47.4,59.7,1.167,7.0,7.0,0.45,0.28,,,,,,,,2.29,1.63,True,5.74,False,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARX,3.0,2025-07-25,,,,62,,,,,30.05,10.26,2.93,-0.24,,,,,,,,0.1177,0.2891,0.323,,False,,0.0056,0.0153,0.05,2.09,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,19.78,0.48,True,0.183,62.2,1.0,31.0,DIVUP,24.4,53.9,1.045,21.0,18.0,1.05,1.27,,,,,,,,7.28,3.49,True,26.95,False,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULL,3.0,2025-10-03,,,,52,,,,,14.19,4.82,2.94,-0.27,,,,-0.82,False,,,0.1551,0.2433,0.538,0.1719,False,,0.0693,0.092,0.45,1.41,0.9,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,8.25,0.37,True,0.267,53.5,2.0,26.0,DIVUP,41.8,46.8,0.746,23.0,19.0,1.04,1.59,2026-04-17,2026-04-17,23.0,2026-07-10,eo_zero,11.0,,4.82,2.49,True,25.42,False,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNE,1.5,2025-07-25,,,,62,,,,,19.68,13.22,1.49,-0.17,,,,-0.53,True,,,0.0296,0.0769,0.242,0.0485,False,,0.0406,0.0369,1.37,0.88,0.61,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,16.22,0.46,True,0.065,67.6,1.0,19.0,DIVUP,49.7,54.1,1.018,8.0,12.0,0.8,0.48,2026-01-16,2026-01-16,36.0,2026-06-26,bounce,13.0,9.0,2.62,1.52,True,8.63,True,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEPO,1.5,2025-01-10,,,,90,,,,,12.51,10.05,1.24,-0.1,,,,,,,,0.0113,0.0565,0.156,,False,,0.0012,0.007,0.11,1.0,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,10.78,0.3,True,0.011,65.7,2.0,89.0,DIVUP,58.0,69.7,1.016,9.0,5.0,0.58,0.09,2025-12-19,,,,,,,0.52,0.12,True,1.56,False,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG,1.5,2026-03-06,,,,30,,,,,144.88,101.86,1.42,0.07,,,,-0.34,False,,,0.0434,0.0732,0.833,0.0504,False,,0.0088,0.02,0.2,0.67,0.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,121.91,0.47,True,0.09,50.1,0.0,19.0,DIVUP,49.9,55.1,1.008,15.0,8.0,0.54,0.46,,,,,,,,0.98,0.44,True,0.92,True,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSLX,1.5,2023-11-03,,,,152,,,,,22.04,15.15,1.45,0.35,,,,0.01,True,,,0.06,0.0967,0.559,0.0245,False,,0.011,0.0256,0.18,0.96,2.45,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,18.04,0.42,True,0.031,53.1,3.0,151.0,DIVUP,51.1,58.1,0.997,14.0,7.0,0.5,0.14,2026-04-24,2026-04-24,22.0,2026-08-07,bounce,7.0,,0.23,0.97,True,3.17,True,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLT,2.0,2025-04-18,,,,76,,,,,10.84,5.73,1.89,-0.11,,,,-0.37,True,,,0.1079,0.1521,0.645,0.0898,False,,0.0231,0.0269,0.21,0.53,1.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,8.05,0.45,True,0.06,52.3,3.0,75.0,DIVUP,51.1,54.3,1.039,6.0,11.0,0.28,0.33,2026-05-22,,,,,,,-0.63,0.7,True,0.63,True,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFI,2.0,2025-08-08,,,,60,,,,,55.91,28.24,1.98,0.15,,,,0.17,True,,,0.1075,0.1519,0.733,0.0735,False,,0.0498,0.1313,0.46,1.11,1.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,41.99,0.5,False,-0.042,52.3,0.0,58.0,DIVUP,57.5,60.5,0.957,18.0,5.0,0.13,-0.24,,,,,,,,1.89,2.18,True,5.05,False,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRD,2.0,2025-09-05,,,,56,,,,,37.48,19.36,1.94,-0.19,,,,0.1,True,,,0.1084,0.1565,0.679,0.0794,False,,0.0504,0.1344,0.46,0.78,1.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,25.77,0.35,False,-0.089,50.7,0.0,10.0,DIVUP,54.3,59.8,0.958,18.0,5.0,0.08,-0.58,,,,,,,,-0.07,2.27,True,0.49,False,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBTN,3.0,2025-04-11,,,,77,,,,,21.31,8.09,2.63,-0.04,,,,-0.65,False,,,0.1826,0.2483,0.416,0.0864,False,,0.0831,0.1094,0.46,1.1,2.11,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divup,2026-09-25,11.11,0.23,False,-0.153,52.1,1.0,76.0,DIVUP,49.4,55.7,0.965,17.0,20.0,-0.26,-0.89,2026-04-24,2026-04-24,22.0,2026-09-11,bounce,2.0,,-3.67,1.32,True,-2.37,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STTK,2.0,2026-02-20,,,,32,,,,,7.74,3.92,1.97,0.33,,,,-0.64,True,,,0.0816,0.1552,0.469,0.1572,True,,0.081,0.0539,0.99,1.45,0.52,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divdn,2026-09-25,6.11,0.57,True,0.103,48.9,0.0,30.0,DIVDN,84.7,65.0,0.973,12.0,10.0,-0.98,0.07,,,,,,,,5.48,-3.46,False,4.51,False,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFRD,3.0,2024-07-26,,,,114,,,,,113.81,38.93,2.92,0.27,,,,-0.69,True,,,0.1945,0.2505,0.596,0.0522,False,,0.0514,0.0544,0.26,0.95,3.73,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divdn,2026-09-25,82.2,0.58,False,-0.131,43.0,1.0,77.0,DIVDN,77.9,67.9,1.038,12.0,21.0,-0.84,-1.02,2025-02-14,2025-02-14,84.0,2025-08-22,eo_zero,57.0,2.0,-1.52,-1.44,False,-7.42,False,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAX,2.0,2025-11-28,,,,44,,,,,375.94,196.46,1.91,0.35,,,,-0.01,True,,,0.0676,0.1101,0.682,0.3723,False,,0.0463,0.0598,0.68,0.95,0.18,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live_divdn,2026-09-25,298.87,0.57,True,0.046,46.4,1.0,43.0,DIVDN,69.6,63.9,1.074,12.0,5.0,-0.68,0.15,,,,,,,,3.5,-2.22,False,1.23,False,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
