ticker,R,start,end,break_date,year,base_len,dir,confirmed,delisted,break_close,base_hi,base_lo,range_ratio,drift,pos_in_band,rsi_end,vol_contraction,prior_dd,above_ma200,phaseB_weeks,break_bar_pct,mad_med,cv,mid_share,pre_vol,spring,b_idx,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,pos_L8,ma_L8,slope_L8,rsi_L8,hl_L8,wk_since_low_L8,pos_L13,ma_L13,slope_L13,rsi_L13,hl_L13,wk_since_low_L13,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52,gallery_set,asof,close,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,state_now,rsi_h1_now,rsi_h2_now,px_h2_over_h1_now,wk_h1_h2_now,wk_since_h2_now,rsi_slope26,px_slope26,mx_date,e1_date,e1_wk_ago,e2_date,e2_kind,e2_wk_ago,support_failed_wk,macd_pct,macd_hist_pct,macd_bull,eo_pct,eo_rising,macd_cross_wk_ago,date,base_start,pos,rsi,wk_since_low,regime_spy_up,e1_before,wk_since_e1,next_break,wk_to_break,kind,wk_to_comp,ret_to_comp,comp_before,divup_before,macd_pct_cross,became_e1,wk_to_e1,e1_cross_wk_ago,e1_trough_wk_ago,pos_cross,eo_pct_trough,wk_to_e2,wk_to_e2a,wk_to_e2b,ret_to_e2,support_failed,ret26_inv_struct,exit_wk_struct,ret26_inv_stop,exit_wk_stop,blend_h_wk,blend_ret,blend_mae,e1only_ret_h,e1only_mae_h,e2_ret26,e2_mae26,blend_exc,rsi_h1,rsi_h2,px_h2_over_h1,wk_h1_h2,wk_since_h2,wk_to_anti,ret_to_anti,ret_since_e1,e2a_wk,e2b_wk
COKE,1.5,2024-05-24,2025-11-07,2025-11-14,2025.0,77,UP,True,False,158.84,140.25,96.67,1.45,0.15,0.93,64.0,0.85,0.03,True,76.0,15.8,0.0672,0.0909,0.623,0.0382,False,880.0,0.0437,0.0449,0.65,0.14,1.76,0.01,0.56,False,-0.063,53.2,1.0,67.0,0.38,False,-0.145,45.4,0.0,62.0,1.7,False,-0.1,-16.9,2.7,-6.1,7.0,False,-3.6,-54.7,-9.7,-6.1,,,,,,,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,1.5,2012-06-01,2014-08-08,2014-08-15,2014.0,115,UP,True,False,33.44,32.67,21.82,1.5,0.36,0.83,57.5,0.68,-0.16,True,115.0,8.5,0.0664,0.0812,0.739,0.0358,False,293.0,0.0172,0.0243,0.26,0.63,1.85,0.03,0.74,True,0.118,59.3,2.0,106.0,0.83,True,0.059,69.9,2.0,101.0,-7.6,False,-12.4,-12.1,-13.8,-10.5,-0.1,False,-8.4,-14.0,-10.5,-13.6,-17.2,False,-26.3,-19.5,-31.9,-17.2,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLFC,1.5,2016-02-26,2018-03-23,2018-03-30,2018.0,109,UP,True,False,10.72,9.24,6.16,1.5,0.29,1.0,71.4,0.32,-0.2,True,109.0,16.1,0.0431,0.0736,0.853,0.0346,False,482.0,0.0104,0.0177,0.24,0.71,1.25,0.06,0.92,True,0.039,61.0,2.0,100.0,0.62,True,0.007,47.5,1.0,95.0,-7.8,False,-11.4,-6.3,-15.3,-9.0,0.7,False,-10.8,-1.4,-15.8,-9.9,23.7,False,14.2,19.7,10.5,-9.9,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTRA,1.5,2017-12-08,2018-06-22,2018-06-29,2018.0,29,DOWN,True,False,5.36,8.26,5.83,1.42,-0.26,0.0,31.6,1.25,-0.51,,29.0,-8.1,0.0373,0.0695,0.862,0.0513,False,79.0,0.0228,0.0311,0.61,0.77,0.73,0.0,0.55,False,-0.109,46.8,0.0,4.0,0.0,False,-0.217,33.7,0.0,0.0,4.1,False,-3.5,0.4,-4.3,20.3,-26.5,False,-18.8,-12.7,-16.0,20.3,-30.2,False,-40.4,-39.6,-40.0,20.3,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPGP,1.5,2009-09-11,2010-07-30,2010-08-06,2010.0,47,UP,True,False,21.23,18.07,13.26,1.36,0.32,0.56,50.8,0.97,0.0,,47.0,33.1,0.049,0.0709,0.681,0.0678,False,83.0,0.0187,0.024,0.38,0.86,0.72,0.0,0.59,True,0.046,51.0,1.0,38.0,0.89,True,0.014,60.7,1.0,33.0,17.5,False,7.7,3.9,2.4,-5.5,66.4,False,48.5,34.9,43.1,-5.5,179.9,False,170.9,169.9,163.8,-5.5,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YETI,1.5,2022-11-11,2025-03-07,2025-03-14,2025.0,122,DOWN,True,False,32.17,51.86,34.61,1.5,-0.24,0.07,41.8,0.31,-0.68,False,64.0,-10.0,0.0521,0.0907,0.615,0.066,False,333.0,0.0166,0.0197,0.32,1.06,0.79,0.02,0.21,False,-0.025,46.4,2.0,36.0,0.45,False,-0.007,57.2,2.0,31.0,-6.7,False,-13.1,-20.2,-16.8,8.1,10.2,False,-7.3,-24.1,-12.4,20.8,13.4,False,-5.7,-58.1,-11.0,57.8,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALM,1.5,2014-05-16,2015-05-08,2015-05-15,2015.0,52,UP,True,False,39.75,33.31,22.48,1.48,0.23,0.8,59.8,0.82,0.03,True,52.0,27.8,0.0661,0.0865,0.712,0.0311,False,332.0,0.021,0.0438,0.32,1.21,2.13,0.0,0.38,False,-0.124,47.6,0.0,43.0,0.31,False,-0.061,44.3,0.0,38.0,-4.5,False,-3.6,6.7,-5.6,-6.3,0.8,False,4.5,8.5,0.1,-9.1,-6.8,False,-5.3,1.1,-4.1,-14.2,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBR,1.5,2021-04-23,2021-12-03,2021-12-10,2021.0,33,UP,True,False,3.96,3.74,2.51,1.49,0.34,1.0,62.6,1.08,-0.46,True,33.0,6.0,0.0499,0.0874,0.697,0.0802,False,675.0,0.0357,0.0479,0.72,1.03,0.62,0.0,0.86,True,0.075,57.3,0.0,24.0,0.75,True,0.268,55.1,0.0,19.0,22.1,False,32.5,41.7,40.5,-4.3,38.4,False,55.0,65.2,65.7,-4.3,52.6,False,67.8,80.7,81.3,-4.3,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNP,1.5,2023-11-03,2026-07-10,2026-07-17,2026.0,141,UP,True,False,300.36,285.63,197.96,1.44,0.3,1.0,66.9,1.46,-0.2,True,140.0,5.2,0.0389,0.07,0.66,0.0327,False,915.0,0.025,0.0175,0.64,1.06,1.19,0.04,1.0,True,0.087,66.3,4.0,131.0,0.78,True,0.086,58.1,3.0,126.0,,,,,,,,,,,,,,,,,,,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBCP,1.5,2018-08-31,2020-03-13,2020-03-20,2020.0,81,DOWN,True,False,8.84,18.38,12.26,1.5,-0.15,0.0,22.2,1.65,-0.37,False,81.0,-27.9,0.0328,0.0569,0.556,0.0294,False,585.0,0.0223,0.0192,0.68,1.36,1.12,0.02,0.71,True,0.1,57.1,2.0,19.0,0.67,True,0.065,57.5,1.0,14.0,32.0,False,-3.5,-17.2,-11.4,45.2,23.6,False,-22.1,-42.9,-33.3,45.2,119.6,False,46.7,-13.2,34.9,123.6,tight_contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
