ticker,theme,group,hold_terminal,hold_maxdd,X1_STRUCT_ratio,X1_STRUCT_maxdd,X1_STRUCT_trades,X1_STRUCT_pctin,X2_MA52_ratio,X2_MA52_maxdd,X2_MA52_trades,X2_MA52_pctin,X3_CROSSDN_ratio,X3_CROSSDN_maxdd,X3_CROSSDN_trades,X3_CROSSDN_pctin,X4_TRAIL25_ratio,X4_TRAIL25_maxdd,X4_TRAIL25_trades,X4_TRAIL25_pctin,X5_COMBO_ratio,X5_COMBO_maxdd,X5_COMBO_trades,X5_COMBO_pctin
MOD,ai,stock,16.219,-79.4,0.945,-55.6,4,73.5,1.304,-36.9,5,60.1,0.512,-79.4,3,82.3,1.203,-36.9,4,63.8,0.901,-55.6,4,79.9
IREN,ai,stock,9.111,-63.7,1.72,-63.7,2,85.5,0.226,-65.2,4,63.3,0.347,-65.3,2,92.2,0.52,-51.3,5,36.1,1.155,-63.7,1,98.8
APLD,ai,stock,6.613,-63.0,0.484,-62.9,2,79.2,0.267,-52.5,3,66.3,0.519,-63.0,2,93.1,0.713,-41.0,3,53.5,0.484,-62.9,2,79.2
WULF,ai,stock,2.421,-98.4,1.778,-98.0,4,64.0,10.072,-68.0,6,42.0,7.286,-79.0,5,61.2,29.69,-39.1,6,35.1,1.961,-98.0,3,76.0
CORZ,ai,stock,1.522,-31.6,0.613,-10.9,2,5.9,1.0,-31.6,1,100.0,1.0,-31.6,1,100.0,0.636,-38.2,2,33.3,1.0,-31.6,1,100.0
CIFR,ai,stock,7.536,-70.7,0.234,-70.7,4,76.6,0.72,-52.5,4,81.9,0.442,-70.7,2,89.5,0.537,-37.8,5,29.2,0.627,-70.7,2,92.4
HUT,ai,stock,10.184,-94.4,0.444,-91.0,7,61.9,1.108,-79.4,8,45.5,1.651,-70.2,5,63.3,1.418,-59.5,9,26.8,0.66,-91.0,4,75.3
MSFT,ai,stock,1.401,-31.6,0.911,-8.3,2,18.6,0.993,-15.0,2,65.7,0.834,-28.7,2,78.5,0.968,-26.8,1,90.1,0.993,-15.0,2,65.7
GOOGL,ai,stock,5.945,-41.9,1.161,-29.7,3,83.5,0.691,-22.9,6,65.9,0.928,-29.7,5,82.2,0.61,-32.2,4,81.4,1.091,-29.7,3,85.3
AMZN,ai,stock,2.535,-54.8,1.184,-28.1,4,54.9,0.466,-32.8,5,37.9,0.798,-34.9,5,76.4,0.771,-36.0,3,81.2,0.716,-38.3,3,82.0
META,ai,stock,3.655,-76.0,0.874,-51.4,2,86.8,0.918,-31.4,3,60.6,0.904,-37.4,3,74.3,0.587,-37.4,3,63.5,0.874,-51.4,2,86.8
AAPL,ai,stock,7.382,-29.5,0.126,-26.2,4,12.3,0.19,-19.7,4,34.2,0.53,-30.7,4,79.9,0.251,-29.5,3,50.8,0.685,-29.5,3,83.4
ORCL,ai,stock,2.782,-58.6,0.432,-8.1,5,2.7,0.67,-35.5,5,50.7,0.638,-46.4,5,76.5,1.049,-27.7,3,77.2,0.909,-54.9,3,89.2
APP,ai,stock,18.15,-57.0,0.661,-57.0,2,67.5,0.802,-57.0,2,86.2,0.762,-57.0,2,91.2,0.643,-46.5,2,55.6,0.873,-57.0,2,90.0
NOW,ai,stock,1.091,-63.1,0.722,-51.8,2,42.1,0.769,-16.2,3,4.1,1.643,-35.9,2,67.8,1.218,-44.1,2,74.3,1.069,-55.2,1,90.1
CRM,ai,stock,1.078,-58.3,0.89,-53.2,6,35.5,1.053,-32.2,6,48.7,1.69,-42.7,5,67.9,1.495,-37.1,4,61.0,1.258,-54.4,4,71.3
SNOW,ai,stock,1.46,-55.9,1.089,-55.9,2,63.4,0.437,-46.8,4,21.7,0.534,-48.5,4,64.0,0.462,-46.8,3,30.4,0.791,-58.9,2,82.0
DDOG,ai,stock,2.472,-66.8,0.555,-55.3,6,46.4,0.307,-64.6,5,36.8,0.241,-72.3,5,63.6,0.301,-68.6,6,35.6,0.61,-66.7,4,62.5
MDB,ai,stock,2.091,-74.5,0.345,-76.2,4,36.9,0.481,-39.4,4,23.9,1.889,-58.9,3,68.7,0.311,-60.7,4,24.8,0.261,-76.2,4,38.9
NET,ai,stock,2.023,-70.9,0.574,-74.4,5,52.1,0.332,-53.2,7,16.0,0.798,-66.6,6,91.2,0.618,-66.1,6,33.2,0.551,-74.4,5,78.2
CRWD,ai,stock,5.437,-44.1,0.424,-44.1,2,51.6,0.326,-43.9,3,50.3,0.42,-44.1,3,86.0,0.338,-41.8,3,47.8,0.546,-44.1,2,94.9
PANW,ai,stock,14.942,-42.8,0.117,-29.1,6,22.3,0.111,-57.8,7,46.8,0.209,-63.2,7,81.2,0.215,-47.8,5,62.1,0.612,-56.0,4,92.0
IOT,ai,stock,2.389,-56.9,0.407,-27.1,3,8.5,0.862,-28.2,3,39.0,1.229,-47.0,2,79.7,0.476,-43.5,3,19.8,0.782,-52.1,3,78.0
PATH,ai,stock,0.875,-64.4,0.718,-75.9,5,65.7,0.891,-37.4,6,22.9,0.437,-75.6,4,61.7,1.024,-51.5,4,49.7,0.622,-77.0,4,77.1
DUOL,ai,stock,1.06,-83.0,1.771,-32.5,2,45.4,1.691,-35.9,2,60.9,1.389,-48.7,2,70.7,1.539,-27.9,2,41.4,2.3,-48.7,1,74.7
RDDT,ai,stock,1.6,-53.9,0.772,-50.0,1,72.1,0.495,-47.1,2,52.5,0.481,-53.9,2,65.6,1.076,-26.3,1,36.1,0.772,-50.0,1,72.1
SOUN,ai,stock,1.877,-75.4,0.638,-75.4,3,87.6,0.512,-72.1,3,50.9,0.398,-74.0,3,70.8,1.875,-58.4,6,39.8,0.387,-75.4,2,91.3
AI,ai,stock,0.31,-82.6,2.653,-38.5,4,10.2,1.629,-67.7,4,33.0,1.116,-77.9,3,48.3,1.436,-55.5,3,19.3,2.048,-70.1,3,58.5
BBAI,ai,stock,0.284,-93.3,0.095,-97.4,5,53.9,0.841,-82.4,5,28.1,0.442,-92.6,4,45.6,0.931,-80.8,6,14.3,0.157,-96.6,4,65.0
VST,grid,stock,6.628,-48.6,0.651,-48.6,3,60.1,0.463,-48.6,4,34.0,0.986,-48.6,4,68.3,0.371,-46.0,3,52.1,0.611,-48.6,3,60.6
CEG,grid,stock,2.773,-50.7,0.377,-3.3,2,3.7,0.811,-40.6,2,76.4,1.012,-50.7,2,87.0,0.634,-29.6,2,57.1,1.133,-50.7,1,91.3
TLN,grid,stock,0.922,-9.8,1.0,-9.8,1,100.0,0.979,-9.8,1,33.3,1.0,-9.8,1,100.0,1.0,-9.8,1,100.0,1.0,-9.8,1,100.0
NRG,grid,stock,3.914,-42.1,1.218,-29.8,4,77.6,0.416,-38.7,7,32.8,0.569,-47.2,5,76.4,0.482,-37.6,3,68.1,0.904,-32.0,3,80.7
NEE,grid,stock,1.106,-42.7,0.952,-25.6,3,47.1,0.682,-25.1,3,20.1,0.826,-29.1,3,55.9,0.74,-41.9,2,83.8,0.852,-26.8,3,49.5
SO,grid,stock,2.753,-33.6,0.497,-33.6,5,63.0,0.325,-30.3,6,30.5,0.63,-33.6,6,82.3,0.739,-37.2,2,91.3,0.742,-33.6,4,91.3
DUK,grid,stock,2.096,-33.2,0.775,-33.2,3,61.1,0.571,-20.4,3,37.2,0.747,-33.2,3,78.1,0.726,-36.7,2,92.2,0.833,-33.2,3,81.8
OKLO,grid,stock,4.178,-74.8,0.476,-74.8,2,71.1,0.674,-64.3,2,75.3,0.463,-67.0,2,82.5,0.171,-52.7,2,42.3,1.0,-74.8,1,100.0
SMR,grid,stock,1.274,-85.1,0.754,-86.0,2,76.7,0.964,-75.4,2,48.3,1.924,-71.3,1,75.0,1.169,-41.2,2,15.5,1.641,-82.2,1,94.0
BWXT,grid,stock,3.276,-38.8,0.597,-38.8,4,67.1,0.325,-37.2,4,25.7,0.628,-38.8,4,76.8,0.54,-44.4,4,77.3,0.911,-38.8,3,83.7
CCJ,grid,stock,9.833,-48.9,0.447,-54.2,5,74.9,0.05,-68.0,10,27.6,0.323,-53.8,7,85.5,0.209,-50.3,7,77.2,0.593,-54.2,3,92.6
LEU,grid,stock,48.918,-75.1,0.089,-77.5,6,55.5,0.076,-82.6,7,54.5,0.535,-83.1,4,82.4,0.067,-63.2,8,36.1,0.359,-82.8,5,84.5
UEC,grid,stock,6.725,-74.2,0.313,-57.1,10,53.2,0.105,-54.8,13,41.8,0.13,-81.9,8,71.7,0.137,-62.0,11,44.0,0.313,-66.9,7,76.3
ETN,grid,stock,5.524,-37.6,0.655,-34.4,4,58.7,0.498,-23.3,4,58.2,0.651,-37.6,4,83.4,0.399,-37.9,4,85.0,0.73,-37.6,2,85.5
HUBB,grid,stock,4.152,-34.8,0.476,-27.1,5,50.2,0.637,-26.3,5,75.7,0.515,-34.8,5,80.9,0.433,-43.8,4,84.1,0.585,-35.5,4,91.4
NVT,grid,stock,6.815,-49.7,0.258,-46.6,4,39.1,0.631,-25.2,4,67.1,0.433,-49.7,4,76.8,0.647,-36.3,3,74.1,0.873,-46.6,3,85.3
ATKR,grid,stock,3.583,-71.2,0.499,-56.0,5,49.1,0.381,-43.5,9,39.7,0.586,-57.9,9,66.7,1.027,-35.5,5,65.1,0.529,-56.0,4,62.3
AMSC,grid,stock,6.781,-88.4,0.976,-59.7,6,48.3,0.865,-58.4,7,49.9,0.56,-70.9,6,58.4,1.384,-42.8,6,30.2,0.983,-65.7,5,66.1
ITRI,grid,stock,1.373,-64.1,0.948,-45.3,4,22.3,0.513,-49.8,4,27.8,1.116,-45.3,4,61.3,0.654,-36.2,4,32.7,0.991,-45.3,4,66.2
TT,grid,stock,7.574,-39.8,0.294,-17.7,4,28.6,0.348,-24.2,5,59.3,0.673,-33.1,4,87.6,0.717,-36.6,3,88.1,0.979,-33.1,2,89.8
PWR,grid,stock,17.447,-41.6,0.936,-33.1,2,88.2,0.226,-19.6,3,40.3,0.493,-41.6,3,92.9,0.45,-41.6,3,91.4,1.0,-41.6,1,100.0
EME,grid,stock,9.222,-45.2,1.2,-35.7,3,68.1,0.744,-23.9,5,74.7,0.677,-35.7,4,82.2,0.563,-33.0,4,84.6,0.872,-45.2,3,85.4
FIX,grid,stock,33.293,-46.2,0.116,-16.0,5,17.3,0.606,-33.1,5,77.2,0.556,-45.4,5,86.6,0.333,-58.1,5,84.3,0.909,-45.4,3,83.5
