ticker,theme,group,hold_terminal,hold_maxdd,X1_STRUCT_ratio,X1_STRUCT_maxdd,X1_STRUCT_trades,X1_STRUCT_pctin,X2_MA52_ratio,X2_MA52_maxdd,X2_MA52_trades,X2_MA52_pctin,X3_CROSSDN_ratio,X3_CROSSDN_maxdd,X3_CROSSDN_trades,X3_CROSSDN_pctin,X4_TRAIL25_ratio,X4_TRAIL25_maxdd,X4_TRAIL25_trades,X4_TRAIL25_pctin,X5_COMBO_ratio,X5_COMBO_maxdd,X5_COMBO_trades,X5_COMBO_pctin
VKTX,health,stock,17.827,-87.7,0.065,-79.0,8,46.5,0.733,-74.3,9,39.5,0.453,-89.9,6,64.8,0.304,-65.4,9,30.6,0.506,-88.7,7,73.4
HIMS,health,stock,2.532,-77.5,0.851,-57.0,4,36.4,1.247,-57.0,3,34.2,1.265,-57.0,3,57.8,0.196,-53.1,4,10.5,1.445,-59.7,2,65.8
TEM,health,stock,0.766,-45.3,0.88,-45.3,1,77.1,1.229,-17.3,1,14.3,0.99,-33.3,1,37.1,1.047,-29.5,1,34.3,0.88,-45.3,1,77.1
RXRX,health,stock,0.265,-81.1,2.527,-67.1,4,45.6,1.992,-50.5,6,10.3,0.613,-85.6,4,52.8,0.939,-77.8,7,31.3,1.448,-72.1,3,49.7
SDGR,health,stock,0.207,-85.8,3.282,-64.3,3,26.5,3.344,-58.8,4,10.9,3.298,-63.1,3,22.5,2.411,-62.8,4,17.8,3.106,-64.3,3,27.6
WGS,health,stock,7.373,-75.6,0.144,0.0,1,0.8,0.932,-46.7,1,48.8,1.225,-53.4,1,85.1,0.938,-33.4,1,38.0,1.0,-75.6,1,100.0
ISRG,health,stock,1.83,-49.8,0.572,-35.7,3,11.4,0.569,-41.4,4,32.1,1.136,-36.2,4,75.0,0.38,-47.0,4,47.4,1.399,-35.7,3,72.4
SYK,health,stock,1.836,-37.9,0.804,-15.2,3,29.0,0.686,-17.6,3,39.4,0.708,-39.7,3,71.0,0.538,-31.3,3,82.1,0.951,-37.9,3,78.2
BSX,health,stock,1.61,-58.9,1.074,-20.3,5,40.3,0.733,-27.1,5,32.6,1.089,-52.8,5,73.6,1.361,-42.2,2,87.7,1.631,-40.4,4,77.8
EW,health,stock,1.017,-53.0,1.28,-41.9,4,54.4,0.54,-45.8,6,18.2,0.892,-57.8,4,64.5,0.751,-59.8,4,63.2,0.977,-53.8,4,73.3
MDT,health,stock,1.223,-44.9,0.583,-45.6,7,50.9,0.659,-29.5,7,28.8,0.738,-35.0,7,66.4,0.833,-40.9,3,78.8,0.582,-47.7,7,64.6
ABT,health,stock,1.001,-37.4,1.073,-20.1,1,44.7,1.058,-16.7,4,50.3,0.901,-24.1,4,65.4,0.983,-26.0,1,92.2,1.074,-20.7,1,89.4
DXCM,health,stock,4.129,-66.0,1.167,-69.0,5,71.8,0.506,-55.9,10,50.1,0.314,-77.2,8,76.9,0.102,-86.6,9,51.7,0.574,-77.6,3,87.6
PODD,health,stock,1.757,-59.9,0.44,-59.9,3,18.5,0.912,-22.9,3,27.7,1.682,-36.3,3,70.7,1.131,-37.7,3,45.1,0.373,-59.9,3,45.6
GEHC,health,stock,0.736,-35.4,0.942,-37.1,3,45.2,0.982,-33.8,4,24.6,0.841,-43.3,3,69.0,0.772,-47.9,2,73.8,0.965,-38.9,2,86.5
TMO,health,stock,0.916,-35.9,1.138,-7.7,3,3.3,0.85,-25.7,3,25.6,0.813,-26.5,3,48.9,0.556,-49.2,3,65.6,0.974,-29.9,3,55.0
DHR,health,stock,0.954,-40.9,0.965,-36.2,2,64.8,0.922,-23.4,3,37.2,0.821,-33.6,3,46.9,0.787,-41.3,2,62.8,0.965,-36.2,2,64.8
A,health,stock,2.102,-41.8,0.554,-51.7,7,64.9,0.487,-39.2,9,46.9,0.438,-54.6,9,66.4,0.38,-60.6,5,68.6,0.601,-55.2,6,74.6
MEDP,health,stock,17.341,-41.2,0.271,-32.9,3,64.2,0.08,-38.9,3,28.4,0.388,-47.5,3,81.1,0.075,-42.5,3,26.2,0.405,-51.2,3,85.2
VRTX,health,stock,2.678,-39.2,0.484,-30.3,4,25.4,0.4,-29.8,6,35.8,0.626,-34.1,6,69.6,0.746,-36.0,3,74.6,0.853,-29.3,3,72.3
REGN,health,stock,1.725,-59.0,0.553,-27.6,5,19.3,0.376,-36.5,5,29.5,0.587,-51.0,5,69.5,0.746,-44.9,4,70.2,0.327,-63.1,4,68.3
CRSP,health,stock,1.014,-83.7,0.337,-78.8,6,44.8,0.625,-75.8,9,30.7,0.83,-76.0,6,59.2,0.312,-88.1,9,34.0,0.473,-87.1,6,70.1
NTLA,health,stock,0.75,-96.2,0.974,-80.6,5,35.5,4.419,-69.7,9,30.3,2.097,-92.1,4,78.7,0.513,-83.9,9,26.9,2.776,-84.7,5,63.2
BEAM,health,stock,0.296,-88.3,2.717,-74.3,3,48.6,0.928,-80.4,8,22.7,1.119,-85.9,4,44.6,1.527,-76.2,5,27.3,2.134,-75.0,3,50.4
ILMN,health,stock,0.589,-85.9,1.046,-75.3,7,51.6,1.475,-45.9,8,31.4,1.014,-67.8,7,49.2,1.26,-60.0,6,50.8,1.122,-75.3,5,60.9
GH,health,stock,1.987,-91.0,3.22,-63.2,5,57.1,0.517,-52.2,5,17.1,2.455,-72.3,4,61.2,0.226,-75.2,5,22.4,3.22,-63.2,5,57.1
NTRA,health,stock,22.082,-73.5,0.423,-38.8,3,47.0,0.142,-47.2,4,40.7,0.94,-56.6,4,79.7,0.366,-41.2,4,54.4,0.828,-74.9,2,89.4
ABBV,health,stock,3.883,-27.5,0.33,-8.6,5,14.4,0.242,-28.7,5,29.7,0.625,-27.5,5,91.9,0.398,-31.7,2,46.7,0.698,-27.5,3,80.7
JNJ,health,stock,2.194,-20.6,0.668,-21.0,7,42.9,0.463,-38.0,9,27.5,0.431,-51.6,9,75.5,1.0,-20.6,1,100.0,0.707,-34.5,5,77.9
PLTR,outlier,stock,16.183,-43.7,1.138,-37.9,1,89.9,0.837,-37.9,2,85.2,1.081,-37.9,1,90.5,0.641,-28.7,1,57.4,1.138,-37.9,1,89.9
TSLA,outlier,stock,19.223,-72.2,0.933,-58.9,5,66.8,0.389,-52.5,8,46.2,0.438,-65.3,7,65.4,0.382,-51.2,8,40.9,0.691,-58.9,5,68.5
UBER,outlier,stock,2.226,-64.8,0.99,-29.8,3,47.6,0.615,-39.5,4,25.9,1.281,-37.6,3,66.5,1.053,-35.7,3,59.4,0.936,-30.6,2,53.7
COIN,outlier,stock,2.661,-64.5,1.851,-53.3,2,73.4,0.396,-65.6,4,56.8,0.361,-70.3,4,74.6,0.737,-44.6,5,37.9,1.508,-53.3,1,82.8
HOOD,outlier,stock,11.61,-55.6,0.556,-55.6,4,73.8,0.372,-47.1,4,65.2,0.335,-52.9,3,81.3,0.342,-35.5,2,55.6,0.489,-55.6,3,90.4
SMH,etf,etf,11.027,-44.2,0.446,-33.8,2,47.0,0.319,-21.7,3,43.8,0.742,-32.9,3,84.3,0.256,-34.6,3,56.4,0.394,-33.8,2,48.8
IGV,etf,etf,2.265,-45.4,0.651,-9.5,2,10.1,0.745,-20.4,2,42.0,1.238,-28.2,2,79.3,0.608,-28.2,2,42.5,1.043,-36.3,2,88.3
AIQ,etf,etf,2.954,-44.1,1.028,-31.6,2,86.2,0.932,-14.3,3,72.7,1.164,-23.6,3,82.1,1.109,-26.2,2,83.7,1.028,-31.6,2,86.2
GRID,etf,etf,4.174,-39.0,0.48,-39.0,3,45.9,0.687,-27.9,5,74.1,0.561,-39.0,5,80.3,0.697,-27.9,3,88.1,0.949,-39.0,2,90.8
URA,etf,etf,3.22,-50.6,0.262,-38.8,5,16.2,0.8,-29.0,8,43.9,0.506,-38.9,6,56.5,0.481,-47.2,5,62.8,1.087,-37.0,3,72.1
XLU,etf,etf,2.126,-32.1,0.752,-32.1,2,45.3,0.684,-27.1,4,53.0,0.974,-32.1,3,80.4,0.824,-34.2,2,96.9,1.016,-32.1,2,84.3
BOTZ,etf,etf,1.774,-55.4,0.668,-48.4,5,53.5,0.91,-22.5,6,62.0,0.531,-35.8,6,74.9,0.584,-32.3,4,76.7,0.769,-48.4,4,84.2
ROBO,etf,etf,1.912,-43.2,0.946,-24.3,6,43.2,0.88,-22.7,7,54.9,0.542,-39.8,7,74.3,0.584,-35.6,4,80.9,0.654,-49.7,5,77.5
ARKQ,etf,etf,3.317,-59.0,0.64,-32.2,5,25.5,0.197,-41.5,5,13.4,1.255,-34.3,5,72.1,0.663,-37.9,3,62.1,1.372,-32.2,3,71.6
ITA,etf,etf,2.424,-49.3,0.933,-13.5,6,50.3,0.408,-25.4,6,54.7,0.48,-54.5,5,84.7,0.926,-40.6,2,96.3,0.763,-49.3,3,90.8
PPA,etf,etf,2.999,-41.9,0.337,-26.5,4,27.9,0.317,-26.3,5,38.9,0.648,-41.9,4,87.9,0.918,-32.9,2,96.3,0.725,-41.9,3,93.7
ARKX,etf,etf,2.26,-25.2,1.0,-25.2,1,100.0,0.377,-18.1,4,18.9,0.806,-25.2,3,93.7,0.53,-25.2,1,61.7,1.0,-25.2,1,100.0
XLV,etf,etf,1.265,-16.1,0.94,-12.9,2,84.5,0.778,-10.2,3,43.9,0.838,-11.9,3,71.7,1.0,-16.1,1,100.0,0.94,-12.9,2,84.5
XBI,etf,etf,1.888,-61.5,0.564,-17.9,5,10.4,0.566,-33.9,7,21.3,1.066,-35.4,6,57.7,0.452,-54.3,4,47.6,0.647,-39.0,4,46.5
IHI,etf,etf,1.177,-32.7,1.287,-14.5,3,48.6,1.085,-17.5,3,45.4,0.996,-26.8,3,72.6,0.888,-40.3,2,89.0,1.178,-17.5,3,50.8
ARKG,etf,etf,1.302,-82.9,1.637,-54.9,4,47.1,0.466,-47.3,6,15.4,1.329,-66.7,6,50.5,0.444,-70.5,5,31.7,1.932,-67.0,4,62.8
SPY,etf,etf,2.928,-31.8,1.037,-31.8,2,88.2,0.548,-12.2,4,53.5,0.869,-31.8,4,82.4,0.717,-31.8,2,95.8,1.037,-31.8,2,88.2
QQQ,etf,etf,3.937,-35.1,1.065,-27.3,2,88.4,0.415,-10.9,3,40.0,1.077,-27.3,3,84.5,0.581,-27.3,2,59.2,1.065,-27.3,2,88.4
IWM,etf,etf,2.085,-40.0,0.533,-24.7,4,34.8,0.799,-24.5,7,52.6,0.447,-40.0,7,67.4,0.698,-36.2,3,82.7,0.961,-24.7,4,65.5
