ticker,R,kind,date,year,base_start,base_len,close,pos,rsi,range_ratio,wk_since_low,delisted,mad_med,cv,mid_share,pre_vol,spring,regime_spy_up,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,next_break,wk_to_break,ret13,trunc13,exc13_SPY,exc13_SMH,exc13_QQQ,mae13,ret26,trunc26,exc26_SPY,exc26_SMH,exc26_QQQ,mae26,ret52,trunc52,exc52_SPY,exc52_SMH,exc52_QQQ,mae52
ALMS,2.0,COMP,2025-11-14,2025,2025-04-18,31,5.52,0.96,57.0,1.97,21,False,0.087,0.1617,0.645,0.1831,False,True,0.0522,0.0466,0.6,0.88,0.48,0.0,UP,1.0,380.8,False,379.0,362.2,381.8,0.0,314.3,False,303.7,252.5,297.6,0.0,,,,,,
ALMU,2.0,ANTI,2025-11-21,2025,2025-05-02,30,12.63,0.0,43.5,1.87,0,False,0.1415,0.1789,0.567,0.1537,False,True,0.0626,0.0815,0.44,0.97,0.92,0.0,DOWN,18.0,21.8,False,16.9,-5.9,18.5,0.0,79.3,False,65.5,2.0,57.3,-14.8,,,,,,
ALNT,1.5,ANTI,2016-11-04,2016,2016-01-08,44,11.7,0.22,39.1,1.36,38,False,0.0733,0.0892,0.455,0.0936,False,True,0.026,0.049,0.35,0.68,0.78,0.0,UP,5.0,22.8,False,12.2,8.3,11.9,0.0,39.7,False,23.6,17.4,18.0,0.0,83.8,False,57.4,28.0,47.6,0.0
ALNT,1.5,COMP,2017-05-05,2017,2016-02-19,64,16.34,1.0,62.3,1.47,56,False,0.0503,0.0842,0.734,0.0957,False,True,0.0478,0.0673,0.95,1.12,0.53,0.02,UP,1.0,-0.3,False,-4.0,-6.3,-5.0,-2.5,31.6,False,22.7,4.2,19.6,-4.0,83.0,False,69.9,56.4,62.1,-4.0
ALNT,1.5,COMP,2017-05-26,2017,2016-04-15,59,17.01,1.0,63.4,1.46,58,False,0.0348,0.0789,0.746,0.0909,False,True,0.0711,0.0885,2.04,0.96,0.38,0.02,UP,1.0,-6.9,False,-8.6,-7.7,-7.7,-6.9,23.9,False,15.1,0.2,12.7,-7.9,81.7,False,66.9,53.1,60.4,-7.9
ALNT,1.5,ANTI,2021-09-24,2021,2020-11-06,47,29.59,0.31,41.6,1.42,46,False,0.0497,0.077,0.681,0.0991,False,True,0.0372,0.0326,0.75,0.76,0.5,0.04,UP,6.0,18.6,False,12.2,4.8,12.1,0.0,0.1,False,-2.5,-1.5,3.6,0.0,-3.1,False,12.8,25.9,22.7,-24.7
ALNT,1.5,COMP,2021-11-19,2021,2020-12-04,51,39.17,0.76,61.0,1.43,8,False,0.0454,0.0761,0.529,0.0993,False,True,0.0623,0.0545,1.37,0.6,0.46,0.04,DOWN,19.0,-12.3,False,-5.2,2.3,3.1,-12.3,-43.1,False,-26.8,-16.6,-14.7,-43.1,-11.1,False,3.2,18.2,18.0,-43.1
ALNT,1.5,ANTI,2022-03-11,2022,2020-12-04,67,29.69,0.01,37.1,1.43,24,False,0.0442,0.0798,0.597,0.0993,False,False,0.0096,0.0207,0.22,0.7,0.45,0.04,DOWN,3.0,-23.1,False,-16.2,-14.2,-12.3,-24.9,5.7,False,8.2,17.5,10.8,-24.9,29.7,False,36.3,31.9,40.1,-24.9
ALNT,1.5,ANTI,2023-08-04,2023,2022-10-21,42,31.43,0.03,39.1,1.43,41,False,0.0593,0.0786,0.714,0.0658,False,True,0.0152,0.035,0.26,1.06,0.9,0.02,DOWN,7.0,-17.6,False,-15.2,-14.5,-16.5,-17.6,-9.8,False,-21.2,-34.5,-25.5,-18.5,-18.7,False,-39.6,-61.1,-40.1,-23.5
ALNT,1.5,COMP,2024-03-29,2024,2023-07-28,36,35.37,0.77,68.2,1.49,20,False,0.0588,0.097,0.444,0.0674,False,True,0.0782,0.015,1.33,1.17,0.87,0.0,DOWN,11.0,-29.1,False,-33.5,-45.0,-37.2,-31.8,-45.8,False,-55.7,-55.9,-55.7,-45.9,-36.7,False,-44.2,-31.4,-42.9,-50.2
