ticker,R,start,asof,base_len,close,base_hi,base_lo,range_ratio,drift,prior_dd,above_ma200,mad_med,cv,mid_share,pre_vol,pos_now,ma_now,slope_now,rsi_now,hl_now,wk_since_low_now,mad_tail8,mad_tail13,contr8,vol_dry8,rel_tight,zero_wk_share,spring,date,rev_yoy,rev_yoy_prev,rev_accel,rev_ttm_yoy,ni_ttm,gm,q_date,fcf_ttm,eps_actual,eps_yoy,surprise_pct,eps_turn_pos,quality,sector,industry,mkt_cap,short_ratio,short_pct_float,shares_short,shares_short_prior,short_chg_mom
FJIKY,2.0,2026-02-06,2026-09-11,32,16.31,21.64,11.92,1.82,0.28,-0.56,,0.1306,0.1584,0.531,0.1684,0.45,False,-0.013,52.2,0,30,0.0092,0.0172,0.07,0.86,0.78,0.0,False,2026-09-11,,,,,,,2024-03-31,,,,,,,Industrials,Conglomerates,54936145920.0,,,,,
FLOC,1.5,2026-01-02,2026-09-11,37,20.29,27.03,18.7,1.45,0.08,-0.36,,0.0619,0.0868,0.568,0.0663,0.19,False,-0.096,44.3,0,36,0.0409,0.0384,0.66,0.86,0.93,0.0,False,2026-09-11,0.2207075020055378,0.0893163504029113,0.1313911516026265,0.4558239673429365,49712000.0,0.31501871881081495,2026-06-30,207920000.0,0.36,-0.7142857142857143,-2.7027,False,True,Energy,Oil & Gas Equipment & Services,2253159424.0,,0.0874,,,
FLOC,2.0,2025-01-24,2026-09-11,86,20.29,27.77,13.94,1.99,0.11,,,0.1244,0.1729,0.605,,0.46,False,-0.096,44.3,0,48,0.0409,0.0384,0.33,1.19,,0.0,False,2026-09-11,0.2207075020055378,0.0893163504029113,0.1313911516026265,0.4558239673429365,49712000.0,0.31501871881081495,2026-06-30,207920000.0,0.36,-0.7142857142857143,-2.7027,False,True,Energy,Oil & Gas Equipment & Services,2253159424.0,,0.0874,,,
FLS,1.5,2025-10-31,2026-09-11,46,72.83,89.16,64.88,1.37,0.18,0.03,True,0.0481,0.0802,0.565,0.0547,0.33,True,0.012,47.4,1,17,0.0278,0.048,0.58,1.08,0.88,0.0,False,2026-09-11,-0.01592216764358312,-0.06664144553765128,0.05071927789406816,-0.0025830433032648648,371266000.0,0.32905766886907434,2026-06-30,411444000.0,0.95,0.04395604395604387,10.4651,False,True,Industrials,Specialty Industrial Machinery,9464817664.0,,0.0632,,,
FLUT,1.5,2026-02-13,2026-09-11,31,98.68,125.17,92.38,1.35,-0.37,-0.7,False,0.0354,0.0649,0.677,0.0571,0.19,False,-0.005,37.6,0,17,0.0123,0.0232,0.35,0.74,0.62,0.0,False,2026-09-11,0.033197993790303304,0.1743519781718963,-0.141153984381593,0.15236368520010735,-795000000.0,0.3959778085991678,2026-06-30,761144930.0,0.16,-0.9391634980988592,-30.4348,False,False,Consumer Cyclical,Gambling,17451091968.0,,0.0744,,,
FMNB,1.5,2024-06-28,2026-09-11,116,15.7,16.13,10.82,1.49,0.31,-0.14,True,0.0537,0.0763,0.836,0.0365,0.92,True,0.116,63.1,2,114,0.0063,0.0313,0.12,3.72,1.47,0.04,False,2026-09-11,0.0432372823098075,0.0746024252795563,-0.031365142969748794,0.03229844586501973,59627000.0,0.6771824334527683,2026-06-30,60610000.0,0.41,0.10810810810810806,10.8108,False,True,Financial Services,Banks - Regional,932556800.0,,0.0316,,,
FMS,1.5,2024-11-08,2026-09-11,97,22.23,27.9,19.91,1.4,0.0,-0.19,True,0.05,0.0788,0.66,0.0421,0.29,True,0.091,43.8,0,96,0.0341,0.0208,0.68,1.53,1.19,0.02,False,2026-09-11,0.014369182795380242,-0.05516942288096949,0.06953860567634973,-0.004660695735182685,937781000.0,0.2695122337604304,2026-06-30,1770180846.0,0.66,0.43478260869565216,32.0,False,True,Healthcare,Medical Care Facilities,11895102464.0,,0.002,,,
FN,2.0,2025-10-03,2026-09-11,50,403.95,722.04,361.94,1.99,0.31,-0.06,True,0.1154,0.1843,0.58,0.0748,0.12,False,-0.249,38.8,0,48,0.0696,0.1024,0.6,1.07,1.54,0.02,False,2026-09-11,0.44641043342142184,0.3928589044034232,0.053551529017998645,0.3573130034068108,473027000.0,0.12270213742639392,2026-06-30,3041000.0,3.92,0.6131687242798353,6.2331,False,True,Technology,Electronic Components,14856417280.0,,0.0561,,,
FND,1.5,2026-03-06,2026-09-11,28,46.87,62.69,43.49,1.44,0.15,-0.67,False,0.0631,0.0853,0.643,0.056,0.18,True,0.11,39.4,0,17,0.068,0.0497,1.08,0.9,1.13,0.0,False,2026-09-11,0.02974920726434127,-0.007290176956079697,0.03703938422042097,0.02424095132593318,232170000.0,0.48239100354323466,2026-06-30,211397000.0,0.58,0.0,1.7544,False,True,Consumer Cyclical,Home Improvement Retail,5041234944.0,,0.1333,,,
FNF,1.5,2023-11-17,2026-09-11,148,43.95,59.56,40.15,1.48,0.24,-0.13,False,0.0736,0.0889,0.655,0.039,0.2,True,0.02,35.4,3,146,0.0454,0.0414,0.62,1.18,1.89,0.04,False,2026-09-11,0.13314685314685315,0.2056843679880329,-0.07253751484117976,0.14920658795216957,772000000.0,0.6882251295976303,2026-06-30,5792000000.0,1.39,0.19827586206896552,10.3175,False,True,Financial Services,Insurance - Specialty,11835350016.0,,0.0279,,,
FNV,1.5,2025-11-07,2026-09-11,45,260.66,279.09,189.91,1.47,0.27,-0.13,True,0.0738,0.0991,0.578,0.0432,0.79,False,-0.008,61.0,0,42,0.0643,0.0682,0.87,1.1,1.71,0.02,False,2026-09-11,0.5725500812127775,0.7662866449511401,-0.19373656373836257,0.735931060322218,1477800000.0,0.7763814770184196,2026-06-30,3110023453.0,1.81,0.45967741935483875,-7.1795,False,True,Basic Materials,Gold,51304431616.0,,0.0171,,,
FOA,2.0,2024-11-08,2026-09-11,97,15.65,29.81,15.65,1.9,-0.2,-0.21,False,0.085,0.1311,0.784,0.137,0.0,True,0.103,34.6,2,0,0.0906,0.0945,1.07,0.6,0.62,0.01,False,2026-09-11,-0.8956949433730024,-0.10957087858555925,-0.7861240647874431,-0.28334087247005146,-338000.0,0.31640718946912727,2026-06-30,-555316000.0,0.84,0.5272727272727271,-22.9358,False,False,Financial Services,Credit Services,264103152.0,,0.1003,,,
FOR,2.0,2024-04-12,2026-09-11,127,26.52,37.58,18.9,1.99,-0.22,-0.53,True,0.0993,0.151,0.732,0.0532,0.41,True,0.1,43.3,3,68,0.0225,0.0338,0.23,0.84,1.87,0.02,False,2026-09-11,0.04225352112676051,0.0663817663817663,-0.024128245255005787,0.1176051318602993,170400000.0,0.20663390663390663,2026-06-30,283200000.0,0.7,0.07692307692307682,-14.6341,False,True,Real Estate,Real Estate - Development,1369823360.0,,0.0332,,,
FORM,2.0,2026-02-06,2026-09-11,32,112.12,155.08,85.01,1.82,0.25,0.09,True,0.1258,0.1619,0.594,0.0801,0.39,False,-0.069,50.5,0,27,0.0475,0.0826,0.38,0.74,1.57,0.0,True,2026-09-11,0.31892052012788685,0.3197320198884195,-0.0008114997605326302,0.1800670717830264,115465000.0,0.5069740785774584,2026-06-30,136121000.0,0.74,1.7407407407407405,45.098,False,True,Technology,Semiconductor Equipment & Materials,8979977216.0,,0.0536,,,
FOSL,1.5,2026-02-13,2026-09-11,31,4.49,5.61,3.8,1.48,0.35,-0.07,True,0.0774,0.1162,0.484,0.1571,0.38,True,0.067,49.4,1,30,0.059,0.098,0.76,1.18,0.49,0.0,False,2026-09-11,-0.04849628836415776,-0.03657203602336978,-0.011924252340787977,-0.0910087405667297,-69879000.0,0.6237482117310443,2026-06-30,-41214000.0,-0.13,-0.3,55.1724,False,False,Consumer Cyclical,Footwear & Accessories,279722976.0,,0.1223,,,
FOUR,1.5,2026-02-27,2026-09-11,29,43.03,53.0,38.08,1.39,0.18,-0.69,False,0.0553,0.0801,0.655,0.0608,0.33,True,0.078,44.1,1,14,0.0537,0.0663,0.97,1.08,0.91,0.0,False,2026-09-11,0.34030221486234735,0.3214664623364376,0.018835752525909744,0.324369235882239,90100000.0,0.3444015444015444,2026-06-30,513500000.0,1.01,-0.08181818181818189,4.1237,False,True,Technology,Software - Infrastructure,3557153280.0,,0.1761,,,
