ticker,theme,defn,date,price,fwd26w,fwd52w,fwd104w,excB26w,excB52w,excB104w,excS26w,excS52w,excS104w,mae52w
BEAM,health,BOTTOM,2025-11-24,25.33,30.0,,,34.4,,,18.7,,,-12.4
BEAM,health,BRKOUT,2024-02-26,39.84,-33.0,-33.9,-28.6,-41.3,-37.3,-41.7,-43.6,-51.2,-65.6,-46.6
BEAM,health,MACROSS,2024-02-26,39.84,-33.0,-33.9,-28.6,-41.3,-37.3,-41.7,-43.6,-51.2,-65.6,-46.6
BEAM,health,MACROSS,2025-02-10,32.4,-45.0,-13.8,,-39.9,-24.6,,-51.2,-27.0,,-52.9
BEAM,health,MACROSS,2025-11-03,22.21,45.5,,,46.5,,,35.0,,,-2.2
ILMN,health,BOTTOM,2022-12-12,194.11,3.2,-36.3,-25.9,4.8,-36.9,-33.3,-12.4,-60.6,-87.4,-52.7
ILMN,health,BOTTOM,2023-04-17,221.48,-47.5,-48.4,-67.9,-43.6,-53.6,-72.0,-50.4,-70.3,-99.1,-58.6
ILMN,health,BRKOUT,2021-01-18,395.18,22.0,-9.9,-49.7,9.3,-21.7,-67.1,6.3,-25.8,-56.2,-14.5
ILMN,health,BRKOUT,2026-01-05,141.07,34.8,,,31.7,,,25.5,,,-17.2
ILMN,health,MACROSS,2019-04-29,316.65,-7.7,-6.0,20.7,-13.8,-17.2,-19.3,-12.8,-4.2,-26.5,-28.3
ILMN,health,MACROSS,2019-12-23,323.24,8.4,10.5,15.0,12.2,-0.3,-25.6,14.5,-5.9,-35.4,-29.8
ILMN,health,MACROSS,2020-06-08,332.31,0.1,32.7,-40.2,-15.3,3.0,-72.7,-21.3,-9.1,-72.1,-14.3
ILMN,health,MACROSS,2020-12-21,357.29,29.2,4.1,-47.9,15.6,-22.7,-73.8,12.9,-25.1,-54.8,-5.4
ILMN,health,MACROSS,2023-04-17,221.48,-47.5,-48.4,-67.9,-43.6,-53.6,-72.0,-50.4,-70.3,-99.1,-58.6
ILMN,health,MACROSS,2024-09-16,131.2,-33.2,-21.7,,-28.4,-11.6,,-33.1,-39.9,,-45.7
ILMN,health,MACROSS,2025-11-10,120.67,18.1,,,21.8,,,7.5,,,-3.2
GH,health,BOTTOM,2023-12-11,28.19,7.2,23.3,262.1,-2.5,16.6,243.3,-8.8,-6.6,213.7,-43.0
GH,health,BOTTOM,2024-08-12,27.95,72.2,110.7,,76.7,120.0,,61.5,93.1,,-26.6
GH,health,MACROSS,2020-01-06,78.45,8.6,82.1,12.0,9.8,65.9,-23.0,10.1,62.9,-35.8,-22.9
GH,health,MACROSS,2020-06-22,80.65,65.9,52.8,-42.7,50.6,21.9,-79.2,41.9,8.5,-76.5,0.0
GH,health,MACROSS,2023-08-28,35.01,-45.8,-26.9,92.6,-56.3,-46.5,86.2,-60.3,-53.6,45.8,-54.1
GH,health,MACROSS,2024-07-15,30.75,19.2,51.1,406.9,23.6,60.4,394.2,9.7,35.4,368.3,-33.3
NTRA,health,BOTTOM,2018-12-10,15.3,61.8,139.1,531.1,58.4,123.8,500.4,49.6,114.8,484.9,-17.9
NTRA,health,BRKOUT,2017-08-28,12.42,-25.6,122.5,165.3,-29.4,106.6,150.2,-35.3,103.2,142.7,-29.1
NTRA,health,BRKOUT,2018-06-18,16.07,-21.8,57.6,189.2,-20.0,45.4,166.2,-10.4,48.4,172.3,-21.8
NTRA,health,BRKOUT,2019-08-05,32.38,9.8,63.3,262.3,-4.6,44.0,211.0,-5.2,46.3,205.2,-22.5
NTRA,health,BRKOUT,2021-09-13,126.36,-68.6,-61.6,-59.2,-72.4,-58.8,-61.7,-70.0,-50.2,-62.8,-73.5
NTRA,health,BRKOUT,2023-02-27,58.12,7.6,53.8,167.7,3.3,38.7,148.6,-4.9,25.0,116.6,-34.2
NTRA,health,BRKOUT,2025-09-15,181.11,7.8,,,1.0,,,9.5,,,-10.0
NTRA,health,BRKOUT,2026-06-22,261.91,,,,,,,,,,0.0
NTRA,health,MACROSS,2018-06-04,12.29,38.1,97.9,229.9,30.8,89.2,203.6,42.5,92.5,210.5,0.0
NTRA,health,MACROSS,2019-05-06,21.7,70.0,100.8,369.3,62.1,86.3,324.1,61.7,97.2,317.4,0.0
NTRA,health,MACROSS,2023-02-20,47.73,20.2,47.6,240.1,15.6,30.6,222.4,8.4,17.6,184.4,-19.8
NTRA,health,MACROSS,2023-12-25,62.64,72.9,155.8,273.1,65.2,152.3,254.9,57.7,129.1,224.3,-2.8
ABBV,health,BRKOUT,2024-01-01,147.65,5.1,15.9,51.7,0.5,14.4,36.2,-14.2,-12.3,2.1,-1.3
ABBV,health,BRKOUT,2026-06-22,251.56,,,,,,,,,,-2.1
ABBV,health,MACROSS,2019-11-18,65.54,10.1,23.7,49.4,7.1,10.3,8.7,14.1,7.2,-6.5,-18.9
ABBV,health,MACROSS,2023-10-02,133.65,16.9,36.1,69.7,5.9,17.6,54.6,-4.6,0.9,9.9,-5.8
ABBV,health,MACROSS,2024-01-01,147.65,5.1,15.9,51.7,0.5,14.4,36.2,-14.2,-12.3,2.1,-1.3
ABBV,health,MACROSS,2025-07-07,185.06,16.2,33.1,,-1.2,12.1,,4.2,10.7,,-0.8
ABBV,health,MACROSS,2026-06-22,251.56,,,,,,,,,,-2.1
JNJ,health,MACROSS,2018-09-17,115.35,-2.9,-5.3,10.2,0.1,-4.5,-5.9,0.5,-9.5,-7.5,-10.4
JNJ,health,MACROSS,2019-12-02,117.27,6.3,10.0,19.6,1.9,-4.8,-15.4,3.8,-9.8,-29.3,-14.1
JNJ,health,MACROSS,2022-01-03,153.02,3.8,6.3,-2.1,5.8,3.8,-9.0,19.8,21.7,-5.6,-6.1
JNJ,health,MACROSS,2022-12-12,158.6,-5.1,-9.0,-11.3,-3.5,-9.6,-18.7,-20.7,-33.3,-72.8,-15.3
JNJ,health,MACROSS,2023-08-07,159.27,-8.4,-4.7,6.2,-15.5,-17.1,7.0,-21.8,-26.0,-40.6,-15.6
JNJ,health,MACROSS,2024-02-12,146.73,2.6,2.1,64.1,-3.1,1.1,52.2,-9.0,-21.5,24.2,-7.1
JNJ,health,MACROSS,2024-08-19,155.08,1.2,12.8,,6.3,22.4,,-6.2,-3.4,,-12.1
JNJ,health,MACROSS,2025-03-10,157.49,11.1,52.5,,15.0,47.3,,-6.4,33.4,,-7.2
JNJ,health,MACROSS,2025-07-14,159.71,35.4,58.4,,16.2,34.1,,24.6,38.7,,0.0
PLTR,outlier,BOTTOM,2023-04-17,8.18,96.9,150.2,1046.5,84.6,118.4,1004.4,94.0,128.4,1015.2,-9.4
PLTR,outlier,BRKOUT,2023-05-15,11.71,75.0,85.8,1006.1,59.9,50.7,949.1,66.5,57.5,960.2,0.0
PLTR,outlier,MACROSS,2023-05-08,9.5,107.1,116.8,1134.7,90.3,79.9,1082.7,99.2,88.5,1093.9,0.0
TSLA,outlier,BOTTOM,2018-07-23,19.81,-0.0,-23.3,376.8,6.5,-34.2,330.5,4.5,-32.7,358.2,-37.7
TSLA,outlier,BOTTOM,2020-03-09,36.44,240.9,534.6,627.5,199.8,469.6,557.1,215.6,485.5,566.5,-21.8
TSLA,outlier,BOTTOM,2023-08-21,238.59,-19.5,-7.7,42.5,-40.0,-40.4,-16.6,-35.8,-37.2,-8.1,-38.4
TSLA,outlier,BOTTOM,2024-08-12,216.12,64.6,53.0,,51.0,30.7,,53.9,35.4,,-2.5
TSLA,outlier,BRKOUT,2021-10-18,303.23,10.5,-29.3,-30.1,23.3,-3.4,-26.1,15.8,-13.1,-25.9,-32.4
TSLA,outlier,MACROSS,2018-08-20,21.52,-8.7,-34.5,535.0,-3.9,-35.2,478.0,-6.8,-35.5,512.2,-42.6
TSLA,outlier,MACROSS,2018-12-10,24.38,-41.2,-2.0,734.0,-55.1,-31.8,643.8,-53.4,-26.2,687.8,-49.4
TSLA,outlier,MACROSS,2019-11-18,22.2,145.3,635.1,1607.1,131.0,590.3,1504.6,149.2,618.6,1551.2,-0.9
TSLA,outlier,MACROSS,2023-07-10,281.38,-22.2,-11.8,11.4,-30.7,-43.2,-36.6,-29.1,-38.2,-31.1,-47.7
TSLA,outlier,MACROSS,2024-08-26,214.11,36.8,55.9,,29.8,35.5,,30.7,40.1,,-1.6
TSLA,outlier,MACROSS,2025-06-16,322.16,49.4,24.3,,32.0,-16.9,,34.2,-2.7,,-6.1
TSLA,outlier,MACROSS,2026-07-06,407.76,,,,,,,,,,-6.6
UBER,outlier,BOTTOM,2025-01-20,68.56,33.2,20.1,,25.9,1.9,,27.7,5.4,,-5.7
UBER,outlier,BRKOUT,2020-11-02,44.87,4.8,5.2,-36.7,-9.0,-30.9,-27.6,-16.6,-30.5,-47.4,-11.4
UBER,outlier,BRKOUT,2024-10-07,86.34,-16.3,8.2,,-8.7,-12.0,,-9.0,-5.9,,-30.6
UBER,outlier,BRKOUT,2025-05-12,91.79,-0.2,-18.2,,-17.2,-54.8,,-13.9,-44.0,,-24.6
UBER,outlier,MACROSS,2020-07-13,32.55,70.6,41.9,-33.4,50.1,3.5,-47.0,52.8,5.8,-56.6,-7.9
UBER,outlier,MACROSS,2023-02-06,34.3,27.4,106.7,117.5,4.9,59.9,40.8,17.4,82.0,66.1,-10.3
UBER,outlier,MACROSS,2025-03-17,75.84,29.9,-2.6,,4.9,-24.2,,11.5,-18.9,,-14.8
COIN,outlier,BOTTOM,2023-04-17,59.04,26.5,257.4,196.5,14.1,225.6,154.4,23.5,235.5,165.3,-9.8
COIN,outlier,BOTTOM,2023-10-30,85.8,160.2,113.1,300.7,141.3,79.7,227.5,141.7,80.0,239.7,0.0
COIN,outlier,BOTTOM,2024-08-26,183.36,17.6,66.1,,10.6,45.6,,11.5,50.2,,-19.6
COIN,outlier,BOTTOM,2025-09-22,312.59,-48.5,,,-43.1,,,-44.8,,,-52.3
COIN,outlier,BRKOUT,2023-07-10,105.31,24.2,107.0,267.5,15.7,75.6,219.5,17.3,80.6,225.0,-32.8
COIN,outlier,BRKOUT,2024-11-04,270.74,-26.4,14.2,,-21.6,-5.1,,-21.3,0.7,,-40.7
COIN,outlier,BRKOUT,2025-06-23,353.43,-33.0,-57.8,,-47.1,-87.4,,-45.9,-77.7,,-57.8
COIN,outlier,MACROSS,2023-04-17,59.04,26.5,257.4,196.5,14.1,225.6,154.4,23.5,235.5,165.3,-9.8
COIN,outlier,MACROSS,2023-07-03,78.72,95.6,184.1,352.0,86.8,147.7,298.2,88.1,155.9,305.6,-10.1
COIN,outlier,MACROSS,2024-11-11,305.85,-12.9,-7.1,,-18.2,-30.4,,-15.0,-23.3,,-47.5
COIN,outlier,MACROSS,2025-06-23,353.43,-33.0,-57.8,,-47.1,-87.4,,-45.9,-77.7,,-57.8
HOOD,outlier,BOTTOM,2022-12-12,8.61,16.5,35.8,366.9,-18.2,-13.0,270.8,1.0,11.5,305.3,-7.7
HOOD,outlier,MACROSS,2023-04-03,10.01,-0.8,83.8,244.8,-15.8,44.4,210.2,-6.5,55.3,217.9,-19.1
HOOD,outlier,MACROSS,2023-07-17,12.76,-16.1,83.5,760.0,-28.6,56.1,708.7,-23.6,60.4,717.5,-36.5
HOOD,outlier,MACROSS,2024-01-01,11.89,90.7,247.8,869.0,65.3,216.3,812.7,71.5,219.6,819.4,-9.9
