ticker,tier,multiple,hold_pnl,income_total,income_yield_pct,cycles,cycle_win_pct,worst_cycle,yearly_min,overlay_vs_hold_pct
CRSP,LAGGARD,1.01,68.0,597.0,1.25,55,58.2,-170.0,-76.0,877.9
NTLA,LAGGARD,0.75,-378.0,598.0,1.9,49,55.1,-319.0,-52.0,158.0
BEAM,LAGGARD,0.3,-6536.0,378.0,1.73,36,52.8,-163.0,-63.0,5.8
ILMN,LAGGARD,0.59,-13000.0,-1366.0,-0.82,45,64.4,-1072.0,-1772.0,-10.5
GH,MID,1.99,7742.0,1238.0,2.77,47,74.5,-487.0,-107.0,16.0
NTRA,WINNER,22.08,25910.0,3263.0,4.65,98,75.5,-489.0,-97.0,12.6
ABBV,MID,3.88,18895.0,1667.0,1.81,58,91.4,-679.0,-248.0,8.8
JNJ,MID,2.19,13769.0,533.0,0.46,15,93.3,-192.0,57.0,3.9
PLTR,WINNER,16.18,12420.0,771.0,2.95,37,70.3,-422.0,-558.0,6.2
TSLA,WINNER,19.22,36103.0,3947.0,2.35,72,65.3,-1368.0,-1105.0,10.9
UBER,MID,2.23,3991.0,1144.0,3.41,54,85.2,-202.0,-121.0,28.7
COIN,MID,2.66,9808.0,1344.0,2.03,33,57.6,-535.0,-34.0,13.7
HOOD,WINNER,11.61,9135.0,73.0,0.43,34,61.8,-223.0,-387.0,0.8
