date,signal,ticker,name,tag,close,dd_pct,max_dd_26w_pct,to_high_pct,prior_52w_high,mkt_cap_B,sector,industry,pe,fwd_pe,rev_growth_pct,profit_margin_pct,fcf_B
2026-07-19,BREAKOUT,RHI,Robert Half Inc.,SPEC,41.8,0.0,-56.2,-8.0,38.46,4.3,Industrials,Staffing & Employment Services,32.153847,20.274923,-3.8,2.4,0.14
2026-07-19,BOTTOM,SCL,Stepan Company,QUALITY,58.63,-11.4,-32.8,12.9,66.21,1.3,Basic Materials,Specialty Chemicals,,14.975735,1.9,-0.6,0.04
2026-07-19,BREAKOUT,SYBT,"Stock Yards Bancorp, Inc.",QUALITY,81.14,0.0,-23.3,-1.3,80.08,2.4,Financial Services,Banks - Regional,16.695473,14.60227,9.4,35.9,
2026-07-19,BOTTOM,TTI,"Tetra Technologies, Inc.",SPEC,9.26,-20.7,-31.8,26.0,11.67,1.4,Industrials,Conglomerates,154.33334,24.368422,-0.6,1.2,0.0
2026-07-25,GRADUATED,BRKR,,,60.45,-1.9,-38.8,2.0,61.64,,,,,,,,
2026-07-25,GRADUATED,FTRE,,,19.52,0.0,-49.7,-9.0,17.76,,,,,,,,
2026-07-25,GRADUATED,MLKN,,,22.08,-0.0,-35.3,0.0,22.08,,,,,,,,
2026-07-25,BOTTOM,CPRI,Capri Holdings Limited,SPEC,15.44,-42.9,-42.9,75.1,27.04,1.8,Consumer Cyclical,Luxury Goods,23.753847,5.991347,-3.7,3.9,0.18
2026-07-25,BOTTOM,FTRE,Fortrea Holdings Inc.,SPEC,19.52,0.0,-49.7,-9.0,17.76,1.8,Healthcare,Biotechnology,,18.143793,-2.3,-16.5,0.29
2026-07-25,BOTTOM,FUN,Six Flags Entertainment Corpora,QUALITY,17.37,-41.5,-64.7,81.9,31.6,1.8,Consumer Cyclical,Leisure,,39.652107,11.7,-52.8,0.08
2026-07-25,BOTTOM,LRN,"Stride, Inc.",QUALITY,86.88,-47.4,-50.0,90.1,165.17,3.7,Consumer Defensive,Education & Training Services,13.469768,9.921579,2.7,12.2,0.22
2026-07-25,BOTTOM,MLKN,"MillerKnoll, Inc.",QUALITY,22.08,-0.0,-35.3,0.0,22.08,1.5,Consumer Cyclical,"Furnishings, Fixtures & Appliances",16.235294,9.287066,4.4,2.4,0.08
2026-07-25,BOTTOM,NAMS,NewAmsterdam Pharma Company N.V,SPEC,29.64,-28.2,-31.2,39.3,41.3,3.5,Healthcare,Biotechnology,,-23.229877,2.1,0.0,-0.06
2026-07-25,BOTTOM,PGEN,"Precigen, Inc.",SPEC,5.4,-7.8,-33.5,8.5,5.86,1.9,Healthcare,Biotechnology,,-24.545456,1633.9,0.0,-0.09
2026-07-25,BREAKOUT,SAIC,Science Applications Internatio,QUALITY,118.99,0.0,-29.1,-1.2,117.51,5.0,Technology,Information Technology Services,13.104626,10.816309,1.5,5.6,0.42
2026-07-25,BOTTOM,STVN,Stevanato Group S.p.A.,QUALITY,19.68,-26.3,-49.9,35.7,26.7,5.4,Healthcare,Medical Instruments & Supplies,33.931034,23.620346,6.6,11.7,-0.06
2026-07-25,BREAKOUT,THRM,Gentherm Inc,QUALITY,42.69,0.0,-28.9,-9.3,38.74,1.3,Consumer Cyclical,Auto Parts,53.3625,13.456604,11.0,1.7,0.08
2026-07-25,BREAKOUT,UTZ,Utz Brands Inc,QUALITY,14.1,0.0,-49.9,-1.3,13.92,1.2,Consumer Defensive,Packaged Foods,,16.880972,2.6,-0.6,0.07
2026-07-25,BOTTOM,VEEV,Veeva Systems Inc.,QUALITY,186.24,-37.1,-48.9,59.1,296.28,30.3,Healthcare,Health Information Services,31.8359,18.561226,16.3,28.4,1.26
2026-07-25,BOTTOM,VOR,Vor Biopharma Inc.,SPEC,19.26,-55.6,-75.9,128.5,44.0,1.0,Healthcare,Biotechnology,,-5.146746,,0.0,-0.19
2026-07-25,BOTTOM,WDC,Western Digital Corporation,QUALITY,519.8,-30.3,-36.0,43.6,746.23,179.2,Technology,Computer Hardware,33.44916,28.02599,45.5,55.3,2.08
2026-08-01,GRADUATED,GRND,,,17.34,0.0,-58.7,0.1,17.36,,,,,,,,
2026-08-01,GRADUATED,NEO,,,15.29,0.0,-45.4,-0.9,15.16,,,,,,,,
2026-08-01,GRADUATED,NET,,,278.98,0.0,-34.1,-0.5,277.66,,,,,,,,
2026-08-01,GRADUATED,FTRE,,,19.17,-1.8,-49.7,1.8,19.52,,,,,,,,
2026-08-01,GRADUATED,MLKN,,,22.52,0.0,-35.3,-1.9,22.08,,,,,,,,
2026-08-01,GRADUATED,PGEN,,,6.27,0.0,-33.5,-6.5,5.86,,,,,,,,
2026-08-01,BOTTOM,AGRO,Adecoagro S.A.,QUALITY,9.97,-33.9,-38.8,51.3,15.09,1.4,Consumer Defensive,Farm Products,498.50003,7.9908314,22.5,0.9,-0.07
2026-08-01,BOTTOM,ALK,"Alaska Air Group, Inc.",SPEC,47.45,-25.1,-42.9,33.6,63.37,5.3,Industrials,Airlines,,7.9255185,9.7,-1.2,-0.03
2026-08-01,BREAKOUT,BAX,Baxter International Inc.,QUALITY,26.16,0.0,-51.5,-5.8,24.65,13.5,Healthcare,Medical Instruments & Supplies,,12.7267065,2.9,-9.7,0.9
2026-08-01,BOTTOM,CRAI,"CRA International,Inc.",QUALITY,179.03,-16.7,-36.2,20.1,214.97,1.2,Industrials,Consulting Services,24.83079,18.584435,10.5,6.2,0.05
2026-08-01,BREAKOUT,DBX,"Dropbox, Inc.",QUALITY,32.56,0.0,-29.8,-3.5,31.42,7.6,Technology,Software - Infrastructure,17.505377,9.560921,0.8,18.7,0.82
2026-08-01,BREAKOUT,DXCM,"DexCom, Inc.",QUALITY,83.45,0.0,-31.9,-1.4,82.26,31.5,Healthcare,Medical Devices,32.984188,26.791964,13.1,20.1,
2026-08-01,BOTTOM,ENR,"Energizer Holdings, Inc.",SPEC,20.97,-25.5,-42.7,34.2,28.14,1.4,Industrials,Electrical Equipment & Parts,7.7095585,6.0195312,-3.0,6.5,0.22
2026-08-01,BOTTOM,FTRE,Fortrea Holdings Inc.,SPEC,19.17,-1.8,-49.7,1.8,19.52,1.8,Healthcare,Biotechnology,,16.795017,-4.5,-3.2,0.28
2026-08-01,BOTTOM,GRND,Grindr Inc.,QUALITY,17.34,0.0,-58.7,0.1,17.36,3.1,Technology,Software - Application,36.893616,22.519482,38.3,19.9,0.12
2026-08-01,BREAKOUT,HAE,Haemonetics Corporation,QUALITY,85.54,0.0,-35.6,-1.9,83.94,3.9,Healthcare,Medical Devices,41.323673,15.203814,4.8,7.3,0.3
2026-08-01,BREAKOUT,ITGR,Integer Holdings Corporation,QUALITY,121.21,0.0,-38.7,-8.8,110.58,4.1,Healthcare,Medical Devices,24.991753,17.775309,0.5,7.6,0.1
2026-08-01,BREAKOUT,LNC,Lincoln National Corporation,QUALITY,45.61,0.0,-28.7,-2.1,44.63,8.7,Financial Services,Insurance - Life,3.8424602,5.377713,11.7,12.2,
2026-08-01,BOTTOM,LUV,Southwest Airlines Company,QUALITY,44.97,-16.4,-30.8,19.6,53.79,22.0,Industrials,Airlines,28.10625,9.100034,16.4,2.8,-0.83
2026-08-01,BOTTOM,MLKN,"MillerKnoll, Inc.",QUALITY,22.52,0.0,-35.3,-1.9,22.08,1.5,Consumer Cyclical,"Furnishings, Fixtures & Appliances",17.060606,9.472135,4.4,2.4,0.08
2026-08-01,BOTTOM,NEO,"NeoGenomics, Inc.",QUALITY,15.29,0.0,-45.4,-0.9,15.16,2.0,Healthcare,Diagnostics & Research,,45.21261,11.2,-6.8,0.04
2026-08-01,BOTTOM,NET,"Cloudflare, Inc.",QUALITY,278.98,0.0,-34.1,-0.5,277.66,99.0,Technology,Software - Infrastructure,,176.48586,33.5,-3.7,0.75
2026-08-01,BREAKOUT,NEU,NewMarket Corp,QUALITY,850.16,0.0,-30.6,-1.7,835.32,7.8,Basic Materials,Specialty Chemicals,18.28301,32.926414,7.0,15.8,0.44
2026-08-01,BOTTOM,NOW,"ServiceNow, Inc.",QUALITY,111.23,-42.1,-60.3,72.8,192.23,115.0,Technology,Software - Application,69.08696,22.218494,24.0,11.3,5.15
2026-08-01,BOTTOM,PGEN,"Precigen, Inc.",SPEC,6.27,0.0,-33.5,-6.5,5.86,2.2,Healthcare,Biotechnology,,-28.5,1633.9,0.0,-0.09
2026-08-01,BREAKOUT,PLUS,ePlus inc.,QUALITY,92.41,0.0,-18.6,-1.4,91.16,2.4,Technology,Software - Application,19.619959,15.919037,21.7,5.4,-0.1
2026-08-01,BREAKOUT,RJF,"Raymond James Financial, Inc.",QUALITY,175.98,0.0,-19.1,-1.5,173.32,33.8,Financial Services,Asset Management,15.249566,12.409229,15.2,15.1,
2026-08-01,BREAKOUT,SNOW,Snowflake Inc.,QUALITY,293.28,0.0,-55.9,-6.3,274.88,101.7,Technology,Software - Application,,108.951096,33.5,-23.8,1.74
2026-08-01,BOTTOM,SVV,"Savers Value Village, Inc.",QUALITY,10.26,-25.2,-48.0,33.6,13.71,1.6,Consumer Cyclical,Specialty Retail,73.28571,17.434155,8.9,1.3,0.02
2026-08-01,BOTTOM,UPWK,Upwork Inc.,QUALITY,9.16,-58.6,-63.6,141.4,22.11,1.1,Communication Services,Internet Content & Information,11.308641,5.256845,1.4,13.8,0.17
2026-08-01,BOTTOM,VC,Visteon Corporation,SPEC,104.54,-15.8,-31.5,18.8,124.15,2.8,Consumer Cyclical,Auto Parts,20.142582,10.016854,-0.9,3.8,0.2
2026-08-01,BOTTOM,VOYG,"Voyager Technologies, Inc.",SPEC,24.53,-50.5,-58.1,101.9,49.53,1.5,Industrials,Aerospace & Defense,,-17.773817,2.1,-72.9,-0.23
2026-08-01,BOTTOM,WK,Workiva Inc.,QUALITY,59.8,-35.4,-48.8,54.8,92.56,3.4,Technology,Software - Application,239.2,17.147297,19.9,1.5,0.15
2026-08-08,DROP,TPL,,,340.65,-35.8,-35.8,55.7,530.32,,,,,,,,
2026-08-08,GRADUATED,BFLY,,,8.83,-0.8,-33.9,0.8,8.9,,,,,,,,
2026-08-08,GRADUATED,JHX,,,30.23,0.0,-37.9,-4.0,29.01,,,,,,,,
2026-08-08,GRADUATED,LZB,,,42.14,0.0,-27.0,-2.8,40.95,,,,,,,,
2026-08-08,GRADUATED,SCL,,,65.15,-1.6,-32.8,1.6,66.21,,,,,,,,
2026-08-08,GRADUATED,MLKN,,,24.49,0.0,-35.3,-8.0,22.52,,,,,,,,
2026-08-08,GRADUATED,NEO,,,16.57,0.0,-45.4,-7.7,15.29,,,,,,,,
2026-08-08,GRADUATED,NET,,,300.27,0.0,-34.1,-7.1,278.98,,,,,,,,
2026-08-08,GRADUATED,PGEN,,,7.23,0.0,-33.5,-13.3,6.27,,,,,,,,
2026-08-08,BREAKOUT,ACAD,,SPEC,29.21,0.0,-25.4,-5.4,27.62,5.0,,,,,,,
2026-08-08,BOTTOM,BFLY,,SPEC,8.83,-0.8,-33.9,0.8,8.9,2.4,,,,,,,
2026-08-08,BREAKOUT,BIO,,SPEC,352.47,0.0,-27.1,-3.6,339.75,9.4,,,,,,,
2026-08-08,BOTTOM,BKSY,,SPEC,29.16,-39.8,-55.5,66.2,48.47,1.2,,,,,,,
2026-08-08,BREAKOUT,BOW,,SPEC,33.45,0.0,-48.6,-5.1,31.74,1.1,,,,,,,
2026-08-08,BOTTOM,BROS,,SPEC,53.01,-26.5,-38.3,36.1,72.16,9.3,,,,,,,
2026-08-08,BREAKOUT,CSW,"CSW Industrials, Inc.",QUALITY,350.68,0.0,-22.5,-5.9,330.11,5.7,Industrials,Specialty Industrial Machinery,47.646736,25.663654,33.0,10.3,0.07
2026-08-08,BREAKOUT,EXPE,"Expedia Group, Inc.",QUALITY,310.68,0.0,-31.3,-5.0,295.06,37.3,Consumer Cyclical,Travel Services,19.272951,13.121167,14.0,13.0,3.46
2026-08-08,BREAKOUT,FAST,Fastenal Company,QUALITY,51.84,0.0,-12.8,-4.9,49.32,59.5,Industrials,Industrial Distribution,43.563023,37.081547,14.7,15.5,0.92
2026-08-08,BREAKOUT,FIVN,"Five9, Inc.",QUALITY,33.99,0.0,-60.2,-18.9,27.57,2.5,Technology,Software - Infrastructure,52.292313,8.853523,9.2,4.9,0.27
2026-08-08,BREAKOUT,GLBE,Global-E Online Ltd.,QUALITY,42.32,0.0,-32.9,-1.7,41.59,7.1,Consumer Cyclical,Internet Retail,61.333332,21.814432,32.8,11.4,0.22
2026-08-08,BOTTOM,GLUE,"Monte Rosa Therapeutics, Inc.",SPEC,15.88,-35.3,-36.7,54.7,24.56,1.4,Healthcare,Biotechnology,,-7.229124,-61.3,0.0,-0.08
2026-08-08,BREAKOUT,HPQ,HP Inc.,QUALITY,30.05,0.0,-41.9,-7.1,27.91,27.5,Technology,Computer Hardware,10.434027,9.984782,9.0,4.4,3.45
2026-08-08,BREAKOUT,JHX,James Hardie Industries plc.,QUALITY,30.23,0.0,-37.9,-4.0,29.01,17.5,Basic Materials,Building Materials,143.95238,18.287518,44.5,2.2,0.37
2026-08-08,BREAKOUT,JLL,Jones Lang LaSalle Incorporated,QUALITY,362.38,0.0,-21.1,-1.2,357.91,16.7,Real Estate,Real Estate Services,17.455685,13.055502,10.8,3.6,1.5
2026-08-08,BOTTOM,LWLG,"Lightwave Logic, Inc.",SPEC,8.11,-50.6,-63.2,102.6,16.43,1.2,Basic Materials,Specialty Chemicals,,,27.3,0.0,-0.01
2026-08-08,BOTTOM,LYB,LyondellBasell Industries NV,QUALITY,59.59,-25.2,-33.0,33.6,79.62,19.2,Basic Materials,Specialty Chemicals,,9.243417,19.8,-1.1,1.23
2026-08-08,BOTTOM,NET,"Cloudflare, Inc.",QUALITY,300.27,0.0,-34.1,-7.1,278.98,106.9,Technology,Software - Infrastructure,,181.27977,33.5,-3.7,0.75
2026-08-08,BREAKOUT,NSIT,"Insight Enterprises, Inc.",QUALITY,149.32,0.0,-54.9,-10.4,133.86,4.4,Technology,Electronics & Computer Distribution,26.616756,11.517323,1.2,2.2,0.17
2026-08-08,BREAKOUT,NSP,"Insperity, Inc.",QUALITY,52.52,0.0,-75.5,-1.7,51.64,2.0,Industrials,Staffing & Employment Services,,19.468292,1.7,-0.2,0.2
2026-08-08,BOTTOM,NTLA,"Intellia Therapeutics, Inc.",SPEC,11.94,-53.4,-58.3,114.4,25.6,1.7,Healthcare,Biotechnology,,-4.3058524,-46.2,0.0,
2026-08-08,BREAKOUT,OC,Owens Corning Inc,QUALITY,157.1,0.0,-34.6,-3.3,151.9,12.4,Industrials,Building Products & Equipment,,13.134289,0.3,-6.8,0.89
2026-08-08,BOTTOM,PGEN,"Precigen, Inc.",SPEC,7.23,0.0,-33.5,-13.3,6.27,2.6,Healthcare,Biotechnology,,-32.863636,6322.7,-184.0,-0.1
2026-08-08,BREAKOUT,RLI,RLI Corp.,QUALITY,64.23,0.0,-33.6,-1.7,63.13,5.9,Financial Services,Insurance - Property & Casualty,13.522106,23.826748,15.2,22.2,0.32
2026-08-08,BREAKOUT,SBH,"Sally Beauty Holdings, Inc. (Na",QUALITY,16.83,0.0,-28.3,-1.4,16.6,1.6,Consumer Cyclical,Specialty Retail,8.415,7.513393,0.2,5.2,0.18
2026-08-08,BOTTOM,UAMY,United States Antimony Corporat,SPEC,6.85,-43.9,-58.5,78.2,12.21,1.0,Basic Materials,Other Industrial Metals & Mining,,-171.25,-3.1,-41.4,-0.06
2026-08-08,BREAKOUT,USA,,SPEC,6.01,0.0,-14.7,-1.6,5.92,1.9,Financial Services,Asset Management,10.732143,,-9.8,553.4,
