ticker,signal,date,price,fwd13w,fwd26w,fwd52w,exc13w,exc26w,exc52w,mae26w
JAZZ,BREAKOUT,2025-02-10,133.96,-18.6,-12.1,24.1,-16.4,-18.2,11.0,-27.0
JAZZ,BOTTOM,2025-07-28,115.52,19.1,42.4,,9.1,30.5,,-3.7
JAZZ,BREAKOUT,2025-11-17,176.93,-2.7,35.6,,-7.6,21.8,,-8.9
JBGS,BOTTOM,2020-03-23,24.03,-4.7,-14.1,6.9,-23.6,-45.0,-51.8,-14.1
JBGS,BREAKOUT,2021-03-08,26.89,4.5,-11.6,-11.2,-3.5,-25.4,-19.2,-11.8
JBGS,BOTTOM,2023-09-11,13.42,20.4,12.6,26.2,14.1,-3.2,-1.9,-15.4
JBGS,BREAKOUT,2024-08-19,16.32,-4.7,-13.2,22.1,-11.0,-20.6,5.9,-17.1
JBGS,BREAKOUT,2025-06-09,17.58,29.5,-4.0,-16.3,19.1,-18.9,-42.0,-6.8
JBHT,BREAKOUT,2025-12-01,187.68,13.5,51.8,,15.1,43.6,,0.0
JBI,BOTTOM,2022-09-19,9.01,3.8,9.4,23.3,-0.8,1.0,4.5,-5.5
JBI,BREAKOUT,2023-07-24,11.4,-18.8,23.4,27.7,-9.0,15.9,6.9,-18.8
JBI,BOTTOM,2025-03-31,6.9,30.3,45.1,-28.7,6.2,11.9,-60.0,-8.8
JBIO,BOTTOM,2025-05-26,7.25,9.0,76.8,190.2,-0.8,60.2,160.4,-6.8
JBIO,BOTTOM,2026-01-19,16.31,53.2,,,49.3,,,-17.9
JBIO,BOTTOM,2026-06-01,16.94,,,,,,,-9.4
JBL,BREAKOUT,2019-04-08,29.19,1.9,17.7,-11.9,-2.2,14.6,-9.8,-18.6
JBL,BOTTOM,2020-10-12,35.53,23.1,50.5,72.9,14.5,29.5,42.7,-8.7
JBL,BREAKOUT,2025-01-06,153.53,-14.2,44.4,47.2,-6.5,36.3,26.2,-24.0
JBLU,BOTTOM,2021-01-04,14.69,43.4,12.1,2.9,35.1,-2.9,-21.0,-2.4
JBLU,BOTTOM,2023-04-24,7.14,9.9,-42.2,-19.0,-0.3,-41.6,-43.0,-42.2
JBLU,BOTTOM,2024-04-08,6.75,-9.6,-0.4,-45.0,-19.6,-14.6,-50.9,-29.8
JBLU,BREAKOUT,2024-10-14,8.05,-5.1,-54.4,-42.1,-7.7,-45.0,-57.1,-54.4
JBLU,BOTTOM,2024-12-02,6.59,-7.3,-24.0,-27.3,-2.4,-23.2,-41.5,-44.3
JBLU,BOTTOM,2025-10-06,4.4,18.0,7.7,,11.4,3.1,,-8.4
JBSS,BREAKOUT,2019-04-29,58.31,8.2,35.6,9.5,8.2,30.5,11.4,-4.3
JBTM,BREAKOUT,2019-06-24,118.17,-16.7,-5.0,-36.1,-18.0,-16.3,-40.5,-19.9
JBTM,BREAKOUT,2020-11-30,122.3,16.0,16.9,26.7,11.9,1.8,2.4,-8.6
JBTM,BOTTOM,2022-05-30,122.63,-19.2,-25.1,-6.4,-15.1,-25.1,-12.4,-33.0
JBTM,BREAKOUT,2024-10-21,113.81,14.8,-9.8,14.1,9.4,-5.5,-4.2,-17.5
JCI,BREAKOUT,2019-04-29,34.13,6.6,12.1,-27.7,6.6,7.0,-25.8,-2.7
JCI,BREAKOUT,2024-05-13,67.05,1.1,23.6,44.7,-4.0,12.2,31.0,-3.2
JD,BOTTOM,2021-11-08,75.31,-13.9,-40.0,-41.6,-8.5,-26.6,-28.2,-44.2
JD,BOTTOM,2024-06-17,26.36,1.6,26.8,15.2,-3.1,17.6,4.7,-10.5
JD,BOTTOM,2024-12-16,33.43,18.5,-9.2,-16.8,22.8,-10.3,-33.2,-9.2
JEF,BOTTOM,2020-03-23,11.33,2.1,30.2,124.4,-16.8,-0.6,65.6,-15.5
JEF,BREAKOUT,2020-11-09,18.87,25.0,41.2,90.0,14.9,24.0,57.7,-0.3
JEF,BOTTOM,2022-10-31,29.13,22.8,-5.4,10.9,12.7,-15.9,-6.4,-8.1
JEF,BOTTOM,2025-11-17,53.82,-1.5,-3.4,,-6.4,-17.2,,-33.0
JHX,BREAKOUT,2017-12-11,15.39,4.3,-2.8,-34.6,1.0,-7.7,-33.6,-2.8
JHX,BOTTOM,2019-06-24,12.58,26.5,52.0,37.8,25.2,40.8,33.3,0.0
JHX,BREAKOUT,2020-08-03,21.13,22.0,38.0,63.2,16.9,21.2,29.0,-1.8
JHX,BOTTOM,2023-04-17,22.63,21.3,8.7,51.3,11.1,5.7,29.4,-1.6
JHX,BREAKOUT,2023-06-12,27.51,3.0,26.0,15.1,1.8,18.4,-9.7,-10.8
JHX,BREAKOUT,2024-09-16,42.0,-24.6,-30.3,-54.1,-29.0,-30.2,-72.3,-30.3
JHX,BOTTOM,2026-05-04,20.98,,,,,,,-8.2
JJSF,BREAKOUT,2017-11-13,122.14,-3.1,-1.7,9.5,-9.6,-7.9,1.4,-7.8
JJSF,BOTTOM,2020-12-21,138.87,1.0,12.6,1.1,-6.6,-3.8,-28.1,-3.6
JJSF,BREAKOUT,2024-08-12,161.7,-5.2,-26.5,-33.6,-11.2,-37.2,-51.2,-28.0
JKHY,BOTTOM,2023-08-28,151.73,2.4,9.5,10.9,0.3,-5.0,-15.8,-12.3
JKHY,BREAKOUT,2024-09-09,171.79,2.4,0.5,-7.9,-5.4,-0.3,-26.3,-5.2
JKS,BREAKOUT,2019-02-18,16.08,-13.3,-11.7,29.9,-15.0,-14.6,8.2,-20.4
JKS,BREAKOUT,2020-02-10,19.58,-43.0,-16.3,156.3,-28.3,-17.1,137.8,-47.8
JKS,BOTTOM,2020-06-15,12.31,52.7,306.8,145.3,45.2,286.2,108.9,0.0
JKS,BREAKOUT,2020-09-21,27.32,102.9,23.5,19.0,90.2,2.2,-18.0,0.0
JKS,BOTTOM,2021-12-27,35.28,10.7,46.3,-11.1,15.1,65.4,7.1,-14.4
JKS,BREAKOUT,2022-06-27,51.62,-17.6,-39.2,-34.0,-11.7,-40.4,-52.2,-39.2
JKS,BOTTOM,2023-01-30,41.96,-12.0,-30.0,-50.1,-12.5,-39.2,-71.8,-30.0
JKS,BREAKOUT,2025-11-03,26.02,-1.8,-12.9,,-5.0,-23.5,,-24.3
JLL,BOTTOM,2020-06-15,104.39,-1.1,42.1,90.6,-8.7,21.5,54.2,-9.3
JMIA,BOTTOM,2020-10-26,14.96,284.7,103.3,16.8,270.9,74.6,-25.8,-1.8
JMIA,BOTTOM,2022-09-19,6.0,-46.5,-49.2,-60.0,-51.0,-57.6,-78.8,-50.5
JMIA,BREAKOUT,2024-02-12,4.75,42.5,8.6,-12.6,36.2,-3.0,-36.3,-17.1
JMIA,BOTTOM,2024-04-08,4.45,193.7,22.0,-53.9,183.7,7.9,-59.8,-11.5
JMIA,BREAKOUT,2025-08-11,7.75,36.9,20.3,,32.2,13.7,,0.0
JOBY,BOTTOM,2022-09-12,5.48,-33.9,-29.0,19.3,-33.8,-31.0,2.5,-38.9
JOBY,BREAKOUT,2023-06-05,6.96,4.9,-5.6,-28.3,0.9,-13.4,-54.3,-25.4
JOBY,BOTTOM,2023-07-31,8.16,-23.5,-29.9,-38.1,-21.2,-41.4,-59.0,-36.4
JOBY,BOTTOM,2024-09-09,5.43,43.3,14.9,157.8,35.4,14.1,139.4,-10.3
JOBY,BREAKOUT,2024-11-18,7.09,-1.6,-6.5,84.3,-2.6,-4.4,72.3,-24.4
JOE,BOTTOM,2020-06-15,18.27,10.2,125.0,126.2,2.6,104.4,89.8,-5.3
JOE,BREAKOUT,2020-08-24,22.14,42.2,116.1,98.7,38.1,106.7,68.3,-12.9
JOE,BOTTOM,2023-04-24,39.79,57.3,12.8,43.7,47.1,13.4,19.7,0.0
JOE,BREAKOUT,2025-10-27,56.36,16.9,9.3,,15.1,3.0,,0.0
JOYY,BOTTOM,2019-06-24,53.68,-20.7,-21.6,33.3,-22.0,-32.8,28.9,-25.2
JOYY,BOTTOM,2019-12-16,43.29,-25.1,73.0,47.8,3.1,75.8,30.6,-25.1
JOYY,BOTTOM,2020-07-20,59.0,11.5,20.0,-26.6,3.4,-0.4,-65.7,-4.1
JOYY,BOTTOM,2023-04-17,24.87,15.3,38.7,15.1,5.2,35.8,-6.8,-1.4
JOYY,BREAKOUT,2024-12-02,36.11,20.1,20.8,66.4,25.0,21.6,52.2,-5.1
JPM,BOTTOM,2020-06-15,83.11,1.5,24.1,56.1,-6.0,3.5,19.7,-5.3
JPM,BREAKOUT,2021-01-04,118.64,15.6,15.9,25.8,7.3,0.9,1.9,-5.4
JXN,BOTTOM,2023-01-02,30.4,2.3,-10.2,48.5,-3.5,-24.1,26.1,-16.5
JXN,BREAKOUT,2023-01-30,40.01,-24.1,-27.8,12.4,-24.6,-37.0,-9.3,-36.5
JXN,BREAKOUT,2023-11-27,44.25,17.0,58.9,113.3,4.8,43.2,80.2,0.0
KAI,BREAKOUT,2018-09-17,104.58,-28.3,-21.6,-20.2,-11.2,-18.2,-24.4,-28.3
KAI,BREAKOUT,2023-01-30,210.61,-8.7,-0.6,38.6,-9.1,-9.8,16.9,-13.0
KALU,BREAKOUT,2019-10-28,86.11,-7.2,-37.1,-40.0,-12.8,-30.5,-48.7,-48.6
KALU,BOTTOM,2020-07-13,55.21,-4.2,53.2,72.5,-12.6,35.5,36.5,-25.7
KALU,BREAKOUT,2021-01-04,87.95,4.5,15.2,-3.9,-3.8,0.2,-27.8,-18.4
KALU,BREAKOUT,2024-03-11,72.35,14.9,-10.5,-6.6,8.4,-21.1,-18.1,-11.6
KARO,BOTTOM,2023-03-27,20.69,4.4,-11.1,11.9,-4.2,-16.3,-17.8,-11.1
KARO,BREAKOUT,2026-07-06,56.4,,,,,,,0.0
KB,BREAKOUT,2020-11-23,36.76,-12.1,18.1,4.4,-17.2,1.7,-23.6,-16.9
KB,BOTTOM,2023-04-24,33.66,9.7,4.8,54.9,-0.5,5.3,30.9,-4.4
KB,BREAKOUT,2024-01-29,45.61,13.2,27.3,33.2,9.4,18.8,9.9,-3.3
KB,BREAKOUT,2025-05-19,71.29,12.0,16.3,47.1,0.2,1.8,16.9,0.0
KBH,BREAKOUT,2023-01-30,37.75,11.3,37.8,52.6,10.9,28.6,30.9,-12.8
KBR,BREAKOUT,2018-08-20,19.22,-15.5,-12.9,18.3,-7.5,-11.0,17.3,-33.7
KBR,BOTTOM,2020-06-15,22.73,-0.2,21.9,55.3,-7.7,1.2,18.9,-12.0
KBR,BREAKOUT,2020-12-28,29.07,20.6,24.5,55.6,13.1,7.7,26.9,-6.1
KC,BREAKOUT,2023-03-20,6.29,-12.1,-21.8,-47.9,-22.0,-31.3,-81.5,-39.7
KC,BOTTOM,2025-05-26,11.17,32.2,10.7,9.9,22.5,-6.0,-19.9,0.0
KC,BOTTOM,2025-08-18,14.82,-18.6,-6.7,,-21.0,-14.1,,-27.6
KC,BREAKOUT,2026-04-13,18.21,-47.6,,,-52.5,,,-52.9
KC,BOTTOM,2026-06-15,10.06,,,,,,,-14.7
KD,BREAKOUT,2023-02-06,16.31,-13.1,-1.0,34.6,-14.4,-11.0,9.9,-28.5
KD,BOTTOM,2023-06-19,12.84,21.2,58.9,98.8,21.5,48.7,71.3,-0.9
KD,BREAKOUT,2023-08-28,16.86,9.7,31.9,40.5,7.6,17.4,13.8,-17.2
KD,BOTTOM,2025-08-11,29.98,-14.2,-59.2,,-18.9,-65.7,,-59.2
KDP,BREAKOUT,2022-08-08,35.2,-4.5,-9.2,-12.0,1.8,-5.6,-18.0,-10.7
KDP,BREAKOUT,2024-04-22,31.55,0.7,3.8,4.8,-6.8,-10.8,-5.0,-2.6
KEP,BOTTOM,2019-04-08,12.52,-14.2,-14.5,-37.8,-18.3,-17.5,-35.6,-18.3
KEP,BREAKOUT,2020-12-14,12.61,-15.8,-8.7,-28.4,-21.7,-21.8,-54.6,-21.2
KEP,BOTTOM,2023-08-14,6.6,3.7,18.3,8.2,0.1,3.0,-20.5,-10.2
KEP,BREAKOUT,2024-02-19,8.9,-18.7,-10.7,-14.4,-23.2,-22.1,-34.0,-23.1
KEP,BOTTOM,2024-04-15,7.28,-2.9,4.2,17.9,-14.1,-14.6,10.2,-6.0
KEX,BREAKOUT,2018-01-08,74.8,12.6,16.0,-8.9,16.8,14.5,-3.9,-3.1
KEX,BREAKOUT,2019-12-16,88.05,-58.5,-37.5,-43.1,-30.3,-34.7,-60.3,-58.5
KEY,BOTTOM,2020-06-15,10.03,-3.9,18.5,55.9,-11.4,-2.1,19.4,-13.5
KEY,BREAKOUT,2021-02-08,14.7,23.8,10.3,42.3,17.3,-4.0,28.7,0.0
KEY,BOTTOM,2023-02-20,15.2,-44.3,-38.7,-16.7,-50.6,-50.5,-46.8,-50.4
KEY,BOTTOM,2023-08-07,9.9,-3.5,24.6,34.9,-2.7,11.3,13.6,-12.8
KEY,BREAKOUT,2024-03-04,13.45,-5.3,8.0,10.8,-10.0,1.8,-3.2,-9.2
KEYS,BREAKOUT,2020-11-02,112.97,26.5,26.9,62.6,15.3,5.5,26.9,0.0
KEYS,BOTTOM,2022-11-14,171.9,8.1,-8.6,-22.5,4.8,-15.2,-38.1,-16.4
KEYS,BREAKOUT,2024-11-04,165.42,5.4,-6.8,9.3,4.6,-1.8,-4.2,-23.2
KEYS,BREAKOUT,2025-11-24,197.95,55.3,70.9,,54.6,59.6,,0.0
KFRC,BREAKOUT,2017-11-13,20.59,9.7,29.2,22.5,3.3,23.0,14.4,-4.3
KFRC,BOTTOM,2020-09-14,29.01,27.6,57.3,83.5,15.5,38.6,48.1,-4.5
KFRC,BREAKOUT,2020-11-23,36.07,22.8,50.6,84.8,17.7,34.2,56.8,0.0
KFRC,BOTTOM,2026-03-30,29.68,71.6,,,57.7,,,-5.6
KFRC,BREAKOUT,2026-05-25,46.61,,,,,,,-2.6
KFY,BOTTOM,2018-12-03,38.57,2.7,3.3,-8.6,-2.1,-7.0,-30.4,-11.1
KFY,BOTTOM,2019-04-08,42.27,-16.9,-23.4,-39.6,-21.0,-26.5,-37.4,-23.6
KFY,BOTTOM,2023-04-10,47.34,3.6,-3.8,22.3,-5.7,-9.2,-3.3,-7.7
KFY,BREAKOUT,2023-12-11,53.88,10.3,16.7,23.9,1.4,0.6,-6.1,-4.1
KFY,BREAKOUT,2026-07-13,78.61,,,,,,,
KGC,BOTTOM,2022-05-16,4.18,-20.6,-7.5,18.0,-29.4,-10.0,8.8,-30.9
