ticker,bottom_date,breakout_date,weeks_to_breakout,head_start_pct,bottom_fwd26w,breakout_fwd26w
ATEX,2020-08-10,2021-06-14,44.0,33.5,-14.3,-5.3
ATKR,2025-09-15,2026-05-18,35.0,42.6,-6.0,
ATKR,2026-02-23,2026-05-18,12.0,31.6,,
ATLC,2020-09-07,2020-12-07,13.0,90.7,186.9,80.5
ATLC,2023-11-27,2024-11-04,49.0,42.6,-17.9,22.8
ATLC,2024-09-09,2024-11-04,8.0,42.3,54.9,22.8
ATOM,2019-09-02,2020-05-04,35.0,46.2,34.2,60.2
ATRA,2020-10-12,2020-11-09,4.0,28.8,-5.2,-17.0
ATRC,2024-12-16,2025-12-08,51.0,38.0,2.2,-32.1
ATRO,2022-04-04,2023-01-16,41.0,29.0,-33.1,46.8
ATRO,2022-09-19,2023-01-16,17.0,75.9,52.3,46.8
AU,2018-04-23,2018-12-10,33.0,29.9,6.6,33.9
AUPH,2024-10-07,2025-07-28,42.0,48.2,4.7,38.5
AUR,2023-10-09,2024-08-26,46.0,152.4,65.9,55.7
AVA,2020-06-15,2021-03-08,38.0,31.7,12.4,-6.6
AVB,2021-01-25,2021-03-08,6.0,16.4,41.5,19.3
AVPT,2023-04-03,2023-05-22,7.0,58.4,72.3,31.8
AVTX,2020-06-08,2021-02-15,36.0,71.5,6.3,-36.2
AWI,2020-06-15,2021-03-08,38.0,28.1,3.1,3.5
AWI,2021-02-15,2021-03-08,3.0,22.2,35.4,3.5
AX,2020-09-14,2020-11-09,8.0,41.9,125.5,41.7
AX,2023-03-06,2023-12-11,40.0,40.5,13.8,-1.3
AXGN,2022-07-18,2022-11-07,16.0,41.0,14.1,-28.9
AXIA,2018-12-03,2018-12-31,4.0,28.9,48.1,17.3
AYA,2022-10-31,2023-03-27,21.0,31.1,27.2,-33.5
AYA,2023-02-06,2023-03-27,7.0,52.7,9.1,-33.5
BAC,2020-06-15,2021-02-15,35.0,38.6,15.0,18.0
BANC,2023-09-25,2024-03-04,23.0,20.9,24.6,-5.7
BAND,2019-12-09,2020-04-27,20.0,56.0,101.8,79.7
BAND,2023-06-19,2024-02-26,36.0,63.4,8.0,-17.1
BAND,2025-10-20,2026-03-30,23.0,8.0,44.3,
BANF,2020-06-15,2021-01-04,29.0,60.8,43.9,-1.7
BANF,2020-08-31,2021-01-04,18.0,41.2,57.0,-1.7
BBAR,2022-04-25,2022-12-19,34.0,31.6,9.3,69.4
BBBY,2019-11-04,2020-06-22,33.0,189.7,66.3,102.0
BBIO,2024-10-07,2025-01-20,15.0,45.1,30.9,23.2
BBT,2023-08-21,2024-07-15,47.0,34.5,6.6,5.6
BBW,2020-02-24,2021-01-25,48.0,47.2,-36.7,170.9
BBW,2020-08-10,2021-01-25,24.0,134.0,160.3,170.9
BBY,2025-12-01,2026-07-06,31.0,16.4,-0.8,
BCRX,2020-04-20,2020-11-30,32.0,71.3,4.2,167.0
BDC,2020-03-09,2021-02-01,47.0,38.7,-16.4,2.1
BDC,2020-06-15,2021-02-01,33.0,56.3,24.9,2.1
BDC,2021-01-11,2021-02-01,3.0,23.0,11.4,2.1
BE,2020-04-20,2020-07-06,11.0,65.7,98.4,153.6
BFLY,2024-04-01,2024-09-09,23.0,88.2,92.2,39.6
BFLY,2024-08-19,2024-09-09,3.0,100.0,348.4,39.6
BFST,2023-10-23,2024-07-22,39.0,40.0,9.6,6.8
BG,2025-05-12,2025-10-13,22.0,21.7,19.8,23.9
BH,2020-06-15,2020-11-30,24.0,62.1,73.3,35.9
BH,2020-09-21,2020-11-30,10.0,36.2,52.9,35.9
BIIB,2019-07-01,2020-02-03,31.0,44.6,24.2,-9.7
BJRI,2020-10-19,2021-01-04,11.0,42.0,82.2,8.6
BJRI,2025-10-20,2026-05-25,31.0,42.7,15.8,
BKE,2020-06-15,2020-11-09,21.0,80.3,112.1,78.5
BKKT,2024-12-23,2025-09-29,40.0,46.9,-53.5,-81.7
BKSY,2024-02-19,2025-01-20,48.0,23.8,-13.2,32.2
BKU,2024-01-15,2024-07-15,26.0,28.7,28.7,9.7
BLBD,2023-04-10,2024-01-22,41.0,52.6,-2.1,85.2
BLDR,2019-06-10,2019-07-29,7.0,22.3,64.4,31.4
BLDR,2022-10-31,2023-01-30,13.0,44.8,96.3,82.3
BLTE,2025-08-04,2025-10-13,10.0,25.5,168.8,88.6
BLX,2019-05-20,2019-11-04,24.0,12.7,15.5,-48.6
BLZE,2024-12-23,2025-08-11,33.0,23.3,-12.2,-44.1
BLZE,2025-12-01,2026-06-22,29.0,191.8,55.5,
BMA,2019-03-11,2019-06-24,15.0,54.9,-47.5,-50.1
BMA,2021-07-12,2021-09-06,8.0,29.7,4.1,-15.1
BMO,2020-06-15,2020-11-30,24.0,41.6,39.1,40.9
BMO,2020-09-28,2020-11-30,9.0,33.8,58.7,40.9
BMRN,2021-08-02,2021-11-15,15.0,17.1,13.4,-12.8
BN,2023-03-13,2023-12-11,39.0,35.3,26.4,6.8
BNAI,2025-11-10,2026-01-19,10.0,301.0,443.6,
BNS,2023-03-20,2024-03-04,50.0,11.4,0.9,4.0
BNY,2023-04-24,2023-12-11,33.0,23.6,-0.3,14.1
BOH,2023-11-20,2024-10-28,49.0,36.9,4.1,-3.8
BOX,2020-09-14,2021-03-08,25.0,28.5,26.4,-0.4
BPOP,2020-06-15,2021-01-04,29.0,56.8,44.7,27.2
BROS,2023-04-24,2024-03-11,46.0,9.0,-20.5,0.2
BRSL,2020-10-19,2020-12-07,7.0,43.6,61.5,71.2
BSBR,2017-11-20,2018-01-22,9.0,28.7,4.5,-16.2
BSTZ,2023-04-17,2024-02-05,42.0,16.6,-8.2,3.7
BURL,2023-07-03,2024-03-04,35.0,40.3,23.3,20.2
BW,2024-09-16,2025-09-08,51.0,95.8,-38.3,278.1
BWA,2019-05-20,2019-11-04,24.0,31.2,21.2,-35.9
BWA,2024-08-12,2025-07-28,50.0,16.5,-6.8,27.4
BWLP,2022-02-28,2022-05-16,11.0,33.6,18.8,22.6
BZH,2023-03-06,2023-04-10,5.0,16.9,97.6,40.6
CACC,2020-11-30,2021-08-02,35.0,66.4,19.6,-5.7
CACC,2023-04-17,2024-01-29,41.0,18.7,-15.3,-17.6
CACI,2025-07-07,2025-10-20,15.0,21.7,24.5,-11.8
CADL,2024-09-09,2025-02-17,23.0,65.9,24.8,-48.8
CADL,2025-08-18,2026-05-04,37.0,40.3,-14.2,
CAMT,2019-07-01,2019-10-21,16.0,33.1,33.0,-11.0
CAPR,2019-05-06,2020-04-27,51.0,73.1,-47.6,-46.9
CAPR,2022-11-14,2023-08-14,39.0,71.0,11.4,-47.8
CAPR,2025-01-20,2025-12-01,45.0,81.7,-52.3,-0.7
CAR,2020-06-15,2021-02-15,35.0,90.6,41.7,84.2
CAR,2020-10-05,2021-02-15,19.0,54.5,144.0,84.2
CAR,2025-09-22,2026-04-06,28.0,86.0,-7.9,
CARS,2020-09-28,2021-01-18,16.0,58.0,52.6,-9.6
CB,2020-06-15,2021-02-01,33.0,28.5,20.5,8.6
CBAN,2023-09-11,2023-12-18,14.0,31.9,8.5,-12.2
CBRE,2020-03-16,2020-11-30,37.0,91.9,41.5,33.8
CBRE,2020-06-15,2020-11-30,24.0,40.7,35.4,33.8
CBT,2019-05-20,2019-11-04,24.0,23.9,16.4,-34.2
CCB,2020-08-10,2020-11-09,13.0,25.9,60.1,70.3
CCC,2022-11-14,2023-05-22,27.0,19.8,12.7,9.8
CCI,2024-03-18,2024-07-29,19.0,13.9,15.5,-20.2
CCRN,2022-04-18,2022-09-12,21.0,44.6,77.9,-24.6
CCS,2019-06-03,2019-09-09,14.0,6.9,1.3,-19.7
CE,2020-06-15,2020-11-09,21.0,49.8,53.7,31.5
CECO,2020-06-15,2021-03-08,38.0,44.6,14.2,-25.1
CELC,2023-03-06,2023-11-27,38.0,31.3,-19.5,6.2
CERT,2023-02-06,2023-03-27,7.0,27.9,-11.6,-39.7
CF,2020-09-14,2021-01-11,17.0,35.3,44.1,4.8
CG,2023-04-17,2023-12-04,33.0,26.5,-6.0,11.9
CGAU,2023-05-15,2024-05-06,51.0,30.1,4.8,-0.7
CGEM,2023-08-14,2024-01-29,24.0,69.4,74.0,0.1
CHRN,2020-11-30,2021-01-18,7.0,81.2,-2.7,-53.9
CIFR,2024-01-29,2024-03-25,8.0,92.2,61.6,-20.2
CIFR,2024-10-07,2025-08-25,46.0,82.3,-42.2,104.2
CIFR,2025-12-22,2026-05-18,21.0,44.6,70.8,
CIGI,2020-03-16,2020-11-30,37.0,111.8,48.9,23.9
CIGI,2020-06-15,2020-11-30,24.0,52.0,47.4,23.9
CIGI,2020-10-05,2020-11-30,8.0,38.0,52.8,23.9
CLDX,2022-02-28,2022-12-12,41.0,43.6,-0.9,-18.0
CLDX,2022-11-14,2022-12-12,4.0,25.5,-5.2,-18.0
CLF,2020-01-13,2020-10-19,40.0,11.6,-26.6,107.4
CLFD,2025-09-15,2026-05-25,36.0,39.0,-18.3,
CLRO,2024-04-01,2024-12-30,39.0,26.5,-42.0,-49.1
CLSK,2023-05-22,2023-07-10,7.0,63.1,31.9,18.0
CLYM,2024-03-04,2024-04-08,5.0,57.9,170.7,25.8
CLYM,2025-11-10,2025-12-08,4.0,57.9,468.4,281.3
CMPR,2023-03-13,2023-04-24,6.0,57.5,109.2,11.1
CNK,2025-12-22,2026-06-08,24.0,48.8,47.2,
CNM,2022-10-17,2023-04-17,26.0,19.3,19.3,16.3
CNX,2020-01-06,2020-04-13,14.0,36.1,7.9,-4.7
CNX,2022-08-08,2023-07-24,50.0,15.9,-4.8,3.2
CNXN,2020-09-14,2021-01-18,18.0,25.7,11.9,-16.0
COF,2023-04-24,2023-12-11,33.0,35.7,1.7,4.0
COGT,2021-12-20,2022-07-04,28.0,27.5,6.7,12.4
COHR,2023-03-06,2024-02-05,48.0,61.8,-13.9,1.6
COHR,2023-10-23,2024-02-05,15.0,113.9,88.9,1.6
COHU,2019-06-10,2019-11-04,21.0,26.2,31.2,-22.9
COHU,2020-10-12,2020-11-09,4.0,34.7,154.4,41.5
COIN,2023-04-17,2023-07-10,12.0,78.4,26.5,24.2
COIN,2024-08-26,2024-11-04,10.0,47.7,17.6,-26.4
COKE,2020-07-13,2021-03-08,34.0,28.5,11.0,32.3
COLB,2020-10-26,2021-01-04,10.0,42.4,55.8,-8.8
COMP,2023-08-28,2024-05-13,37.0,22.2,9.4,47.0
COMP,2024-04-15,2024-05-13,4.0,32.7,78.7,47.0
COP,2025-06-30,2026-01-26,30.0,13.2,5.0,
CORT,2019-12-23,2020-06-22,26.0,35.5,35.5,63.3
COUR,2023-03-06,2023-08-21,24.0,49.1,59.8,-2.4
CPRI,2025-02-03,2025-11-24,42.0,17.0,-9.2,-27.0
CRAI,2019-05-13,2019-12-02,29.0,35.3,29.4,-16.6
CRAI,2020-09-28,2021-01-11,15.0,52.6,99.0,43.3
CRDO,2023-03-20,2023-11-20,35.0,128.1,80.0,6.0
CRMD,2023-08-07,2024-04-08,35.0,32.7,-27.7,73.3
CROX,2025-07-28,2026-05-18,42.0,13.7,-13.6,
CROX,2025-10-27,2026-05-18,29.0,35.2,27.2,
CROX,2026-03-16,2026-05-18,9.0,45.7,,
CRSP,2019-07-08,2020-06-22,50.0,50.8,22.0,127.6
CSIQ,2018-06-25,2019-01-07,28.0,44.3,18.1,17.8
CSIQ,2018-09-17,2019-01-07,16.0,20.0,27.4,17.8
CSWC,2023-03-06,2023-06-05,13.0,19.3,36.7,23.2
CTGO,2024-11-25,2025-09-15,42.0,70.5,37.9,-28.3
