ticker,bottom_date,breakout_date,weeks_to_breakout,head_start_pct,bottom_fwd26w,breakout_fwd26w
FUBO,2020-08-10,2020-11-16,14.0,117.6,329.3,-14.2
FUBO,2024-01-15,2025-01-06,51.0,96.5,-44.6,-35.2
FUBO,2024-09-23,2025-01-06,15.0,250.0,98.6,-35.2
GAP,2020-03-09,2020-10-05,30.0,83.2,53.9,65.1
GAP,2023-01-09,2023-11-13,44.0,44.7,-26.1,22.7
GAP,2025-01-13,2025-05-19,18.0,22.5,-12.5,-11.0
GBCI,2020-08-10,2020-12-14,18.0,26.4,42.0,16.7
GBX,2019-12-30,2020-10-05,40.0,9.8,-28.8,38.3
GCO,2020-12-28,2021-02-01,5.0,43.3,108.5,31.5
GCO,2024-01-01,2024-12-02,48.0,31.8,-22.3,-44.6
GCO,2024-07-01,2024-12-02,22.0,69.7,76.9,-44.6
GDYN,2020-03-16,2021-01-18,44.0,133.0,35.4,44.6
GEF,2020-07-13,2020-11-09,17.0,25.3,41.3,45.1
GENI,2023-12-04,2024-08-19,37.0,45.9,0.9,15.9
GFI,2021-08-02,2022-02-14,28.0,50.7,20.3,-33.1
GFI,2024-02-12,2024-04-01,7.0,30.1,25.1,-9.7
GFS,2025-09-15,2026-02-09,21.0,48.9,30.9,
GGAL,2019-03-11,2019-07-08,17.0,35.4,-60.2,-56.8
GHRS,2026-02-09,2026-04-13,9.0,24.8,,
GKOS,2022-05-09,2023-05-08,52.0,52.2,34.6,2.9
GL,2024-07-15,2025-02-24,32.0,45.0,34.6,10.3
GLBE,2024-03-25,2024-11-18,34.0,37.2,4.7,-36.7
GLUE,2024-09-09,2024-10-28,7.0,46.4,3.1,-44.2
GLUE,2026-02-09,2026-07-13,22.0,37.1,,
GM,2023-03-20,2024-02-26,49.0,23.0,-2.8,21.8
GMED,2020-07-27,2020-11-23,17.0,24.4,28.0,20.3
GMED,2023-08-28,2024-05-06,36.0,19.3,0.4,25.0
GMED,2024-03-11,2024-05-06,8.0,25.9,35.7,25.0
GNK,2023-03-27,2024-02-19,47.0,31.0,-8.7,-8.4
GNK,2023-09-04,2024-02-19,24.0,45.3,54.6,-8.4
GNRC,2023-09-04,2024-07-08,44.0,33.7,1.7,2.3
GNW,2017-12-18,2018-06-11,25.0,45.3,40.9,-4.3
GOOS,2020-12-28,2021-11-01,44.0,62.1,44.5,-58.6
GPK,2019-03-04,2019-07-22,20.0,25.6,15.1,9.4
GPRK,2023-11-20,2024-05-27,27.0,13.9,7.1,-3.9
GRC,2023-03-06,2023-07-24,20.0,23.1,32.6,11.1
GRFS,2024-08-12,2025-07-07,47.0,38.0,3.7,-2.2
GRPN,2024-09-02,2025-03-24,29.0,72.0,-3.7,20.8
GSAT,2020-01-27,2021-01-04,49.0,16.7,-18.7,203.6
GSAT,2020-07-20,2021-01-04,24.0,51.4,181.1,203.6
GSAT,2021-05-24,2021-09-06,15.0,62.5,-10.6,-56.5
GSAT,2024-09-09,2024-12-02,12.0,88.9,21.5,-40.0
GSIT,2025-08-25,2026-05-11,37.0,227.9,177.6,
GSIT,2026-04-20,2026-05-11,3.0,23.1,,
GSL,2020-08-17,2020-11-16,13.0,63.6,153.6,87.2
GTX,2021-01-25,2021-05-24,17.0,38.0,3.4,-13.3
GTX,2022-08-29,2023-01-30,22.0,27.2,20.2,-10.6
GVA,2020-06-15,2021-01-04,29.0,79.8,42.2,18.5
H,2021-01-04,2021-11-01,43.0,23.1,6.9,-6.6
HAFC,2023-11-27,2024-07-15,33.0,13.9,-8.0,19.4
HBAN,2020-06-15,2021-01-04,29.0,44.1,23.7,0.9
HBM,2019-01-21,2019-04-08,11.0,33.2,-15.0,-53.5
HBM,2023-09-18,2024-02-26,23.0,29.8,46.7,34.4
HBNC,2024-01-29,2024-07-15,24.0,18.8,18.7,10.1
HCC,2020-10-19,2021-01-04,11.0,53.7,17.9,-22.3
HCC,2021-04-26,2021-08-30,18.0,56.4,52.1,56.1
HCSG,2020-03-30,2021-01-04,40.0,54.6,9.6,1.6
HCSG,2020-08-24,2021-01-04,19.0,48.4,35.8,1.6
HE,2024-11-04,2025-08-18,41.0,14.7,-1.4,30.0
HE,2025-05-12,2025-08-18,14.0,14.9,9.7,30.0
HII,2020-06-15,2021-03-22,40.0,16.0,-3.8,-2.8
HIMX,2020-03-23,2020-11-16,34.0,99.5,29.3,100.8
HIMX,2020-10-26,2020-11-16,3.0,46.1,271.7,100.8
HIMX,2024-01-29,2024-06-17,20.0,43.8,10.3,-2.6
HIMX,2025-05-12,2026-03-09,43.0,24.0,-6.8,
HIW,2020-03-16,2021-03-08,51.0,64.5,28.9,0.3
HIW,2020-06-15,2021-03-08,38.0,18.3,4.1,0.3
HL,2019-04-08,2019-12-02,34.0,25.6,-14.0,14.6
HL,2019-09-16,2019-12-02,11.0,40.6,-16.0,14.6
HLIO,2020-09-14,2020-11-09,8.0,26.2,93.3,62.7
HLX,2017-12-18,2018-01-08,3.0,14.5,0.7,-1.7
HOG,2022-01-17,2022-10-24,40.0,30.9,4.4,-13.6
HOMB,2020-09-14,2021-01-04,16.0,32.8,80.9,18.6
HON,2020-06-15,2020-11-02,20.0,27.5,46.0,25.3
HOPE,2023-11-27,2024-07-15,33.0,26.3,4.9,-2.6
HPE,2020-06-15,2021-02-08,34.0,49.9,26.2,5.8
HPP,2020-06-15,2021-03-08,38.0,14.7,-2.2,-6.4
HPP,2021-02-08,2021-03-08,4.0,16.4,11.3,-6.4
HRI,2020-06-15,2020-11-09,21.0,77.0,111.6,107.4
HRMY,2023-09-18,2024-09-09,51.0,7.2,-8.2,-15.9
HRMY,2024-05-27,2024-09-09,15.0,32.3,17.9,-15.9
HROW,2020-09-28,2021-01-04,14.0,43.9,26.4,9.1
HROW,2021-12-06,2022-09-26,42.0,32.2,-17.7,75.3
HROW,2024-05-06,2024-07-01,8.0,90.7,352.7,64.3
HTH,2020-06-15,2020-11-30,24.0,41.7,52.5,48.6
HTH,2020-09-14,2020-11-30,11.0,35.3,102.4,48.6
HTHT,2019-11-04,2020-08-24,42.0,23.1,-9.7,28.4
HTLD,2025-09-15,2026-02-02,20.0,37.5,15.7,
HUBG,2025-10-20,2026-01-05,11.0,30.9,21.3,0.1
HUBS,2024-09-09,2024-11-11,9.0,37.8,24.0,-2.4
HUT,2021-07-26,2021-08-30,5.0,125.6,16.7,-50.1
HUT,2023-04-10,2023-07-03,12.0,78.4,-19.5,-37.4
HUT,2023-08-14,2024-07-15,48.0,62.7,-16.0,37.9
HUT,2024-01-29,2024-07-15,24.0,168.1,70.3,37.9
HUT,2024-10-07,2025-09-08,48.0,176.8,3.8,49.0
HWC,2019-06-10,2019-12-16,27.0,12.3,9.5,-47.5
HWM,2020-06-15,2020-12-07,25.0,89.6,95.6,33.8
HZO,2019-12-02,2020-01-20,7.0,35.7,34.4,26.8
IAG,2024-01-15,2024-03-25,10.0,43.5,72.8,58.6
IBP,2022-12-05,2023-01-23,7.0,24.0,35.1,39.1
ICHR,2020-10-12,2021-01-11,13.0,58.4,135.3,14.0
ICHR,2023-03-13,2023-06-12,13.0,25.8,3.0,-16.9
ICHR,2025-12-08,2026-02-09,9.0,162.5,387.1,
ICL,2020-09-28,2020-11-23,8.0,28.8,59.9,52.2
ICL,2024-05-27,2025-01-13,33.0,29.1,-1.1,17.8
ICUI,2024-04-01,2024-08-05,18.0,50.2,76.2,2.6
IDR,2022-12-26,2023-11-27,48.0,20.2,-6.3,44.2
IEP,2020-03-23,2021-02-01,45.0,36.2,5.3,5.6
IEP,2020-09-21,2021-02-01,19.0,29.3,22.9,5.6
IEP,2025-08-25,2026-04-20,34.0,8.5,0.9,
IHS,2024-09-09,2025-02-10,22.0,27.8,22.3,78.2
IIIN,2020-02-03,2021-01-04,48.0,19.2,-9.7,37.0
IIIN,2020-06-15,2021-01-04,29.0,54.0,47.3,37.0
IMKTA,2018-02-05,2018-08-20,28.0,14.9,8.6,-15.9
IMKTA,2020-06-22,2021-01-18,30.0,9.0,1.9,37.5
IMNM,2022-12-19,2023-05-08,20.0,116.8,76.8,18.4
INDB,2020-06-15,2021-01-11,30.0,20.3,11.7,-9.5
INDB,2024-01-15,2024-11-04,42.0,23.6,-1.4,-12.6
ING,2020-11-30,2021-02-15,11.0,8.7,39.4,23.2
ING,2022-06-06,2023-01-23,33.0,42.0,18.1,5.5
INHD,2025-03-03,2025-04-21,7.0,94.0,114.4,-87.9
INMD,2022-12-19,2023-07-10,29.0,27.1,1.7,-53.8
INN,2025-10-20,2026-05-25,31.0,12.5,-8.0,
INOD,2019-11-04,2020-05-18,28.0,9.1,-23.5,161.1
INOD,2024-03-18,2024-06-03,11.0,131.5,121.8,206.0
INOD,2024-09-09,2025-09-08,52.0,298.5,206.9,-32.1
INSM,2019-09-16,2020-02-03,20.0,68.1,-26.9,-6.6
INSM,2020-03-09,2020-09-14,27.0,63.3,38.7,12.4
INSM,2022-11-28,2023-09-04,40.0,28.9,-4.1,5.9
INSM,2023-03-06,2023-09-04,26.0,46.1,46.1,5.9
INSW,2021-04-19,2022-04-04,50.0,20.8,10.2,74.6
INTA,2024-02-26,2024-08-26,26.0,21.1,21.1,42.8
INTC,2025-02-17,2025-09-15,30.0,18.9,-0.3,48.3
INVX,2021-04-12,2022-03-07,47.0,35.7,-14.5,-41.9
IONQ,2025-02-10,2025-09-08,30.0,48.5,7.4,-40.7
IONS,2018-04-16,2018-11-26,32.0,20.2,-6.8,12.5
IONS,2018-07-30,2018-11-26,17.0,33.6,34.1,12.5
IOVA,2019-05-06,2019-06-03,4.0,72.1,113.0,29.5
IOVA,2020-08-03,2020-11-30,17.0,47.5,69.9,-58.4
IOVA,2023-08-07,2024-01-08,22.0,27.6,30.0,-3.1
IP,2020-06-15,2020-10-12,17.0,35.4,47.0,25.9
IPGP,2019-05-27,2020-05-18,51.0,25.7,13.5,27.5
IPGP,2019-12-09,2020-05-18,23.0,8.8,8.0,27.5
IPGP,2020-03-16,2020-05-18,9.0,44.3,53.3,27.5
IPI,2021-04-19,2021-10-11,25.0,37.5,61.6,170.3
IR,2025-09-01,2026-02-02,22.0,21.7,6.8,
IRDM,2020-03-16,2020-11-16,35.0,63.7,40.1,15.8
IRDM,2020-06-15,2020-11-16,22.0,24.2,41.5,15.8
IREN,2024-08-12,2025-06-30,46.0,111.0,63.2,153.9
IRM,2020-06-15,2021-01-25,32.0,33.3,16.7,34.0
IRON,2022-09-12,2023-08-21,49.0,33.6,-47.4,17.5
IT,2020-03-09,2021-01-04,43.0,59.1,19.1,51.9
ITIC,2023-03-06,2023-12-18,41.0,17.3,3.8,7.3
ITT,2020-06-15,2020-11-23,23.0,36.4,41.2,25.8
IVZ,2019-12-09,2020-11-30,51.0,7.3,-39.1,66.7
IVZ,2020-09-14,2020-11-30,11.0,63.8,135.8,66.7
JAZZ,2025-07-28,2025-11-17,16.0,53.2,42.4,35.6
JBGS,2020-03-23,2021-03-08,50.0,11.9,-14.1,-11.6
JBGS,2023-09-11,2024-08-19,49.0,21.6,12.6,-13.2
JBI,2022-09-19,2023-07-24,44.0,26.5,9.4,23.4
JBLU,2024-04-08,2024-10-14,27.0,19.3,-0.4,-54.4
JEF,2020-03-23,2020-11-09,33.0,66.5,30.2,41.2
JHX,2023-04-17,2023-06-12,8.0,21.6,8.7,26.0
JKS,2020-06-15,2020-09-21,14.0,121.9,306.8,23.5
JKS,2021-12-27,2022-06-27,26.0,46.3,46.3,-39.2
JOBY,2022-09-12,2023-06-05,38.0,27.0,-29.0,-5.6
JOBY,2024-09-09,2024-11-18,10.0,30.6,14.9,-6.5
JOE,2020-06-15,2020-08-24,10.0,21.2,125.0,116.1
JPM,2020-06-15,2021-01-04,29.0,42.8,24.1,15.9
JXN,2023-01-02,2023-01-30,4.0,31.6,-10.2,-27.8
KALU,2020-07-13,2021-01-04,25.0,59.3,53.2,15.2
KB,2023-04-24,2024-01-29,40.0,35.5,4.8,27.3
KBR,2020-06-15,2020-12-28,28.0,27.9,21.9,24.5
KC,2025-05-26,2026-04-13,46.0,63.0,10.7,
KC,2025-08-18,2026-04-13,34.0,22.9,-6.7,
KD,2023-06-19,2023-08-28,10.0,31.3,58.9,31.9
KEP,2023-08-14,2024-02-19,27.0,34.8,18.3,-10.7
KEY,2020-06-15,2021-02-08,34.0,46.6,18.5,10.3
KEY,2023-08-07,2024-03-04,30.0,35.9,24.6,8.0
KFRC,2020-09-14,2020-11-23,10.0,24.3,57.3,50.6
KFRC,2026-03-30,2026-05-25,8.0,57.0,,
KFY,2023-04-10,2023-12-11,35.0,13.8,-3.8,16.7
KGS,2025-05-12,2026-02-02,38.0,44.5,-2.4,
KGS,2025-10-27,2026-02-02,14.0,37.2,90.2,
KMT,2020-01-20,2020-11-30,45.0,12.2,-20.9,2.3
KMX,2023-04-24,2024-03-25,48.0,24.4,-13.6,-11.2
KN,2024-03-11,2024-07-08,17.0,22.8,13.7,3.9
KNSA,2022-10-17,2023-07-24,40.0,51.5,-6.8,-3.9
KNSL,2021-10-25,2022-07-25,39.0,30.2,18.6,12.4
KNTK,2025-10-27,2026-03-23,21.0,28.7,33.1,
KNX,2025-08-11,2026-01-05,21.0,35.6,41.2,32.3
KODK,2025-09-15,2025-12-01,11.0,42.0,26.5,3.1
KOP,2020-10-26,2021-01-11,11.0,59.4,48.2,-18.0
KOP,2025-09-08,2026-02-16,23.0,22.5,32.0,
KR,2018-04-09,2018-08-13,18.0,33.4,14.6,-5.0
KRC,2020-06-15,2021-03-08,38.0,13.4,-8.0,-6.5
KRG,2020-12-28,2021-02-08,6.0,21.8,47.7,11.5
KYMR,2023-03-06,2024-02-05,48.0,25.8,-36.0,11.4
LAND,2025-12-15,2026-01-26,6.0,28.1,1.4,
LAZ,2019-05-27,2019-11-04,23.0,26.5,27.2,-28.5
LAZ,2019-09-23,2019-11-04,6.0,12.3,-28.1,-28.5
LBRDA,2024-12-09,2025-05-12,22.0,22.6,11.7,-50.3
LBRDK,2024-12-09,2025-05-12,22.0,23.0,12.0,-50.4
LBRT,2020-11-09,2020-11-30,3.0,32.6,71.4,57.9
LEGN,2022-08-08,2023-01-09,22.0,22.1,4.3,21.1
LEU,2020-10-26,2021-08-30,44.0,225.6,135.7,28.4
LEU,2024-07-01,2024-09-23,12.0,39.5,95.3,14.8
LFUS,2022-09-05,2023-06-26,42.0,26.7,13.0,-7.7
LGND,2020-03-30,2020-06-01,9.0,66.6,32.7,-29.0
LII,2022-12-12,2023-01-30,7.0,12.0,27.3,36.4
LINC,2020-12-07,2021-06-21,28.0,26.5,23.5,-4.9
LKFN,2023-09-18,2024-01-22,18.0,59.8,39.8,-0.1
LMB,2022-01-31,2022-11-07,40.0,17.2,-33.7,101.7
LMND,2024-09-16,2025-08-11,47.0,212.8,88.5,11.1
LNTH,2019-01-28,2019-02-18,3.0,42.1,33.5,-8.4
LNTH,2023-10-23,2024-07-08,37.0,84.7,-1.9,-22.3
LNTH,2024-01-15,2024-07-08,25.0,132.5,120.0,-22.3
LOB,2020-07-13,2020-08-17,5.0,27.1,218.7,148.7
LOGI,2023-02-13,2023-07-24,23.0,23.6,14.6,21.7
LOPE,2020-08-17,2021-02-08,25.0,18.4,22.6,-17.3
LPTH,2023-10-30,2024-10-14,50.0,3.8,-10.1,23.2
LQDT,2018-06-04,2019-01-07,31.0,36.6,16.2,-26.3
LSCC,2024-12-09,2025-09-15,40.0,13.7,-24.6,22.8
LSCC,2025-03-24,2025-09-15,25.0,30.5,29.0,22.8
LTBR,2020-08-10,2021-02-08,26.0,71.7,71.7,-32.3
LTBR,2021-04-05,2021-10-25,29.0,48.4,-27.0,-27.0
LTBR,2024-10-07,2024-10-14,1.0,121.1,153.9,7.0
LTRX,2019-07-22,2019-12-30,23.0,11.7,20.0,-4.9
LTRX,2024-09-02,2025-08-25,51.0,34.3,-24.1,20.3
LUMN,2025-05-26,2025-10-27,22.0,162.2,106.9,-9.3
LUMN,2025-12-08,2026-05-25,24.0,29.3,-0.1,
LUNR,2024-05-20,2024-11-04,24.0,89.7,194.7,-5.0
LVS,2025-01-13,2025-08-11,30.0,23.0,11.0,7.5
LW,2020-12-14,2021-03-01,11.0,9.4,-0.3,-25.4
LWLG,2024-11-18,2025-09-15,43.0,40.6,-64.8,61.6
LXU,2025-02-24,2025-10-20,34.0,30.2,13.5,50.8
LYB,2025-07-07,2026-03-09,35.0,19.4,-20.5,
LYFT,2025-06-16,2025-09-08,12.0,28.1,33.7,-29.8
LYG,2021-01-25,2022-01-03,49.0,63.8,41.8,-26.3
M,2025-01-27,2025-09-01,31.0,14.5,-18.3,7.4
MAC,2023-06-26,2023-12-04,23.0,22.5,41.2,13.8
MANH,2022-12-05,2023-03-27,16.0,29.7,55.6,27.6
MANU,2024-10-14,2025-06-23,36.0,10.3,-15.7,-12.7
MARA,2024-05-20,2024-11-25,27.0,29.3,22.7,-48.5
MARA,2024-08-19,2024-11-25,14.0,46.7,-21.6,-48.5
MAT,2020-03-02,2020-11-16,37.0,28.9,-7.4,33.7
MAT,2020-06-15,2020-11-16,22.0,52.7,84.0,33.7
MATW,2020-11-30,2021-02-08,10.0,17.4,36.3,3.7
MAX,2025-09-15,2026-06-29,41.0,3.9,-25.8,
MBIN,2020-03-16,2020-09-14,26.0,52.1,52.1,86.5
MBIN,2026-01-19,2026-02-09,3.0,36.6,,
MCHP,2019-03-25,2019-12-09,37.0,24.6,11.0,-1.7
MCRI,2020-03-23,2020-12-14,38.0,130.5,81.8,13.7
MCY,2020-03-16,2020-12-14,39.0,50.0,26.1,16.5
MCY,2020-06-08,2020-12-14,27.0,29.2,16.8,16.5
MCY,2020-09-14,2020-12-14,13.0,19.0,42.5,16.5
MCY,2023-03-06,2023-11-27,38.0,31.9,-5.9,45.5
MCY,2023-09-04,2023-11-27,12.0,40.1,75.5,45.5
MCY,2025-05-12,2025-09-08,17.0,29.6,43.9,12.9
MD,2020-11-30,2021-01-25,8.0,21.0,41.8,6.8
MDB,2025-02-03,2025-10-27,38.0,29.5,-24.7,-26.8
MDGL,2020-08-03,2021-04-26,38.0,29.3,14.5,-42.9
MDGL,2022-06-13,2022-12-19,27.0,289.1,-9.3,-13.1
MDU,2020-06-15,2021-03-01,37.0,47.4,23.9,6.2
MEI,2026-01-05,2026-05-11,18.0,53.1,129.5,
MELI,2018-07-02,2019-02-25,34.0,44.3,0.8,31.7
MEOH,2020-01-06,2020-11-23,46.0,13.0,-49.9,-15.6
MET,2020-03-16,2021-01-11,43.0,118.0,67.0,14.5
MGA,2019-05-27,2019-11-04,23.0,32.7,30.0,-28.7
MGA,2025-01-06,2025-08-11,31.0,16.4,9.0,55.1
MGM,2019-04-29,2019-07-22,12.0,17.8,12.0,4.5
MGM,2025-09-29,2026-05-25,34.0,28.7,8.1,
MGRC,2020-06-15,2021-02-08,34.0,55.2,26.3,-11.6
MGRC,2020-09-14,2021-02-08,21.0,35.2,40.3,-11.6
MGTX,2021-01-25,2021-10-18,38.0,50.7,-2.4,-41.8
MHK,2023-03-06,2024-02-12,49.0,17.9,-3.9,26.9
MHO,2025-10-06,2026-06-22,37.0,25.2,-4.7,
MIDD,2020-10-26,2020-11-02,1.0,23.2,82.2,49.1
MIDD,2025-08-11,2026-02-23,28.0,27.3,23.6,
MITK,2022-12-05,2023-07-31,34.0,15.1,-0.7,7.4
MKSI,2025-02-24,2025-09-15,29.0,40.7,13.1,77.0
MLCO,2022-11-07,2022-12-05,4.0,53.4,51.6,6.9
MLKN,2023-04-03,2023-10-30,30.0,38.8,33.4,6.7
MLM,2020-06-15,2020-11-30,24.0,35.7,31.6,23.9
MLTX,2022-10-31,2023-01-02,9.0,47.5,217.0,306.0
MLYS,2024-08-19,2025-03-17,30.0,45.3,-17.7,132.8
MLYS,2025-02-17,2025-03-17,4.0,76.5,55.7,132.8
MMYT,2022-10-17,2023-08-07,42.0,29.2,-18.4,61.7
MNPR,2024-03-25,2024-09-23,26.0,99.1,98.8,495.7
MNPR,2025-05-12,2025-09-08,17.0,32.5,109.9,22.6
MNPR,2025-08-18,2025-09-08,3.0,53.5,72.8,22.6
MOD,2020-09-07,2020-11-02,8.0,56.4,155.9,76.8
MORN,2023-03-06,2023-09-04,26.0,32.7,32.7,22.4
MOS,2020-11-09,2020-11-23,2.0,25.9,103.3,60.0
MOV,2020-12-28,2021-01-11,2.0,27.6,90.0,40.2
MRAM,2023-03-20,2023-06-26,14.0,44.4,47.2,-1.8
MRNA,2025-10-13,2026-01-12,13.0,60.8,106.5,47.8
MRTN,2019-04-29,2019-09-09,19.0,13.8,13.9,-18.6
MRVL,2023-04-17,2023-05-22,5.0,67.9,27.1,-14.3
MSTR,2023-04-10,2023-07-03,12.0,14.1,-4.7,65.8
MSTR,2024-09-02,2024-10-07,5.0,86.0,151.3,41.1
MTH,2025-10-06,2026-06-22,37.0,30.6,1.4,
MTSI,2019-04-08,2019-09-09,22.0,40.9,37.0,-13.4
MTZ,2020-06-15,2020-12-07,25.0,51.8,47.7,72.5
MTZ,2020-09-14,2020-12-07,12.0,56.4,112.4,72.5
MU,2023-02-27,2023-05-22,12.0,30.5,24.5,4.3
MUX,2020-09-07,2021-05-24,37.0,16.7,-10.3,-29.9
MUX,2023-05-15,2024-03-25,45.0,25.0,-5.8,-2.2
MUX,2024-09-09,2025-06-30,42.0,20.1,-21.2,64.3
NAMS,2024-05-13,2024-11-04,25.0,20.1,23.9,-23.8
NAT,2018-12-10,2019-10-07,43.0,70.2,-10.0,-5.0
NAT,2019-06-24,2019-10-07,15.0,77.8,108.3,-5.0
NBHC,2024-01-22,2024-06-24,22.0,10.2,22.3,11.9
NBTB,2023-08-28,2024-07-15,46.0,33.6,0.6,7.3
NBTB,2024-03-11,2024-07-15,18.0,34.3,34.0,7.3
NEOG,2019-10-21,2020-08-03,41.0,26.2,-0.6,4.9
NET,2026-05-11,2026-07-06,8.0,35.9,,
NEXA,2019-12-23,2020-12-21,52.0,12.1,-12.4,8.8
NEXA,2020-11-02,2020-12-21,7.0,22.9,53.2,8.8
NEXT,2021-06-28,2022-03-21,38.0,58.2,-29.1,1.3
NEXT,2021-12-20,2022-03-21,13.0,99.4,42.9,1.3
NGNE,2023-08-21,2023-12-25,18.0,34.8,109.7,87.8
NGNE,2024-05-27,2024-10-14,20.0,44.7,-32.4,-78.9
NGNE,2025-11-17,2026-06-29,32.0,76.2,38.1,
NGVT,2025-02-10,2025-08-04,25.0,13.7,21.0,41.8
NKTR,2020-07-20,2021-02-15,30.0,8.0,-28.2,-45.4
NKTR,2024-07-29,2025-06-23,47.0,43.1,-30.8,72.7
NMM,2023-03-20,2024-01-01,41.0,24.8,-4.8,76.4
NMM,2025-08-04,2025-11-10,14.0,18.6,36.1,36.6
NN,2022-12-19,2023-08-07,33.0,60.7,7.9,-2.0
NN,2024-01-08,2024-03-18,10.0,55.5,116.3,24.2
NN,2025-02-10,2025-08-25,28.0,40.0,14.1,-9.7
NOK,2020-09-21,2021-05-03,32.0,34.7,7.4,13.1
NOK,2021-03-01,2021-05-03,9.0,31.2,55.7,13.1
NOV,2022-08-15,2022-10-17,9.0,21.3,21.6,-15.2
NOVT,2025-11-03,2026-02-09,14.0,38.8,31.2,
NRDS,2024-12-09,2025-11-24,50.0,12.5,-17.8,-42.7
NRG,2022-12-19,2023-10-30,45.0,47.0,11.2,72.6
NRG,2023-06-05,2023-10-30,21.0,34.6,43.0,72.6
NSA,2020-06-15,2021-01-04,29.0,34.3,26.2,44.0
NTES,2022-07-11,2023-06-12,48.0,16.0,3.3,5.5
NTLA,2025-08-25,2025-10-06,6.0,116.0,21.4,-45.0
NTR,2020-06-15,2020-11-23,23.0,42.0,37.3,28.1
NTRA,2018-12-10,2019-08-05,34.0,111.6,61.8,9.8
NVAX,2017-12-25,2018-12-10,50.0,94.4,8.1,-89.7
NVAX,2023-10-09,2024-05-13,31.0,84.5,-39.3,-43.7
NVAX,2025-09-22,2026-02-23,22.0,18.6,-1.2,
NVCR,2024-05-27,2024-12-02,27.0,27.0,-9.0,-39.2
NVGS,2022-01-10,2022-03-21,10.0,36.1,10.8,-14.5
NVMI,2023-03-06,2023-05-22,11.0,18.6,26.8,12.0
NVTS,2025-08-18,2026-04-20,35.0,168.7,22.6,
NVTS,2025-12-22,2026-04-20,17.0,133.5,133.8,
NWG,2020-06-15,2021-02-15,35.0,65.9,39.4,19.5
NWL,2020-06-15,2020-11-09,21.0,26.2,33.1,49.7
NWL,2020-08-31,2020-11-09,10.0,20.9,54.1,49.7
NXE,2023-03-06,2023-08-07,22.0,27.0,40.6,53.8
NXST,2020-10-19,2021-02-01,15.0,39.8,72.2,23.1
NXTC,2023-06-26,2024-03-18,38.0,5.6,-36.7,-27.4
OBE,2020-11-30,2021-01-04,5.0,116.3,359.2,240.6
OC,2019-04-29,2019-09-09,19.0,16.2,21.1,-29.8
OCC,2020-08-17,2020-09-28,6.0,55.8,64.9,-1.6
OCC,2024-04-08,2024-12-23,37.0,34.7,-10.5,-24.5
OCC,2025-05-12,2025-08-25,15.0,111.7,125.7,-12.3
OCFC,2024-06-17,2024-07-22,5.0,25.6,23.1,3.6
OCUL,2024-05-27,2024-10-14,20.0,98.8,73.5,-35.5
OI,2022-07-11,2023-01-02,25.0,50.7,55.3,13.2
OI,2025-09-01,2026-02-02,22.0,30.2,-10.9,
OIS,2022-07-11,2023-01-09,26.0,86.1,86.1,-2.3
OKTA,2023-06-05,2023-12-18,28.0,25.2,0.9,-2.7
OLMA,2023-02-27,2023-05-01,9.0,62.4,158.8,149.1
OLN,2025-12-22,2026-03-23,13.0,40.0,5.6,
OMAB,2021-02-08,2021-12-20,45.0,14.4,1.8,17.6
OMCL,2020-08-31,2020-11-02,9.0,31.4,78.0,54.2
OMCL,2025-09-01,2025-12-15,15.0,45.9,28.6,-16.6
OMER,2020-11-02,2021-01-18,11.0,88.4,70.0,-27.9
OMER,2023-04-17,2023-05-29,6.0,30.9,-78.3,-69.9
OMER,2025-01-20,2025-12-22,48.0,87.7,-54.2,-44.8
OMF,2020-09-07,2020-12-07,13.0,42.4,101.3,49.6
ON,2019-06-03,2019-12-16,28.0,26.5,16.2,-19.6
ONC,2019-12-30,2020-07-13,28.0,53.2,20.6,38.7
ONON,2023-03-06,2023-03-20,2.0,54.5,44.4,-11.3
ONTO,2025-02-24,2026-01-12,46.0,51.2,-27.2,27.1
ONTO,2025-09-08,2026-01-12,18.0,98.5,70.8,27.1
OPRA,2025-11-03,2026-06-29,34.0,47.0,38.5,
OPTX,2025-05-12,2025-12-29,33.0,120.4,38.0,247.4
OPTX,2025-08-25,2025-12-29,18.0,95.6,301.2,247.4
ORIC,2025-03-17,2025-10-06,29.0,94.6,50.2,-25.8
ORKA,2020-02-10,2020-05-25,15.0,127.9,7.6,-66.0
ORLA,2021-06-07,2022-03-28,42.0,8.7,-8.8,-34.8
ORN,2019-10-21,2019-11-04,2.0,22.0,-52.9,-57.2
ORN,2020-06-15,2021-01-11,30.0,71.8,49.3,-4.7
ORN,2023-05-29,2023-07-24,8.0,45.6,87.3,50.9
ORRF,2023-10-09,2023-12-11,9.0,39.1,21.3,-11.3
OSCR,2025-08-25,2026-05-11,37.0,40.0,-18.1,
OSK,2020-06-15,2021-01-04,29.0,26.3,17.7,35.2
OSK,2023-01-16,2023-08-28,32.0,13.9,-2.9,6.3
OSPN,2024-04-08,2024-07-22,15.0,45.3,56.6,33.3
OSS,2019-12-30,2020-12-07,49.0,29.3,-7.0,114.7
OSS,2020-10-26,2020-12-07,6.0,24.1,137.5,114.7
OSS,2024-07-08,2025-01-13,27.0,72.6,33.3,44.3
OUST,2025-09-22,2026-05-18,34.0,33.1,-36.5,
OUT,2023-03-06,2024-03-04,52.0,10.2,-27.8,4.1
