ticker,group,hold_terminal,hold_maxdd,BRAKE_ratio,BRAKE_maxdd,BRAKE_pct_collared,COLLAR_ratio,COLLAR_maxdd,COLLAR_pct_collared
HUBB,stock,4.152,-34.8,0.585,-35.5,0.0,0.748,-34.8,19.1
NVT,stock,6.815,-49.7,0.873,-46.6,0.0,0.545,-49.7,23.2
ATKR,stock,3.583,-71.2,0.529,-56.0,0.0,0.711,-57.9,37.2
AMSC,stock,6.781,-88.4,0.983,-65.7,0.0,0.632,-65.0,41.6
ITRI,stock,1.373,-64.1,0.991,-45.3,0.0,1.184,-45.3,38.7
TT,stock,7.574,-39.8,0.979,-33.1,0.0,0.647,-33.1,14.3
PWR,stock,17.447,-41.6,1.0,-41.6,0.0,0.581,-41.6,7.1
EME,stock,9.222,-45.2,0.872,-45.2,0.0,0.703,-35.7,20.2
FIX,stock,33.293,-46.2,0.909,-45.4,0.0,0.567,-45.4,14.4
STRL,stock,48.932,-54.3,0.393,-61.8,0.0,0.24,-62.7,23.5
IESC,stock,36.166,-52.5,0.806,-48.2,0.0,0.842,-48.2,23.8
MYRG,stock,11.215,-50.4,0.532,-59.4,0.0,0.586,-53.1,31.7
POWL,stock,24.442,-59.5,0.624,-67.6,0.0,0.356,-59.5,34.5
FSLR,stock,4.377,-54.5,0.281,-47.7,0.0,0.279,-44.9,37.5
NXT,stock,2.481,-34.1,1.0,-34.1,0.0,1.0,-34.1,0.0
FLNC,stock,0.758,-87.2,1.015,-60.4,0.0,0.78,-67.1,45.8
EOSE,stock,1.607,-84.9,1.429,-73.4,0.0,0.923,-78.2,29.7
BE,stock,23.442,-79.7,0.342,-82.0,0.0,0.362,-81.7,43.1
ALB,stock,1.409,-83.2,2.437,-47.6,0.0,1.376,-53.1,37.7
DE,stock,4.112,-37.1,0.715,-37.1,0.0,0.55,-37.1,25.6
HON,stock,1.703,-38.3,0.745,-38.3,0.0,0.682,-38.3,31.3
EMR,stock,2.294,-42.9,0.651,-48.8,0.0,0.483,-45.3,31.0
ROK,stock,2.836,-45.0,0.526,-41.7,0.0,0.721,-39.4,31.8
TER,stock,8.35,-57.7,0.805,-51.1,0.0,0.696,-42.2,29.7
CGNX,stock,1.475,-74.1,0.947,-54.0,0.0,1.12,-47.2,42.3
ZBRA,stock,1.011,-67.0,0.794,-65.6,0.0,1.402,-45.5,53.0
AMBA,stock,1.048,-80.3,0.514,-83.4,0.0,0.762,-79.8,49.4
OUST,stock,4.0,-62.3,0.303,-62.3,0.0,0.169,-66.4,16.0
NOVT,stock,1.478,-46.0,1.092,-49.5,0.0,1.148,-37.3,35.2
SYM,stock,4.179,-69.2,0.574,-68.3,0.0,0.749,-52.7,33.8
SERV,stock,0.508,-65.8,1.406,-41.9,0.0,1.144,-47.6,34.0
RR,stock,1.26,-74.1,1.65,-67.6,0.0,1.18,-69.4,19.5
LMT,stock,1.809,-33.3,0.658,-33.9,0.0,0.815,-33.3,38.1
RTX,stock,2.652,-49.2,0.941,-49.2,0.0,0.661,-49.2,21.4
NOC,stock,1.928,-33.6,0.757,-33.6,0.0,0.724,-31.5,29.0
GD,stock,2.704,-40.2,1.11,-21.4,0.0,0.937,-29.8,26.3
LHX,stock,2.027,-36.2,0.77,-32.7,0.0,0.724,-36.9,32.0
BA,stock,0.524,-77.9,0.464,-78.5,0.0,1.501,-53.4,49.4
GE,stock,6.972,-57.2,0.683,-57.2,0.0,0.555,-50.5,26.0
HWM,stock,11.895,-60.4,0.768,-61.0,0.0,0.659,-60.4,22.5
TDG,stock,2.97,-24.2,0.939,-24.2,0.0,0.872,-22.6,18.0
HEI,stock,3.023,-25.3,0.774,-24.9,0.0,0.714,-23.1,9.7
CW,stock,7.876,-47.5,0.17,-51.4,0.0,0.85,-47.5,15.9
DRS,stock,15.381,-52.9,0.347,-56.8,0.0,0.358,-52.9,18.0
MRCY,stock,1.814,-70.2,0.683,-59.0,0.0,1.135,-58.5,43.6
TXT,stock,1.941,-58.4,1.178,-21.8,0.0,0.931,-58.4,22.8
AXON,stock,19.256,-58.9,0.642,-55.2,0.0,0.619,-49.8,21.5
KTOS,stock,3.477,-72.5,1.627,-64.8,0.0,2.067,-60.2,29.5
AVAV,stock,2.093,-64.9,0.459,-63.5,0.0,0.714,-56.5,24.6
ACHR,stock,0.949,-66.6,0.819,-52.7,0.0,0.878,-51.0,41.1
JOBY,stock,1.319,-60.4,0.818,-57.4,0.0,0.797,-66.2,28.5
RKLB,stock,11.801,-52.9,0.919,-52.9,0.0,0.951,-52.9,23.4
LUNR,stock,2.6,-70.2,0.387,-70.2,0.0,0.317,-70.2,34.2
ASTS,stock,4.949,-83.7,0.478,-75.9,0.0,0.89,-50.1,52.2
RDW,stock,2.817,-77.8,0.584,-77.8,0.0,0.276,-85.6,33.7
